repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,checking_instructions.started,checking_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,stimulus_interval,word_type_practice.text,text_4.started,text_4.stopped,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,40.67344880010933,None,space,12.411187899997458,40.67344880010933,None,,,,,,,,,,,,,,,010,2022-05-10_19h12.11.141,220304_word_end_click,2022.1.1,59.035118200209595,
,,,,0,0,0,0,,,,,,,266.1578051999677,None,space,3.6847512999083847,269.90381729998626,None,30,배고 파 ,346.26890070014633,None,멍때 리 다 ,33.11087617999874,-0.016460948520236496,0.7695473829905193,010,2022-05-10_19h12.11.141,220304_word_end_click,2022.1.1,59.035118200209595,
,,,,1,0,1,0,,,,,,,,,,,,,30,,,,남자 친 구  ,36.47964387969114,-0.18930037816365564,0.76543214586046,010,2022-05-10_19h12.11.141,220304_word_end_click,2022.1.1,59.035118200209595,
,,,,2,0,2,0,,,,,,,,,,,,,30,,,,답 답 해 ,8.135476480005309,-0.4897120263841417,0.8415638340844048,010,2022-05-10_19h12.11.141,220304_word_end_click,2022.1.1,59.035118200209595,
,,,,3,0,3,0,,,,,,,,,,,,,30,,,,실 험 도 구 ,17.447639480000362,-0.004115104675292969,0.2427983548906114,010,2022-05-10_19h12.11.141,220304_word_end_click,2022.1.1,59.035118200209595,
,,,,4,0,4,0,,,,,,,,,,,,,30,,,,저 녁 메 뉴 ,7.412274079862982,0.5349793699052598,0.812757174173991,010,2022-05-10_19h12.11.141,220304_word_end_click,2022.1.1,59.035118200209595,
,,,,5,0,5,0,,,,,,,,,,,,,30,,,,내 일 약 속 ,7.778616979951039,0.03292176458570695,1.0,010,2022-05-10_19h12.11.141,220304_word_end_click,2022.1.1,59.035118200209595,
,,,,6,0,6,0,,,,,,,,,,,,,30,,,,두 통 ,4.994297279976308,-0.9465021557278104,0.4897119204203288,010,2022-05-10_19h12.11.141,220304_word_end_click,2022.1.1,59.035118200209595,
,,,,7,0,7,0,,,,,,,,,,,,,30,,,,생각과감정 ,11.162965880008414,-0.004115104675292969,0.48765430185529923,010,2022-05-10_19h12.11.141,220304_word_end_click,2022.1.1,59.035118200209595,
,,,,8,0,8,0,,,,,,,,,,,,,30,,,,아이패드 ,8.597734479932114,0.4732510778639052,0.211934142642551,010,2022-05-10_19h12.11.141,220304_word_end_click,2022.1.1,59.035118200209595,
,,,,9,0,9,0,,,,,,,,,,,,,30,,,,두피마사지 ,7.597997380187735,1.0,0.3539094924926758,010,2022-05-10_19h12.11.141,220304_word_end_click,2022.1.1,59.035118200209595,
,,,,10,0,10,0,,,,,,,,,,,,,30,,,,데이트 ,5.778061179909855,0.17695466677347826,0.46707818243238663,010,2022-05-10_19h12.11.141,220304_word_end_click,2022.1.1,59.035118200209595,
,,,,11,0,11,0,,,,,,,,,,,,,30,,,,야경 ,9.025478879921138,0.9506172604031033,0.427983562151591,010,2022-05-10_19h12.11.141,220304_word_end_click,2022.1.1,59.035118200209595,
,,,,12,0,12,0,,,,,,,,,,,,,30,,,,잠 ,5.679641079856083,0.008230474260118248,0.5267489883634779,010,2022-05-10_19h12.11.141,220304_word_end_click,2022.1.1,59.035118200209595,
,,,,13,0,13,0,,,,,,,,,,,,,30,,,,알콜티슈 ,9.330779880052432,0.6172839800516763,0.6872427728441026,010,2022-05-10_19h12.11.141,220304_word_end_click,2022.1.1,59.035118200209595,
,,,,14,0,14,0,,,,,,,,,,,,,30,,,,회피 ,5.179665579926223,0.008230474260118248,0.48765430185529923,010,2022-05-10_19h12.11.141,220304_word_end_click,2022.1.1,59.035118200209595,
