repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,checking_instructions.started,checking_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,stimulus_interval,word_type_practice.text,text_4.started,text_4.stopped,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,38.31684059998952,None,space,1.972574200015515,38.31684059998952,None,,,,,,,,,,,,,,,007,2022-05-09_13h15.24.122,220304_word_end_click,2022.1.1,60.00250810996653,
,,,,0,0,0,0,,,,,,,249.23728810006287,None,space,2.1359398999484256,251.53837419999763,None,30,신발 ,304.50255610002205,None,bash ,10.297002319945022,-0.5514404508802626,0.967078235414293,007,2022-05-09_13h15.24.122,220304_word_end_click,2022.1.1,60.00250810996653,
,,,,1,0,1,0,,,,,,,,,,,,,30,,,,f통계량 ,17.360676319920458,-0.004115104675292969,0.9012345737881131,007,2022-05-09_13h15.24.122,220304_word_end_click,2022.1.1,60.00250810996653,
,,,,2,0,2,0,,,,,,,,,,,,,30,,,,이지솔 ,10.994865520042367,-0.4691357082790799,0.812757174173991,007,2022-05-09_13h15.24.122,220304_word_end_click,2022.1.1,60.00250810996653,
,,,,3,0,3,0,,,,,,,,,,,,,30,,,,쓰레기통 ,9.326594920014031,-0.4732510778639052,0.36625513765547013,007,2022-05-09_13h15.24.122,220304_word_end_click,2022.1.1,60.00250810996653,
,,,,4,0,4,0,,,,,,,,,,,,,30,,,,테니스 ,5.33404112001881,0.9670782089233398,0.5473251077863905,007,2022-05-09_13h15.24.122,220304_word_end_click,2022.1.1,60.00250810996653,
,,,,5,0,5,0,,,,,,,,,,,,,30,,,,논문 ,5.33221661997959,0.2592592769198947,1,007,2022-05-09_13h15.24.122,220304_word_end_click,2022.1.1,60.00250810996653,
,,,,6,0,6,0,,,,,,,,,,,,,30,,,,"취업 
",8.567243819939904,0.11522637473212338,0.9876542886098225,007,2022-05-09_13h15.24.122,220304_word_end_click,2022.1.1,60.00250810996653,
,,,,7,0,7,0,,,,,,,,,,,,,30,,,,피곤하다 ,7.344891819986515,-0.47736618253919816,0.5473251077863905,007,2022-05-09_13h15.24.122,220304_word_end_click,2022.1.1,60.00250810996653,
,,,,8,0,8,0,,,,,,,,,,,,,30,,,,모니터 ,5.347476919880137,-0.008230474260118248,0.061728384759691,007,2022-05-09_13h15.24.122,220304_word_end_click,2022.1.1,60.00250810996653,
,,,,9,0,9,0,,,,,,,,,,,,,30,,,,캠핑 ,7.381147120031528,0.831275780995687,0.10493827528423733,007,2022-05-09_13h15.24.122,220304_word_end_click,2022.1.1,60.00250810996653,
,,,,10,0,10,0,,,,,,,,,,,,,30,,,,베게 ,9.347050320007838,0.806584358215332,0.2181069983376397,007,2022-05-09_13h15.24.122,220304_word_end_click,2022.1.1,60.00250810996653,
,,,,11,0,11,0,,,,,,,,,,,,,30,,,,카톡 ,4.861596620059572,-0.19341574774848092,0.7160493665271335,007,2022-05-09_13h15.24.122,220304_word_end_click,2022.1.1,60.00250810996653,
,,,,12,0,12,0,,,,,,,,,,,,,30,,,,알콜 솜 ,9.77807981998194,0.5349793699052598,0.09259259700775146,007,2022-05-09_13h15.24.122,220304_word_end_click,2022.1.1,60.00250810996653,
,,,,13,0,13,0,,,,,,,,,,,,,30,,,,향수 ,5.14641672000289,0.6460905075073242,0.43004118071662056,007,2022-05-09_13h15.24.122,220304_word_end_click,2022.1.1,60.00250810996653,
,,,,14,0,14,0,,,,,,,,,,,,,30,,,,"타투 
",5.1630711200414225,0.5144033167097304,0.8374485969543457,007,2022-05-09_13h15.24.122,220304_word_end_click,2022.1.1,60.00250810996653,
