trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_interval,word_type_practice.text,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
,,,,5,몽환 ,,,,,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
,,,,,,,,,,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
,,,,,,,,,,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
0,0,0,0,30,,더위 ,6.997636449988931,-0.9794237878587511,0.8600823349422879,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
1,0,1,0,30,,청량리역 ,11.281505950028077,0.15637861357794858,1,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
2,0,2,0,30,,빨리 ,6.0800384499598294,0.440329180823432,0.46707818243238663,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
3,0,3,0,30,,땀 ,9.28211905003991,-0.46502060360378694,0.7448559602101644,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
4,0,4,0,30,,인체 비누 ,5.049873749958351,-0.024691422780354855,0.4238683250215318,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
5,0,5,0,30,,머리 ,4.264525649952702,0.33333328035142684,0.6769547462463379,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
6,0,6,0,30,,셔틀 ,3.913999749987852,0.004115237130059235,0.9917695257398818,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
7,0,7,0,30,,숨 ,3.4975965499761514,0.008230474260118248,1.0,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
8,0,8,0,30,,세계사 ,4.264935750048608,0.5061728424496121,1,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
9,0,9,0,30,,축지법 ,5.16387714992743,-0.008230474260118248,0.0699588590198093,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
10,0,10,0,30,,클릭 ,6.331001649959944,0.22222227520412874,0.016460908783806683,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
11,0,11,0,30,,무한 ,3.9470139500917867,-0.012345578935411217,0.5144032769733005,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
12,0,12,0,30,,민도 ,3.4491441499558277,-0.012345578935411217,0.9938272105322944,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
13,0,13,0,30,,뇌파 ,4.5806722499546595,0.5185185538397894,0.7613169087304009,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
14,0,14,0,30,,고요 ,3.830187349987682,0.5185185538397894,0.8539094130198162,119,001,2022-05-06_13h39.47.563,220304_word_end_click,2022.1.1,60.358881838955675,
