trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_interval,word_type_practice.text,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
,,,,5,실험 ,,,,,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
,,,,,,,,,,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
,,,,,,,,,,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
0,0,0,0,30,,사람 ,6.796672739999849,0.05349795023600268,0.9444444974263508,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
1,0,1,0,30,,메신져 ,5.146797339999921,-0.1481482717725966,0.9176955223083496,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
2,0,2,0,30,,동아리방 ,7.612589039999875,0.46913584073384595,0.6275720331403944,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
3,0,3,0,30,,과제 ,5.046953840000242,-0.6502058770921495,0.9341563383738201,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
4,0,4,0,30,,숫자 ,5.280037639999819,0.012345711390177483,0.7057613399293687,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
5,0,5,0,30,,시간 ,3.8958840400000554,0.028806527455647712,0.9547325240241157,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
6,0,6,0,30,,랩미팅 ,4.463441240000066,-0.36625517739189994,0.7880658838484023,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
7,0,7,0,30,,기분 ,4.0779622400000335,0.008230474260118248,0.9938272105322944,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
8,0,8,0,30,,자유 ,3.796858740000289,0.9094650215572782,0.512345658408271,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
9,0,9,0,30,,사랑 ,3.697008440000218,0.8806584941016302,0.7818929619259305,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
10,0,10,0,30,,형 ,3.4129063400002906,0.004115237130059235,0.5617283715142144,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
11,0,11,0,30,,배려 ,3.430502039999965,0.7860081725650363,0.7345679336123996,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
12,0,12,0,30,,술 ,3.197362740000017,-0.46090523401896166,0.915637837515937,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
13,0,13,0,30,,축제 ,3.496754839999994,0.5473250812954373,0.2592592371834649,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
14,0,14,0,30,,손소독제 ,4.513306339999872,0.004115237130059235,0.3930041127734714,203,001,2022-04-27_10h40.40.300,220304_word_end_click,2022.1.1,59.94183244571802,
