trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_interval,word_type_practice.text,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
,,,,5,모니터 ,,,,,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
,,,,,,,,,,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
,,,,,,,,,,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
0,0,0,0,30,,스타워즈 ,14.878969779999807,1,1.0,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
1,0,1,0,30,,폰케이스 ,5.3803340800000115,0.7818930678897433,1,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
2,0,2,0,30,,과제 ,5.730376679999836,-0.8230453067355685,1,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
3,0,3,0,30,,프로그래밍기초와실습 ,12.629195079999818,-0.4855966567993164,1,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
4,0,4,0,30,,백색소음,6.617336879999812,-0.28395069970024955,0.7325102488199869,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
5,0,5,0,30,,피곤함 ,5.130181380000067,0.8559670713212755,1.0,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
6,0,6,0,30,,종강 ,7.629670179999721,1,1.0,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
7,0,7,0,30,,못갖춘마디 ,5.730380380000042,0.641975270377265,1.0,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
8,0,8,0,30,,한강 ,5.195958179999934,0.2716049883100722,0.6399176783031888,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
9,0,9,0,30,,졸업식 ,4.396873280000136,-0.2962962786356609,0.6213991774453057,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
10,0,10,0,30,,연애 ,4.98021977999997,-0.6049384011162652,0.17489714092678493,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
11,0,11,0,30,,배구 ,22.19455007999977,0.7983538839552138,0.88271607293023,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
12,0,12,0,30,,숫자 세기 ,8.696308379999664,0.0,0.5925925837622749,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
13,0,13,0,30,,손흥민 ,10.663065179999876,0.8230453067355685,0.6028806765874227,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
14,0,14,0,30,,사운드클라우드 ,9.278620579999824,0.7242798805236816,1,223,001,2022-05-24_13h27.18.745,220304_word_end_click,2022.1.1,60.008989346558224,
