trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_interval,word_type_practice.text,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
,,,,5,시험 ,,,,,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
,,,,,,,,,,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
,,,,,,,,,,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
0,0,0,0,30,,대구가는 기차 ,5.89649830999997,0.9794239203135171,1,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
1,0,1,0,30,,피생공 기말고사 ,6.979654109999956,0.16872432496812606,0.8209876484341092,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
2,0,2,0,30,,기숙사 짐정리 ,6.446138109999993,-0.004115104675292969,0.8353909121619331,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
3,0,3,0,30,,졸업논문 작성 ,5.096376510000027,-0.4855966567993164,0.8230453332265217,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
4,0,4,0,30,,뇌이미징연구단 실험참가 ,12.745612809999784,0.07818924056159116,0.5144032769733005,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
5,0,5,0,30,,간지러움 ,3.9805644099999427,-0.5596706602308485,0.6604937977261014,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
6,0,6,0,30,,마스크쓰기  ,6.879273310000144,-0.9958847363789877,0.563785990079244,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
7,0,7,0,30,,쥬라기공원을 볼지말지  ,13.745119909999858,-0.12345684899224174,0.6893003914091322,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
8,0,8,0,30,,날씨가 덥다 ,5.046632009999939,-0.9835391574435763,0.5679012272093031,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
9,0,9,0,30,,맥북 ,4.129672010000149,0.30864199002583814,0.37037037478552925,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
10,0,10,0,30,,여름방학 ,13.54554050999991,0.5061728424496121,0.8086419370439317,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
11,0,11,0,30,,아빠 ,2.929707109999981,0.9670782089233398,0.9938272105322944,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
12,0,12,0,30,,포항여행 ,3.4140077099998507,0.5144033167097304,0.8497941758897569,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
13,0,13,0,30,,저녁 ,3.0135794100001476,0.2757202254401312,0.7181069850921631,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
14,0,14,0,30,,남자친구 ,4.248252609999781,0.9794239203135171,0.9876542886098225,231,001,2022-06-03_17h04.48.961,220304_word_end_click,2022.1.1,60.085032337743684,
