repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,checking_instructions.started,checking_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,stimulus_interval,word_type_practice.text,text_4.started,text_4.stopped,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,24.738214700017124,None,space,4.653228499926627,24.738214700017124,None,,,,,,,,,,,,,,,012,2022-05-11_15h19.05.627,220304_word_end_click,2022.1.1,59.99815207078389,
,,,,0,0,0,0,,,,,,,242.11734650004655,None,space,3.869866200024262,243.99827009998262,None,30,안녕 ,284.7474296998698,None,초원 ,10.51347199990414,0.7654321193695068,0.2530864477157593,012,2022-05-11_15h19.05.627,220304_word_end_click,2022.1.1,59.99815207078389,
,,,,1,0,1,0,,,,,,,,,,,,,30,,,,실험 ,6.382428100099787,0.0,0.9547325240241157,012,2022-05-11_15h19.05.627,220304_word_end_click,2022.1.1,59.99815207078389,
,,,,2,0,2,0,,,,,,,,,,,,,30,,,,사랑 ,13.531058999942616,1,0.9650205506218804,012,2022-05-11_15h19.05.627,220304_word_end_click,2022.1.1,59.99815207078389,
,,,,3,0,3,0,,,,,,,,,,,,,30,,,,가족 ,5.149247199995443,1,1,012,2022-05-11_15h19.05.627,220304_word_end_click,2022.1.1,59.99815207078389,
,,,,4,0,4,0,,,,,,,,,,,,,30,,,,케로로 ,11.346354099921882,0.18106990390353728,0.648148152563307,012,2022-05-11_15h19.05.627,220304_word_end_click,2022.1.1,59.99815207078389,
,,,,5,0,5,0,,,,,,,,,,,,,30,,,,배드민턴 ,7.5159289999864995,0.07818924056159116,0.9135802851782905,012,2022-05-11_15h19.05.627,220304_word_end_click,2022.1.1,59.99815207078389,
,,,,6,0,6,0,,,,,,,,,,,,,30,,,,박사 유학 ,6.7443959002848715,0.016460948520236496,0.7386831707424588,012,2022-05-11_15h19.05.627,220304_word_end_click,2022.1.1,59.99815207078389,
,,,,7,0,7,0,,,,,,,,,,,,,30,,,,스피닝 ,6.096588799962774,0.008230474260118248,0.6728395091162788,012,2022-05-11_15h19.05.627,220304_word_end_click,2022.1.1,59.99815207078389,
,,,,8,0,8,0,,,,,,,,,,,,,30,,,,할머니 ,5.012026200303808,0.8518518341912165,0.9259258641137017,012,2022-05-11_15h19.05.627,220304_word_end_click,2022.1.1,59.99815207078389,
,,,,9,0,9,0,,,,,,,,,,,,,30,,,,오목눈이 디저트 ,8.211267699953169,0.4567901293436687,0.8518518606821697,012,2022-05-11_15h19.05.627,220304_word_end_click,2022.1.1,59.99815207078389,
,,,,10,0,10,0,,,,,,,,,,,,,30,,,,논문자격시험 ,7.179910599952564,-0.539094607035319,0.9629629982842339,012,2022-05-11_15h19.05.627,220304_word_end_click,2022.1.1,59.99815207078389,
,,,,11,0,11,0,,,,,,,,,,,,,30,,,,친구들 ,5.215914800064638,0.27983533011542416,0.76543214586046,012,2022-05-11_15h19.05.627,220304_word_end_click,2022.1.1,59.99815207078389,
,,,,12,0,12,0,,,,,,,,,,,,,30,,,,동아리 ,5.166057500056922,-0.0658435291714139,0.7530864344702827,012,2022-05-11_15h19.05.627,220304_word_end_click,2022.1.1,59.99815207078389,
,,,,13,0,13,0,,,,,,,,,,,,,30,,,,빵 ,5.115207000402734,0.8559670713212755,0.7366254859500461,012,2022-05-11_15h19.05.627,220304_word_end_click,2022.1.1,59.99815207078389,
,,,,14,0,14,0,,,,,,,,,,,,,30,,,,연구과제 ,5.308362300274894,-0.46502060360378694,0.8230453332265217,012,2022-05-11_15h19.05.627,220304_word_end_click,2022.1.1,59.99815207078389,
