repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,checking_instructions.started,checking_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,stimulus_interval,word_type_practice.text,text_4.started,text_4.stopped,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,33.896789900027215,None,space,1.0002847000723705,33.896789900027215,None,,,,,,,,,,,,,,,031,2022-05-26_19h42.34.438,220304_word_end_click,2022.1.1,61.092393063009354,
,,,,0,0,0,0,,,,,,,242.55088090000208,None,space,1.1087495000101626,243.41501140000764,None,30,저녁밥 ,273.69588000001386,None,저녁밥 ,9.864940189989284,0.9423867861429849,0.9753085772196453,031,2022-05-26_19h42.34.438,220304_word_end_click,2022.1.1,61.092393063009354,
,,,,1,0,1,0,,,,,,,,,,,,,30,,,,저녁놀 ,6.694793889881112,0.9753086831834581,0.7366254859500461,031,2022-05-26_19h42.34.438,220304_word_end_click,2022.1.1,61.092393063009354,
,,,,2,0,2,0,,,,,,,,,,,,,30,,,,꽃다발 ,9.848712690058164,0.9876542621188693,0.9876542886098225,031,2022-05-26_19h42.34.438,220304_word_end_click,2022.1.1,61.092393063009354,
,,,,3,0,3,0,,,,,,,,,,,,,30,,,,여행 ,4.11162398988381,0.9753086831834581,0.9197530746459961,031,2022-05-26_19h42.34.438,220304_word_end_click,2022.1.1,61.092393063009354,
,,,,4,0,4,0,,,,,,,,,,,,,30,,,,집 ,3.8956576901255175,0.8847735987769232,1.0,031,2022-05-26_19h42.34.438,220304_word_end_click,2022.1.1,61.092393063009354,
,,,,5,0,5,0,,,,,,,,,,,,,30,,,,고양이 ,5.534122389974073,0.9876542621188693,0.9979424476623535,031,2022-05-26_19h42.34.438,220304_word_end_click,2022.1.1,61.092393063009354,
,,,,6,0,6,0,,,,,,,,,,,,,30,,,,영화 ,3.7657966900151223,0.9835391574435763,0.9897119734022353,031,2022-05-26_19h42.34.438,220304_word_end_click,2022.1.1,61.092393063009354,
,,,,7,0,7,0,,,,,,,,,,,,,30,,,,캠핑 ,5.877904589870013,0.9423867861429849,0.9650205506218804,031,2022-05-26_19h42.34.438,220304_word_end_click,2022.1.1,61.092393063009354,
,,,,8,0,8,0,,,,,,,,,,,,,30,,,,디저트 ,4.328622790053487,1,0.9897119734022353,031,2022-05-26_19h42.34.438,220304_word_end_click,2022.1.1,61.092393063009354,
,,,,9,0,9,0,,,,,,,,,,,,,30,,,,카페 ,4.065600789850578,0.8148148324754503,0.798353910446167,031,2022-05-26_19h42.34.438,220304_word_end_click,2022.1.1,61.092393063009354,
,,,,10,0,10,0,,,,,,,,,,,,,30,,,,청소 ,5.412220390047878,0.9135802586873374,0.8374485969543457,031,2022-05-26_19h42.34.438,220304_word_end_click,2022.1.1,61.092393063009354,
,,,,11,0,11,0,,,,,,,,,,,,,30,,,,마트 ,10.145719790016301,0.48971189392937564,0.7283950116899278,031,2022-05-26_19h42.34.438,220304_word_end_click,2022.1.1,61.092393063009354,
,,,,12,0,12,0,,,,,,,,,,,,,30,,,,캠핑 ,5.445205989875831,0.46502060360378694,0.5329217778311836,031,2022-05-26_19h42.34.438,220304_word_end_click,2022.1.1,61.092393063009354,
,,,,13,0,13,0,,,,,,,,,,,,,30,,,,게임 ,6.37867548991926,0.6008230315314398,0.6316872702704536,031,2022-05-26_19h42.34.438,220304_word_end_click,2022.1.1,61.092393063009354,
,,,,14,0,14,0,,,,,,,,,,,,,30,,,, 배고픔 ,4.745036390144378,-0.22222227520412874,0.5740740829043918,031,2022-05-26_19h42.34.438,220304_word_end_click,2022.1.1,61.092393063009354,
