repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,checking_instructions.started,checking_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,stimulus_interval,word_type_practice.text,text_4.started,text_4.stopped,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,34.164909499988426,None,space,3.9366802999866195,34.164909499988426,None,,,,,,,,,,,,,,,027,2022-05-20_17h55.43.754,220304_word_end_click,2022.1.1,60.64292414217517,
,,,,0,0,0,0,,,,,,,246.00085489999037,None,space,1.3071399999898858,247.34690959996078,None,30,시험 ,276.29630439996254,None,시험 ,4.528656070062425,-0.004115104675292969,0.9917695257398818,027,2022-05-20_17h55.43.754,220304_word_end_click,2022.1.1,60.64292414217517,
,,,,1,0,1,0,,,,,,,,,,,,,30,,,,들판 ,9.114463570062071,0.8518518341912165,0.5308642254935371,027,2022-05-20_17h55.43.754,220304_word_end_click,2022.1.1,60.64292414217517,
,,,,2,0,2,0,,,,,,,,,,,,,30,,,,근력운동 ,6.597962370025925,0.9382715490129259,0.8991768889957004,027,2022-05-20_17h55.43.754,220304_word_end_click,2022.1.1,60.64292414217517,
,,,,3,0,3,0,,,,,,,,,,,,,30,,,,공직자적격시험 ,15.27858677005861,-0.9794237878587511,0.9135802851782905,027,2022-05-20_17h55.43.754,220304_word_end_click,2022.1.1,60.64292414217517,
,,,,4,0,4,0,,,,,,,,,,,,,30,,,,경찰간부시험 ,9.54531327006407,-0.004115104675292969,0.615226321750217,027,2022-05-20_17h55.43.754,220304_word_end_click,2022.1.1,60.64292414217517,
,,,,5,0,5,0,,,,,,,,,,,,,30,,,,피셋스터디 ,9.197637570032384,-0.34567912419637037,0.7325102488199869,027,2022-05-20_17h55.43.754,220304_word_end_click,2022.1.1,60.64292414217517,
,,,,6,0,6,0,,,,,,,,,,,,,30,,,,2017년 국제법 해설 업로드 ,11.578537870023865,0.9835391574435763,0.9979424476623535,027,2022-05-20_17h55.43.754,220304_word_end_click,2022.1.1,60.64292414217517,
,,,,7,0,7,0,,,,,,,,,,,,,30,,,,행시 헌법 분석표 업로드 ,14.414042369986419,1,1,027,2022-05-20_17h55.43.754,220304_word_end_click,2022.1.1,60.64292414217517,
,,,,8,0,8,0,,,,,,,,,,,,,30,,,,본가 부산 방문 ,5.678122670040466,0.8724280198415122,0.8868313100602891,027,2022-05-20_17h55.43.754,220304_word_end_click,2022.1.1,60.64292414217517,
,,,,9,0,9,0,,,,,,,,,,,,,30,,,,이번 달 무조건 퇴사 ,10.4129438700038,0.7160494062635634,0.8786008358001709,027,2022-05-20_17h55.43.754,220304_word_end_click,2022.1.1,60.64292414217517,
,,,,10,0,10,0,,,,,,,,,,,,,30,,,,근로장려금 접수 ,12.281008770049084,0.8559670713212755,0.9259258641137017,027,2022-05-20_17h55.43.754,220304_word_end_click,2022.1.1,60.64292414217517,
,,,,11,0,11,0,,,,,,,,,,,,,30,,,,집안 정리 또는 해설 작성 ,11.631398470024578,0.6543209817674425,1.0,027,2022-05-20_17h55.43.754,220304_word_end_click,2022.1.1,60.64292414217517,
,,,,12,0,12,0,,,,,,,,,,,,,30,,,,블로그 수익화 고민 ,7.564364870020654,0.83539088567098,0.9958847628699409,027,2022-05-20_17h55.43.754,220304_word_end_click,2022.1.1,60.64292414217517,
,,,,13,0,13,0,,,,,,,,,,,,,30,,,,신라호텔 야간알바 출근 지속고민 ,20.030538770079147,-0.008230474260118248,0.9897119734022353,027,2022-05-20_17h55.43.754,220304_word_end_click,2022.1.1,60.64292414217517,
,,,,14,0,14,0,,,,,,,,,,,,,30,,,,아르바이트 출근일정 정립 ,9.247669570089784,0.9547324975331626,1,027,2022-05-20_17h55.43.754,220304_word_end_click,2022.1.1,60.64292414217517,
