trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_interval,word_type_practice.text,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
,,,,5,점심 ,,,,,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
,,,,,,,,,,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
,,,,,,,,,,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
0,0,0,0,30,,음악 ,6.113562739999907,0.6460905075073242,0.5267489883634779,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
1,0,1,0,30,,월급 ,7.213086039999894,0.25102880265977645,1,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
2,0,2,0,30,,사건 ,6.330074139999965,0.11111113760206437,0.9238683117760552,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
3,0,3,0,30,,전화번호 ,12.345319339999833,0.1728395620981853,0.5843621095021566,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
4,0,4,0,30,,운동 ,4.41291764000016,0.5925925572713218,0.9958847628699409,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
5,0,5,0,30,,머리카락 ,5.646737940000094,0.17695466677347826,1,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
6,0,6,0,30,,향수 ,6.4299973399997725,0.8559670713212755,1.0,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
7,0,7,0,30,,생일 ,5.413108339999781,0.0,0.2181069983376397,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
8,0,8,0,30,,4월 ,9.36280124000018,0.0,0.3004115422566732,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
9,0,9,0,30,,연락 ,4.74800424,0.2839505672454834,1,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
10,0,10,0,30,,과제 ,9.029313439999896,-0.03703700171576607,0.6646090348561605,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
11,0,11,0,30,,라이터 ,6.262699840000096,0.25102880265977645,1,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
12,0,12,0,30,,기대감 ,6.2960019399999965,0.9423867861429849,1,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
13,0,13,0,30,,시끌벅적 ,5.713071040000386,0.5061728424496121,0.5699588457743326,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
14,0,14,0,30,,부러움 ,5.6467942399997355,0.2962962786356609,0.2510288291507297,219,001,2022-05-18_15h55.15.900,220304_word_end_click,2022.1.1,60.01133013913987,
