trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_interval,word_type_practice.text,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
,,,,5,연 구 ,,,,,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
,,,,,,,,,,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
,,,,,,,,,,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
0,0,0,0,30,,노 트 북 ,19.862009940000462,-0.004115104675292969,0.465020563867357,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
1,0,1,0,30,,애플 ,10.946936740000638,0.008230474260118248,0.49176953898535836,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
2,0,2,0,30,,태 블릿 피씨 ,22.527684939999745,-0.004115104675292969,0.06378600332472062,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
3,0,3,0,30,,없슴 ,10.296283239999866,-0.004115104675292969,0.5185185141033597,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
4,0,4,0,30,,자동차 ,11.596319340000264,0.008230474260118248,0.5246913697984483,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
5,0,5,0,30,,디펜더 110,8.579226539999581,0.0,0.5102880398432413,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
6,0,6,0,30,,오른쪽 위에 그림 ,8.462020139999368,-0.004115104675292969,0.5288066069285074,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
7,0,7,0,30,,고양이를 기르고 싶다 ,14.511633240000265,0.9547324975331626,0.020576145913865806,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
8,0,8,0,30,,이런 실험을 하는 랩실이 신기하다 ,23.02762483999959,0.0,0.5102880398432413,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
9,0,9,0,30,,이런 연구는 어떤곳에 쓰일가 ,18.594445839999935,0.5308641327752008,0.5164608955383301,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
10,0,10,0,30,,그냥 궁금하다 ,6.82933753999896,0.0,0.5061728689405653,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
11,0,11,0,30,,왼쪽위의 주사기 ,15.511888339999132,-0.004115104675292969,0.5144032769733005,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
12,0,12,0,30,,옆쪽에서 기기 작동 소리가 난다 ,11.8950196400001,0.008230474260118248,0.010288053088717997,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
13,0,13,0,30,,이런 실험을 통해서 무엇을 알수 있을가 ,11.412556340000265,0.012345711390177483,0.5041152503755357,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
14,0,14,0,30,,어떤 결과 가 나올지 궁금하다 ,13.044900339999913,0.0,0.5226337512334188,220,001,2022-05-20_15h09.19.152,220304_word_end_click,2022.1.1,60.02159577028513,
