repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,checking_instructions.started,checking_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,stimulus_interval,word_type_practice.text,text_4.started,text_4.stopped,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,40.85537879995536,None,space,1.8091692000161856,40.85537879995536,None,,,,,,,,,,,,,,,032,2022-05-27_10h13.57.514,220304_word_end_click,2022.1.1,59.083112825659086,
,,,,0,0,0,0,,,,,,,255.18531259999145,None,space,1.256352899945341,256.3515044999076,None,30,없음,315.8815672999481,None,산과 물 ,9.01284847012721,0.004115237130059235,0.6316872702704536,032,2022-05-27_10h13.57.514,220304_word_end_click,2022.1.1,59.083112825659086,
,,,,1,0,1,0,,,,,,,,,,,,,30,,,,들판 ,4.927369870012626,0.43209870656331373,0.5534979634814792,032,2022-05-27_10h13.57.514,220304_word_end_click,2022.1.1,59.083112825659086,
,,,,2,0,2,0,,,,,,,,,,,,,30,,,,웃음과 슬픔,6.89918356994167,0.19753085242377377,0.7016461027993096,032,2022-05-27_10h13.57.514,220304_word_end_click,2022.1.1,59.083112825659086,
,,,,3,0,3,0,,,,,,,,,,,,,30,,,,플러스 ,4.364186369813979,0.32921804322136783,0.5205761326683892,032,2022-05-27_10h13.57.514,220304_word_end_click,2022.1.1,59.083112825659086,
,,,,4,0,4,0,,,,,,,,,,,,,30,,,,자유 생각 ,5.730905869975686,0.2139918009440105,0.8497941758897569,032,2022-05-27_10h13.57.514,220304_word_end_click,2022.1.1,59.083112825659086,
,,,,5,0,5,0,,,,,,,,,,,,,30,,,,ask ,3.4964844699716195,0.5473250812954373,0.7551439868079292,032,2022-05-27_10h13.57.514,220304_word_end_click,2022.1.1,59.083112825659086,
,,,,6,0,6,0,,,,,,,,,,,,,30,,,,적응과 보수 ,7.861379669979215,0.05761318736606169,0.395061731338501,032,2022-05-27_10h13.57.514,220304_word_end_click,2022.1.1,59.083112825659086,
,,,,7,0,7,0,,,,,,,,,,,,,30,,,,약간 ,3.6989111698931083,-0.13168732325236,0.5884773466322157,032,2022-05-27_10h13.57.514,220304_word_end_click,2022.1.1,59.083112825659086,
,,,,8,0,8,0,,,,,,,,,,,,,30,,,,쑥스러움 ,8.53102877002675,0.03703700171576596,0.6275720331403944,032,2022-05-27_10h13.57.514,220304_word_end_click,2022.1.1,59.083112825659086,
,,,,9,0,9,0,,,,,,,,,,,,,30,,,,미리 ,5.897502269828692,0.008230474260118248,0.36625513765547013,032,2022-05-27_10h13.57.514,220304_word_end_click,2022.1.1,59.083112825659086,
,,,,10,0,10,0,,,,,,,,,,,,,30,,,,생각 많음 ,7.14772837003693,-0.14403290218777132,0.7160493665271335,032,2022-05-27_10h13.57.514,220304_word_end_click,2022.1.1,59.083112825659086,
,,,,11,0,11,0,,,,,,,,,,,,,30,,,,이성과 감정 ,5.461790169938467,0.012345711390177483,0.5884773466322157,032,2022-05-27_10h13.57.514,220304_word_end_click,2022.1.1,59.083112825659086,
,,,,12,0,12,0,,,,,,,,,,,,,30,,,,세심 먼저 ,6.382723669987172,-0.23456785413953996,0.5987654394573636,032,2022-05-27_10h13.57.514,220304_word_end_click,2022.1.1,59.083112825659086,
,,,,13,0,13,0,,,,,,,,,,,,,30,,,,전자파 다음 ,8.008833469939418,-0.16460895538330078,0.6316872702704536,032,2022-05-27_10h13.57.514,220304_word_end_click,2022.1.1,59.083112825659086,
,,,,14,0,14,0,,,,,,,,,,,,,30,,,,까먹음 ,5.779722670093179,-0.22222227520412874,0.5679012272093031,032,2022-05-27_10h13.57.514,220304_word_end_click,2022.1.1,59.083112825659086,
