trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_interval,word_type_practice.text,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
,,,,5,수업 ,,,,,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
,,,,,,,,,,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
,,,,,,,,,,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
0,0,0,0,30,,노래 ,11.77842193999993,0.9053497844272189,0.7325102488199869,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
1,0,1,0,30,,카메라 ,11.529048539999962,0.4855966567993164,0.7716049353281658,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
2,0,2,0,30,,출석체크 ,8.763164840000059,-0.008230474260118248,1.0,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
3,0,3,0,30,,버스 ,4.16308274000005,0.04526747597588443,0.8580246501498752,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
4,0,4,0,30,,코로나 ,5.812906840000096,-0.36625517739189994,0.6028806765874227,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
5,0,5,0,30,,거짓말 ,5.063508040000102,-0.3580247031317817,0.6748971276813083,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
6,0,6,0,30,,실수 ,8.51265363999994,-0.03703700171576607,0.9547325240241157,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
7,0,7,0,30,,계획 ,7.2964836400000195,-0.004115104675292969,0.5432098706563314,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
8,0,8,0,30,,단어 ,4.17789933999984,0.004115237130059235,0.9897119734022353,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
9,0,9,0,30,,선택 ,4.195800039999881,-0.04526747597588432,0.6522633896933662,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
10,0,10,0,30,,기대 ,3.230301439999721,0.004115237130059235,0.7016461027993096,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
11,0,11,0,30,,펜 ,3.4799241400000938,0.36625517739190006,0.6522633896933662,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
12,0,12,0,30,,시간 ,4.596737539999822,0.0,0.8189300960964627,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
13,0,13,0,30,,중요 ,3.929938939999829,0.0,0.5884773466322157,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
14,0,14,0,30,,에너지 ,5.346612840000034,0.05761318736606169,0.6358024411731296,215,001,2022-05-11_16h08.37.286,220304_word_end_click,2022.1.1,59.84701904990034,
