trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_interval,word_type_practice.text,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
,,,,5,덥다 ,,,,,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
,,,,,,,,,,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
,,,,,,,,,,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
0,0,0,0,30,,심장이 뛴다 ,28.649117920082062,-0.4691357082790799,0.8004114627838135,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
1,0,1,0,30,,조용하다 ,9.282287420006469,-0.28395069970024955,0.7489711973402235,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
2,0,2,0,30,,긴장된다 ,7.231486219912767,-0.5267490280999078,0.7695473829905193,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
3,0,3,0,30,,땀이 난다 ,7.998134120018221,-0.7119340366787381,0.7283950116899278,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
4,0,4,0,30,,후회된다 ,8.431411420111544,-0.9794237878587511,0.8662551244099934,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
5,0,5,0,30,,답답하다 ,7.199676120071672,-1,0.5905349651972452,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
6,0,6,0,30,,덥다 ,7.915473919943906,-0.7160494062635634,0.9938272105322944,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
7,0,7,0,30,,삼성 ,10.25025982002262,0.2592592769198947,0.7633744610680474,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
8,0,8,0,30,,헤드폰 ,6.248246020055376,0.004115237130059235,0.6995884842342801,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
9,0,9,0,30,,배부르다 ,5.548515219939873,-0.2427983283996582,0.9794238143497043,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
10,0,10,0,30,,끈적끈적하다 ,15.949639219907112,-0.6872428788079156,0.413580232196384,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
11,0,11,0,30,,불편함 ,6.381026219925843,-1,0.8559670978122287,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
12,0,12,0,30,,걱정이 든다 ,10.066219019936398,-0.6008230315314399,0.9711934725443523,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
13,0,13,0,30,,여행을 떠나고 싶다 ,10.449407820007764,0.637860033247206,0.9979424476623535,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
14,0,14,0,30,,싱가포르 여행 ,14.83319361996837,0.868312782711453,0.27572018570370144,122,001,2022-05-09_15h21.45.737,220304_word_end_click,2022.1.1,59.93931741956016,
