trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_interval,word_type_practice.text,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
,,,,5,가족 ,,,,,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
,,,,,,,,,,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
,,,,,,,,,,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
0,0,0,0,30,,내시경 ,6.412880369996856,-0.15226337644788956,0.6131687031851875,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
1,0,1,0,30,,남자친구 ,7.629877970000962,0.9176954958173964,0.9650205506218804,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
2,0,2,0,30,,베토벤 교향곡 ,9.746446570003172,0.8106995953453913,0.41152261363135445,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
3,0,3,0,30,,"출판사
",11.796057770003245,0.4979423681894939,0.7901234361860487,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
4,0,4,0,30,,노란 조명 ,7.597289670000464,0.4197531276279025,0.18518516752454972,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
5,0,5,0,30,,재테크  ,14.429138170002261,-0.18930037816365564,0.5596707529491849,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
6,0,6,0,30,,건강한 러닝 ,9.679544770002394,0.8806584941016302,0.07818930016623604,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
7,0,7,0,30,,십이지장 ,9.846362969998154,-0.6707819302876791,0.6646090348561605,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
8,0,8,0,30,,규칙적인 식생활 ,23.027784270001575,-0.10288053088717986,0.277777804268731,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
9,0,9,0,30,,근육 ,5.646551170000748,0.8600823084513345,0.44238682587941486,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
10,0,10,0,30,,고양이 모네 ,8.379549370001769,1,0.02469134993023342,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
11,0,11,0,30,,새벽 필사 ,7.279387769998721,0.6913579834832086,0.7674896981981065,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
12,0,12,0,30,,무심함 ,10.314128869998967,-0.6790124045477973,0.8930040995279949,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
13,0,13,0,30,,가계부,9.929589469997154,-0.4855966567993164,0.057613180743323444,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
14,0,14,0,30,,예니콜 ,8.145885170000838,0.3786008887820773,0.01440329021877712,225,001,2022-05-25_17h40.48.471,220304_word_end_click,2022.1.1,60.16362098237063,
