trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus_interval,word_type_practice.text,word_type.text,word_type.ended,valence_rating.response,self_rating.response,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
,,,,5,실험 신기하다 ,,,,,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
,,,,,,,,,,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
,,,,,,,,,,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
0,0,0,0,30,,졸림 ,10.98356233999948,-0.5473250812954373,0.981481499142117,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
1,0,1,0,30,,이따가 수업 ,9.61594524000975,-0.16872432496812606,0.66666665342119,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
2,0,2,0,30,,연구실 출입신청 ,9.984085039999627,0.08230447769165039,0.967078235414293,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
3,0,3,0,30,,저녁회식 ,7.497587839992775,0.7407406965891519,0.9629629982842339,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
4,0,4,0,30,,연구노트 작성 ,11.216817640000954,-0.31687233183119035,0.7818929619259305,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
5,0,5,0,30,,내일 일정 ,5.730777640004817,0.5473250812954373,0.9341563383738201,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
6,0,6,0,30,,놓고온 물건 ,8.56429943999683,-0.20576132668389213,0.8209876484341092,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
7,0,7,0,30,,실험 신기하다 ,7.914102739996451,0.6090535057915583,0.38683125707838273,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
8,0,8,0,30,,덥다 ,9.00051664000057,-0.1481482717725966,0.6378600597381592,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
9,0,9,0,30,,어제 읽은 책 ,9.597594840000966,0.8230453067355685,0.8559670978122287,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
10,0,10,0,30,,토요일 일정 ,7.582622939997236,0.8806584941016302,0.9465020497639973,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
11,0,11,0,30,,아침에 들은 노래 ,7.363931240004604,0.8230453067355685,0.29629630512661403,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
12,0,12,0,30,,아침밥 ,6.147080939997977,0.5267490280999079,0.7366254859500461,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
13,0,13,0,30,,병원 전화 ,13.414459740000893,-0.2098764313591851,0.6954732471042209,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
14,0,14,0,30,,밴드 ,7.4984804399937275,0.6954732206132677,0.8559670978122287,102,001,2022-04-28_09h11.24.174,220304_word_end_click,2022.1.1,60.29028566603117,
