target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,52.3780465000018,30.518781259987737,None,82.91524249999202,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,2023-03-31_17h22.31.733,Main,2022.1.1,60.268629334927994,
positive,positive,1,l,j,,,,,0,0,0,2,,,,,,,,,,,88.16766179999104,None,prac,2,2,1,positive,positive,l,l,1,1.7333180000132415,90.18550130000222,91.19839350000257,91.16506139998091,None,90.18550130000222,None,90.18550130000222,None,90.18550130000222,None,92.91572009999072,None,92.91572009999072,None,92.91572009999072,None,,,,,,,,,,,,,,108,2023-03-31_17h22.31.733,Main,2022.1.1,60.268629334927994,
neutral,negative,1,k,k,,,,,0,1,1,7,,,,,,,,,,,,,prac,1,1,1,negative,neutral,k,k,1,0.7015607999928761,93.91647039999953,94.9174274999823,94.90094409999438,None,93.91647039999953,None,93.91647039999953,None,93.91647039999953,None,95.6153333599912,None,95.6153333599912,None,95.6153333599912,None,,,,,,,,,,,,,,108,2023-03-31_17h22.31.733,Main,2022.1.1,60.268629334927994,
negative,positive,2,j,l,,,,,0,2,2,15,,,,,,,,,,,,,prac,2,2,2,positive,negative,j,j,1,1.0149936999951024,95.63415229998645,96.63403980000294,96.61748859999352,None,95.63415229998645,None,95.63415229998645,None,95.63415229998645,None,97.63198465997702,None,97.63198465997702,None,97.63198465997702,None,,,,,,,,,,,,,,108,2023-03-31_17h22.31.733,Main,2022.1.1,60.268629334927994,
neutral,positive,1,k,k,,,,,0,3,3,4,,,,,,,,,,,,,prac,1,1,1,positive,neutral,k,k,1,0.7041103000228759,97.63579349999782,98.65078579998226,98.63407249999,None,97.63579349999782,None,97.63579349999782,None,97.63579349999782,None,99.33573425998911,None,99.33573425998911,None,99.33573425998911,None,,,,,,,,,,,,,,108,2023-03-31_17h22.31.733,Main,2022.1.1,60.268629334927994,
positive,neutral,1,l,j,,,,,0,4,4,8,,,,,,,,,,,,,prac,2,2,1,neutral,positive,l,l,1,0.6761087000195403,99.34166809997987,100.34815000000526,100.331478099979,None,99.34166809997987,None,99.34166809997987,None,99.34166809997987,None,101.01478045999538,None,101.01478045999538,None,101.01478045999538,None,,,,,,,,,,,,,,108,2023-03-31_17h22.31.733,Main,2022.1.1,60.268629334927994,
neutral,negative,2,k,k,,,,,0,5,5,16,,,,,,,,,,,,,prac,2,2,2,negative,neutral,k,k,1,0.5489437000069302,101.01479980000295,102.01483489997918,102.01483489997918,None,101.01479980000295,None,101.01479980000295,None,101.01479980000295,None,102.5648320599983,None,102.5648320599983,None,102.5648320599983,None,,,,,,,,,,,,,,108,2023-03-31_17h22.31.733,Main,2022.1.1,60.268629334927994,
positive,positive,2,l,j,,,,,0,6,6,11,,,,,,,,,,,,,prac,2,2,2,positive,positive,l,l,1,0.6819251999841072,102.56557119998615,103.56483109999681,103.56483109999681,None,102.56557119998615,None,102.56557119998615,None,102.56557119998615,None,104.24816305997665,None,104.24816305997665,None,104.24816305997665,None,,,,,,,,,,,,,,108,2023-03-31_17h22.31.733,Main,2022.1.1,60.268629334927994,
negative,negative,2,j,l,,,,,0,7,7,9,,,,,,,,,,,,,prac,2,2,2,negative,negative,j,j,1,0.798946299997624,104.25122049998026,105.25065750000067,105.234009399981,None,104.25122049998026,None,104.25122049998026,None,104.25122049998026,None,106.04846135999541,None,106.04846135999541,None,106.04846135999541,None,,,,,,,,,,,,,,108,2023-03-31_17h22.31.733,Main,2022.1.1,60.268629334927994,
negative,positive,1,j,l,,,,,0,8,8,6,,,,,,,,,,,,,prac,2,2,1,positive,negative,j,j,1,1.3508613999874797,106.05199509998783,107.06730259998585,107.05056629999308,None,106.05199509998783,None,106.05199509998783,None,106.05199509998783,None,108.4004422599799,None,108.4004422599799,None,108.4004422599799,None,,,,,,,,,,,,,,108,2023-03-31_17h22.31.733,Main,2022.1.1,60.268629334927994,
negative,neutral,2,j,l,,,,,0,9,9,12,,,,,,,,,,,,,prac,1,1,2,neutral,negative,j,j,1,0.8465568000101484,108.40532269998221,109.41712070000358,109.40058899999713,None,108.40532269998221,None,108.40532269998221,None,108.40532269998221,None,110.24836385999224,None,110.24836385999224,None,110.24836385999224,None,,,,,,,,,,,,,,108,2023-03-31_17h22.31.733,Main,2022.1.1,60.268629334927994,
neutral,neutral,1,k,k,,,,,0,10,10,1,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,k,k,1,1.2983952999929897,110.25139069999568,111.25051449998864,111.23382269998547,None,110.25139069999568,None,110.25139069999568,None,110.25139069999568,None,112.54790786000085,None,112.54790786000085,None,112.54790786000085,None,,,,,,,,,,,,,,108,2023-03-31_17h22.31.733,Main,2022.1.1,60.268629334927994,
negative,neutral,1,j,l,,,,,0,11,11,3,,,,,,,,,,,,,prac,2,2,1,neutral,negative,j,j,1,0.801176699984353,112.54788420000114,113.54796689999057,113.54796689999057,None,112.54788420000114,None,112.54788420000114,None,112.54788420000114,None,114.3503246599983,None,114.3503246599983,None,114.3503246599983,None,,,,,,,,,,,,,,108,2023-03-31_17h22.31.733,Main,2022.1.1,60.268629334927994,
neutral,positive,2,k,k,,,,,0,12,12,13,,,,,,,,,,,,,prac,2,2,2,positive,neutral,k,k,1,0.630307699990226,114.353066199983,115.36704270000337,115.35040579998167,None,114.353066199983,None,114.353066199983,None,114.353066199983,None,115.98158675997983,None,115.98158675997983,None,115.98158675997983,None,,,,,,,,,,,,,,108,2023-03-31_17h22.31.733,Main,2022.1.1,60.268629334927994,
