target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,56.90970079996623,33.84472396012861,None,90.77696950011887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,2023-03-29_10h26.30.965,Main,2022.1.1,60.0080170762405,
neutral,neutral,1,k,k,,,,,0,0,0,1,,,,,,,,,,,94.16022499999963,None,prac,2,2,1,neutral,neutral,k,k,1,2.303036600118503,96.17326690000482,97.17411949997768,97.16019700001925,None,96.17326690000482,None,96.17326690000482,None,96.17326690000482,None,99.47631709999405,None,99.47631709999405,None,99.47631709999405,None,,,,,,,,,,,,,205,2023-03-29_10h26.30.965,Main,2022.1.1,60.0080170762405,
negative,positive,2,j,l,,,,,0,1,1,15,,,,,,,,,,,,,prac,2,2,2,positive,negative,l,l,1,1.1174087000545114,100.47541890013963,101.49341950006783,101.45744749996811,None,100.47541890013963,None,100.47541890013963,None,100.47541890013963,None,102.59067486014683,None,102.59067486014683,None,102.59067486014683,None,,,,,,,,,,,,,205,2023-03-29_10h26.30.965,Main,2022.1.1,60.0080170762405,
positive,neutral,1,l,j,,,,,0,2,2,8,,,,,,,,,,,,,prac,1,1,1,neutral,positive,j,j,1,1.21707300003618,102.59517650003545,103.6073474001605,103.59336050017737,None,102.59517650003545,None,102.59517650003545,None,102.59517650003545,None,104.80997186012101,None,104.80997186012101,None,104.80997186012101,None,,,,,,,,,,,,,205,2023-03-29_10h26.30.965,Main,2022.1.1,60.0080170762405,
neutral,negative,1,k,k,,,,,0,3,3,7,,,,,,,,,,,,,prac,1,1,1,negative,neutral,k,k,1,0.8787750001065433,104.8131921000313,105.8239559000358,105.81003409996629,None,104.8131921000313,None,104.8131921000313,None,104.8131921000313,None,106.69057026014198,None,106.69057026014198,None,106.69057026014198,None,,,,,,,,,,,,,205,2023-03-29_10h26.30.965,Main,2022.1.1,60.0080170762405,
negative,negative,1,j,l,,,,,0,4,4,0,,,,,,,,,,,,,prac,1,1,1,negative,negative,l,l,1,1.001769799971953,106.69431980000809,107.69332149997354,107.67668370017782,None,106.69431980000809,None,106.69431980000809,None,106.69431980000809,None,108.69319086007309,None,108.69319086007309,None,108.69319086007309,None,,,,,,,,,,,,,205,2023-03-29_10h26.30.965,Main,2022.1.1,60.0080170762405,
negative,neutral,2,j,l,,,,,0,5,5,12,,,,,,,,,,,,,prac,2,2,2,neutral,negative,l,l,1,0.8785665999166667,108.69723030016758,109.70726729999296,109.690572099993,None,108.69723030016758,None,108.69723030016758,None,108.69723030016758,None,110.5738509599818,None,110.5738509599818,None,110.5738509599818,None,,,,,,,,,,,,,205,2023-03-29_10h26.30.965,Main,2022.1.1,60.0080170762405,
neutral,positive,1,k,k,,,,,0,6,6,4,,,,,,,,,,,,,prac,1,1,1,positive,neutral,k,k,1,0.7678668999578804,110.57732060016133,111.57663330016658,111.57663330016658,None,110.57732060016133,None,110.57732060016133,None,110.57732060016133,None,112.343213060149,None,112.343213060149,None,112.343213060149,None,,,,,,,,,,,,,205,2023-03-29_10h26.30.965,Main,2022.1.1,60.0080170762405,
positive,negative,1,l,j,,,,,0,7,7,5,,,,,,,,,,,,,prac,1,1,1,negative,positive,j,j,1,0.8165166999679059,112.34647350013256,113.35991960018873,113.34325530007482,None,112.34647350013256,None,112.34647350013256,None,112.34647350013256,None,114.15980015995447,None,114.15980015995447,None,114.15980015995447,None,,,,,,,,,,,,,205,2023-03-29_10h26.30.965,Main,2022.1.1,60.0080170762405,
positive,negative,2,l,j,,,,,0,8,8,14,,,,,,,,,,,,,prac,2,2,2,negative,positive,j,k,0,1.0306960998568684,114.16373979998752,115.17378329997882,115.15980789996684,None,114.16373979998752,None,114.16373979998752,None,114.16373979998752,None,116.19040099997073,None,116.19040099997073,None,116.19040099997073,None,,,,,,,,,,,,,205,2023-03-29_10h26.30.965,Main,2022.1.1,60.0080170762405,
