target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,54.18240979989059,29.230763679998926,None,83.44342000014149,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,2023-03-29_14h56.42.487,Main,2022.1.1,59.983900310294544,
negative,negative,1,j,l,,,,,0,0,0,0,,,,,,,,,,,87.51291869999841,None,prac,2,2,1,negative,negative,j,j,1,1.6703308001160622,89.5258500999771,90.52680590003729,90.51013620011508,None,89.5258500999771,None,89.5258500999771,None,89.5258500999771,None,92.19606340001337,None,92.19606340001337,None,92.19606340001337,None,,,,,,,,,,,,,,206,2023-03-29_14h56.42.487,Main,2022.1.1,59.983900310294544,
neutral,positive,1,k,k,,,,,0,1,1,4,,,,,,,,,,,,,prac,2,2,1,positive,neutral,k,k,1,1.2175330000463873,93.19497700012289,94.1933784999419,94.17950710002333,None,93.19497700012289,None,93.19497700012289,None,93.19497700012289,None,95.41003298007418,None,95.41003298007418,None,95.41003298007418,None,,,,,,,,,,,,,,206,2023-03-29_14h56.42.487,Main,2022.1.1,59.983900310294544,
neutral,negative,1,k,k,,,,,0,2,2,7,,,,,,,,,,,,,prac,1,1,1,negative,neutral,k,k,1,0.7315454001072794,95.41396110015921,96.42666410002857,96.41000439994968,None,95.41396110015921,None,95.41396110015921,None,95.41396110015921,None,97.14331658014562,None,97.14331658014562,None,97.14331658014562,None,,,,,,,,,,,,,,206,2023-03-29_14h56.42.487,Main,2022.1.1,59.983900310294544,
neutral,neutral,1,k,k,,,,,0,3,3,1,,,,,,,,,,,,,prac,1,1,1,neutral,neutral,k,k,1,0.6012444999068975,97.14849669998512,98.15993440011516,98.14325660001487,None,97.14849669998512,None,97.14849669998512,None,97.14849669998512,None,98.74592367995065,None,98.74592367995065,None,98.74592367995065,None,,,,,,,,,,,,,,206,2023-03-29_14h56.42.487,Main,2022.1.1,59.983900310294544,
neutral,negative,2,k,k,,,,,0,4,4,16,,,,,,,,,,,,,prac,1,1,2,negative,neutral,k,k,1,0.8961914998944849,98.74926620000042,99.75998520012945,99.74325480009429,None,98.74926620000042,None,98.74926620000042,None,98.74926620000042,None,100.64332257995848,None,100.64332257995848,None,100.64332257995848,None,,,,,,,,,,,,,,206,2023-03-29_14h56.42.487,Main,2022.1.1,59.983900310294544,
neutral,positive,2,k,k,,,,,0,5,5,13,,,,,,,,,,,,,prac,2,2,2,positive,neutral,k,k,1,0.6651804000139236,100.64881390007213,101.65987440012395,101.64594910014421,None,100.64881390007213,None,100.64881390007213,None,100.64881390007213,None,102.30984498017934,None,102.30984498017934,None,102.30984498017934,None,,,,,,,,,,,,,,206,2023-03-29_14h56.42.487,Main,2022.1.1,59.983900310294544,
positive,positive,1,l,j,,,,,0,6,6,2,,,,,,,,,,,,,prac,2,2,1,positive,positive,l,l,1,1.3148024999536574,102.31576950009912,103.32652810006402,103.3126242000144,None,102.31576950009912,None,102.31576950009912,None,102.31576950009912,None,104.62644437996205,None,104.62644437996205,None,104.62644437996205,None,,,,,,,,,,,,,,206,2023-03-29_14h56.42.487,Main,2022.1.1,59.983900310294544,
positive,positive,2,l,j,,,,,0,7,7,11,,,,,,,,,,,,,prac,1,1,2,positive,positive,l,l,1,0.9656791999004781,104.62978580011986,105.6459606999997,105.6291743000038,None,104.62978580011986,None,104.62978580011986,None,104.62978580011986,None,106.59311098016333,None,106.59311098016333,None,106.59311098016333,None,,,,,,,,,,,,,,206,2023-03-29_14h56.42.487,Main,2022.1.1,59.983900310294544,
negative,positive,2,j,l,,,,,0,8,8,15,,,,,,,,,,,,,prac,2,2,2,positive,negative,j,j,1,0.831751799909398,106.59908620011993,107.60974410013296,107.59310379996896,None,106.59908620011993,None,106.59908620011993,None,106.59908620011993,None,108.4263854801422,None,108.4263854801422,None,108.4263854801422,None,,,,,,,,,,,,,,206,2023-03-29_14h56.42.487,Main,2022.1.1,59.983900310294544,
