target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,negative,2,l,j,,,,,,,,,10,4,184,14,,,,,,,,,main,2,2,2,negative,positive,l,l,1,0.7126426000031643,470.10687659998075,471.1176531999954,471.10099189999164,None,470.10687659998075,None,470.10687659998075,None,470.10687659998075,None,471.8176132699853,None,471.8176132699853,None,471.8176132699853,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
neutral,positive,2,k,k,,,,,,,,,10,5,185,13,,,,,,,,,main,1,1,2,positive,neutral,k,k,1,0.7482487999950536,471.8180050999799,472.8176936999953,472.8176936999953,None,471.8180050999799,None,471.8180050999799,None,471.8180050999799,None,473.5676474699838,None,473.5676474699838,None,473.5676474699838,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
positive,positive,2,l,j,,,,,,,,,10,6,186,11,,,,,,,,,main,1,1,2,positive,positive,l,l,1,0.9823549999855459,473.5684457999887,474.56768369997735,474.56768369997735,None,473.5684457999887,None,473.5684457999887,None,473.5684457999887,None,475.5513880699844,None,475.5513880699844,None,475.5513880699844,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
positive,neutral,1,l,j,,,,,,,,,10,7,187,8,,,,,,,,,main,2,2,1,neutral,positive,l,l,1,0.7647501000028569,475.55521669998416,476.5700986000011,476.5535174999968,None,475.55521669998416,None,475.55521669998416,None,475.55521669998416,None,477.31792236998155,None,477.31792236998155,None,477.31792236998155,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
neutral,neutral,1,k,k,,,,,,,,,10,8,188,1,,,,,,,,,main,1,1,1,neutral,neutral,k,k,1,0.5980900000140537,477.3212568000017,478.3368139999802,478.32012789999135,None,477.3212568000017,None,477.3212568000017,None,477.3212568000017,None,478.917545770001,None,478.917545770001,None,478.917545770001,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
neutral,negative,2,k,k,,,,,,,,,10,9,189,16,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.7010998000041582,478.92119470000034,479.9367170999758,479.9201133000024,None,478.92119470000034,None,478.92119470000034,None,478.92119470000034,None,480.61996357000027,None,480.61996357000027,None,480.61996357000027,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
negative,neutral,2,j,l,,,,,,,,,10,10,190,12,,,,,,,,,main,1,1,2,neutral,negative,j,j,1,0.7282309999864083,480.6244882999745,481.63658540000324,481.6200215999852,None,480.6244882999745,None,480.6244882999745,None,480.6244882999745,None,482.35109496998194,None,482.35109496998194,None,482.35109496998194,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
negative,negative,1,j,l,,,,,,,,,10,11,191,0,,,,,,,,,main,1,1,1,negative,negative,j,j,1,0.6974815999856219,482.35709939998924,483.3673940000008,483.3507353999885,None,482.35709939998924,None,482.35709939998924,None,482.35709939998924,None,484.05067976997526,None,484.05067976997526,None,484.05067976997526,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
neutral,negative,1,k,k,,,,,,,,,10,12,192,7,,,,,,,,,main,1,1,1,negative,neutral,k,k,1,0.66530849999981,484.051387399988,485.05076149999513,485.05076149999513,None,484.051387399988,None,484.051387399988,None,484.051387399988,None,485.7174002699874,None,485.7174002699874,None,485.7174002699874,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
negative,positive,1,j,l,,,,,,,,,10,13,193,6,,,,,,,,,main,1,1,1,positive,negative,j,j,1,0.7842545000021346,485.7183502999833,486.71744119998766,486.71744119998766,None,485.7183502999833,None,485.7183502999833,None,485.7183502999833,None,487.5034506699856,None,487.5034506699856,None,487.5034506699856,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
negative,neutral,1,j,l,,,,,,,,,10,14,194,3,,,,,,,,,main,2,2,1,neutral,negative,j,j,1,0.6985152999986894,487.5082168999943,488.51996679999866,488.50325650000013,None,487.5082168999943,None,487.5082168999943,None,487.5082168999943,None,489.20344686999744,None,489.20344686999744,None,489.20344686999744,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
neutral,neutral,2,k,k,,,,,,,,,10,15,195,10,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.7969042000186164,489.20722620000015,490.21991600000183,490.20330599998124,None,489.20722620000015,None,489.20722620000015,None,489.20722620000015,None,491.00101006999904,None,491.00101006999904,None,491.00101006999904,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
positive,negative,1,l,j,,,,,,,,,10,16,196,5,,,,,,,,,main,2,2,1,negative,positive,l,l,1,0.7317636999941897,491.0078355000005,492.0198841999809,492.003173199977,None,491.0078355000005,None,491.0078355000005,None,491.0078355000005,None,492.7343072699994,None,492.7343072699994,None,492.7343072699994,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
negative,positive,2,j,l,,,,,,,,,10,17,197,15,,,,,,,,,main,1,1,2,positive,negative,j,j,1,0.7471133999933954,492.73911110000336,493.7531602999952,493.73646849999204,None,492.73911110000336,None,492.73911110000336,None,492.73911110000336,None,494.4842672699859,None,494.4842672699859,None,494.4842672699859,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
positive,positive,1,l,j,,,,,,,,,11,0,198,2,,,,,,,,,main,2,2,1,positive,positive,l,l,1,0.8647148000018205,494.4880506999907,495.5005011999747,495.4838324000011,None,494.4880506999907,None,494.4880506999907,None,494.4880506999907,None,496.35044246999024,None,496.35044246999024,None,496.35044246999024,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
positive,negative,2,l,j,,,,,,,,,11,1,199,14,,,,,,,,,main,1,1,2,negative,positive,l,l,1,1.0317765999934636,496.3504863999842,497.35052119998727,497.35052119998727,None,496.3504863999842,None,496.3504863999842,None,496.3504863999842,None,498.38380676999515,None,498.38380676999515,None,498.38380676999515,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
positive,positive,2,l,j,,,,,,,,,11,2,200,11,,,,,,,,,main,2,2,2,positive,positive,l,l,1,0.6821425000089221,498.40053669997724,499.40306929999497,499.38638229999924,None,498.40053669997724,None,498.40053669997724,None,498.40053669997724,None,500.0674818700034,None,500.0674818700034,None,500.0674818700034,None,,,,,,,,,,,,,104,2023-04-18_15h16.42.320,Main,2022.1.1,59.98321669037557,
