target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,negative,1,j,l,,,,,1,10,28,0,,,,,,,,,,,,,prac,2,2,1,negative,negative,l,l,1,0.6320248999982141,105.28501870000036,106.29779420001432,106.28113130002748,None,105.28501870000036,None,105.28501870000036,None,105.28501870000036,None,106.91500882001128,None,106.91500882001128,None,106.91500882001128,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,neutral,1,j,l,,,,,1,11,29,3,,,,,,,,,,,,,prac,2,2,1,neutral,negative,l,l,1,0.7150961000006646,106.91454349999549,107.91448209999362,107.91448209999362,None,106.91454349999549,None,106.91454349999549,None,106.91454349999549,None,108.63114261999726,None,108.63114261999726,None,108.63114261999726,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,negative,2,k,k,,,,,1,12,30,16,,,,,,,,,,,,,prac,2,2,2,negative,neutral,k,k,1,0.5508066999609582,108.63486200000625,109.65029510000022,109.63363100000424,None,108.63486200000625,None,108.63486200000625,None,108.63486200000625,None,110.18350192002254,None,110.18350192002254,None,110.18350192002254,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,negative,1,l,j,,,,,1,13,31,5,,,,,,,,,,,,,prac,1,1,1,negative,positive,j,j,1,0.546251299965661,110.18661480001174,111.20024889998604,111.18359780003084,None,110.18661480001174,None,110.18661480001174,None,110.18661480001174,None,111.73140272003366,None,111.73140272003366,None,111.73140272003366,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
positive,neutral,1,l,j,,,,,1,14,32,8,,,,,,,,,,,,,prac,2,2,1,neutral,positive,j,j,1,0.5846832999959588,111.73517689999426,112.74808869999833,112.71690470003523,None,111.73517689999426,None,111.73517689999426,None,111.73517689999426,None,113.31680031999713,None,113.31680031999713,None,113.31680031999713,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,positive,2,j,l,,,,,1,15,33,15,,,,,,,,,,,,,prac,2,2,2,positive,negative,l,l,1,0.6484516999917105,113.32022639998468,114.33347250003135,114.316953200032,None,113.32022639998468,None,113.32022639998468,None,113.32022639998468,None,114.96687931998167,None,114.96687931998167,None,114.96687931998167,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
neutral,negative,1,k,k,,,,,1,16,34,7,,,,,,,,,,,,,prac,2,2,1,negative,neutral,k,k,1,0.5288014999823645,114.97151539998595,115.98097460001009,115.96430150000378,None,114.97151539998595,None,114.97151539998595,None,114.97151539998595,None,116.49759591999464,None,116.49759591999464,None,116.49759591999464,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
negative,negative,2,j,l,,,,,1,17,35,9,,,,,,,,,,,,,prac,1,1,2,negative,negative,l,l,1,0.6011041000019759,116.49755470000673,117.49766340001952,117.49766340001952,None,116.49755470000673,None,116.49755470000673,None,116.49755470000673,None,118.10015502001625,None,118.10015502001625,None,118.10015502001625,None,,,,,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.10017859999789,None,space,3.8769114000024274,,,,,,,,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7916667,-0.20833333,0,0,0,0.010910920042078942,None,,,103,2023-04-20_14h26.25.157,Main,2022.1.1,59.9982600441946,
