target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,neutral,2,j,l,,,,,,,,,7,5,131,12,,,,,,,,,main,2,2,2,neutral,negative,l,l,1,0.6652997999917716,344.84651359997224,345.85701609996613,345.8403473000508,None,344.84651359997224,None,344.84651359997224,None,344.84651359997224,None,346.5069745199522,None,346.5069745199522,None,346.5069745199522,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
neutral,negative,1,k,k,,,,,,,,,7,6,132,7,,,,,,,,,main,1,1,1,negative,neutral,k,k,1,0.5314688999205828,346.5072972000344,347.50815470004454,347.50815470004454,None,346.5072972000344,None,346.5072972000344,None,346.5072972000344,None,348.0403317200486,None,348.0403317200486,None,348.0403317200486,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
negative,neutral,1,j,l,,,,,,,,,7,7,133,3,,,,,,,,,main,2,2,1,neutral,negative,l,l,1,0.5986361000686884,348.0407970000524,349.04165170004126,349.04165170004126,None,348.0407970000524,None,348.0407970000524,None,348.0407970000524,None,349.6403504200513,None,349.6403504200513,None,349.6403504200513,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
negative,positive,2,j,l,,,,,,,,,7,8,134,15,,,,,,,,,main,1,1,2,positive,negative,l,l,1,0.631866900017485,349.64378779998515,350.6428962999489,350.6428962999489,None,349.64378779998515,None,349.64378779998515,None,349.64378779998515,None,351.27363312002274,None,351.27363312002274,None,351.27363312002274,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
negative,positive,1,j,l,,,,,,,,,7,9,135,6,,,,,,,,,main,2,2,1,positive,negative,l,l,1,0.6684936999808997,351.28011689998675,352.2927799000172,352.27616919996217,None,351.28011689998675,None,351.28011689998675,None,351.28011689998675,None,352.9433664200129,None,352.9433664200129,None,352.9433664200129,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,negative,1,l,j,,,,,,,,,7,10,136,5,,,,,,,,,main,2,2,1,negative,positive,j,j,1,0.7474026000127196,352.94710740004666,353.95940050005447,353.9427949000383,None,352.94710740004666,None,352.94710740004666,None,352.94710740004666,None,354.69270942001606,None,354.69270942001606,None,354.69270942001606,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,neutral,1,l,j,,,,,,,,,7,11,137,8,,,,,,,,,main,1,1,1,neutral,positive,j,j,1,0.5622882000170648,354.6959158000536,355.7093176000053,355.6927407999756,None,354.6959158000536,None,354.6959158000536,None,354.6959158000536,None,356.2569260200486,None,356.2569260200486,None,356.2569260200486,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,negative,2,l,j,,,,,,,,,7,12,138,14,,,,,,,,,main,1,1,2,negative,positive,j,j,1,0.7309812000021338,356.26109589997213,357.27594830002636,357.2594181000022,None,356.26109589997213,None,356.26109589997213,None,356.26109589997213,None,357.99012212003583,None,357.99012212003583,None,357.99012212003583,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
neutral,positive,2,k,k,,,,,,,,,7,13,139,13,,,,,,,,,main,2,2,2,positive,neutral,k,k,1,0.6320431000785902,357.9909897999605,358.99012510001194,358.99012510001194,None,357.9909897999605,None,357.9909897999605,None,357.9909897999605,None,359.6234327199869,None,359.6234327199869,None,359.6234327199869,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
positive,neutral,2,l,j,,,,,,,,,7,14,140,17,,,,,,,,,main,2,2,2,neutral,positive,j,j,1,0.5990587000269443,359.6242506999988,360.62346459995024,360.62346459995024,None,359.6242506999988,None,359.6242506999988,None,359.6242506999988,None,361.223394520022,None,361.223394520022,None,361.223394520022,None,,,,,,,,,,,,,203,2023-04-26_17h06.57.514,Main,2022.1.1,60.44407048677523,
