target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,positive,2,l,j,,,,,,,,,8,0,144,11,,,,,,,,,main,2,2,2,positive,positive,j,l,0,-0.7682257000124082,375.72800919995643,None,None,None,375.72800919995643,None,375.72800919995643,None,375.72800919995643,None,375.96119950001594,None,375.96119950001594,None,375.96119950001594,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
negative,negative,1,j,l,,,,,,,,,8,1,145,0,,,,,,,,,main,2,2,1,negative,negative,l,l,1,0.7395765000255778,378.96235929999966,379.96361490001436,379.94701919995714,None,378.96235929999966,None,378.96235929999966,None,378.96235929999966,None,380.6969887099811,None,380.6969887099811,None,380.6969887099811,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
positive,negative,1,l,j,,,,,,,,,8,2,146,5,,,,,,,,,main,1,1,1,negative,positive,j,j,1,0.7622866999590769,380.70308889995795,381.7135792999761,381.69697289995383,None,380.70308889995795,None,380.70308889995795,None,380.70308889995795,None,382.4636952100671,None,382.4636952100671,None,382.4636952100671,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
positive,neutral,1,l,j,,,,,,,,,8,3,147,8,,,,,,,,,main,2,2,1,neutral,positive,j,j,1,0.7128525000298396,382.4672429000493,383.4802430999698,383.46365170006175,None,382.4672429000493,None,382.4672429000493,None,382.4672429000493,None,384.17851910997416,None,384.17851910997416,None,384.17851910997416,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
positive,positive,1,l,j,,,,,,,,,8,4,148,2,,,,,,,,,main,1,1,1,positive,positive,j,j,1,0.6814908999949694,384.18436900002416,385.1968666999601,385.1780237000203,None,384.18436900002416,None,384.18436900002416,None,384.18436900002416,None,385.86136101001176,None,385.86136101001176,None,385.86136101001176,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
positive,neutral,2,l,j,,,,,,,,,8,5,149,17,,,,,,,,,main,2,2,2,neutral,positive,j,j,1,0.7316490000812337,385.86518329998944,386.8776043000398,386.86093209998216,None,385.86518329998944,None,385.86518329998944,None,385.86518329998944,None,387.59426670999966,None,387.59426670999966,None,387.59426670999966,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
negative,neutral,2,j,l,,,,,,,,,8,6,150,12,,,,,,,,,main,2,2,2,neutral,negative,l,l,1,0.7481682000216097,387.5946795999771,388.5943071000511,388.5943071000511,None,387.5946795999771,None,387.5946795999771,None,387.5946795999771,None,389.3442878100439,None,389.3442878100439,None,389.3442878100439,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
negative,positive,2,j,l,,,,,,,,,8,7,151,15,,,,,,,,,main,1,1,2,positive,negative,l,l,1,0.7342348999809474,389.3448079000227,390.34426939999685,390.34426939999685,None,389.3448079000227,None,389.3448079000227,None,389.3448079000227,None,391.08005151002436,None,391.08005151002436,None,391.08005151002436,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
neutral,negative,1,k,k,,,,,,,,,8,8,152,7,,,,,,,,,main,1,1,1,negative,neutral,k,k,1,0.698452000040561,391.08315299998503,392.0967857000651,392.0800430000527,None,391.08315299998503,None,391.08315299998503,None,391.08315299998503,None,392.77999911004446,None,392.77999911004446,None,392.77999911004446,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
neutral,negative,2,k,k,,,,,,,,,8,9,153,16,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.648656600038521,392.7831102999626,393.7967036999762,393.7800638000481,None,392.7831102999626,None,392.7831102999626,None,392.7831102999626,None,394.4301435100031,None,394.4301435100031,None,394.4301435100031,None,,,,,,,,,,,,,,207,2023-04-26_13h15.44.102,Main,2022.1.1,59.85751515908863,
