target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,10.989754799986258,27.838565980060956,None,38.85493839997798,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.30464700470326,
negative,negative,1,j,l,,,,,0,0,0,0,,,,,,,,,,,44.02160169999115,None,prac,2,2,1,negative,negative,l,l,1,1.4244345999322832,46.0468776000198,47.05245990003459,47.03577309998218,None,46.0468776000198,None,46.0468776000198,None,46.0468776000198,None,48.47153238006867,None,48.47153238006867,None,48.47153238006867,None,,,,,,,,,,,,,,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.30464700470326,
neutral,positive,2,k,k,,,,,0,1,1,13,,,,,,,,,,,,,prac,2,2,2,positive,neutral,k,k,1,0.6479896000819281,48.476054699975066,49.48816050007008,49.471579500008374,None,48.476054699975066,None,48.476054699975066,None,48.476054699975066,None,50.12159938002005,None,50.12159938002005,None,50.12159938002005,None,,,,,,,,,,,,,,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.30464700470326,
positive,neutral,1,l,j,,,,,0,2,2,8,,,,,,,,,,,,,prac,1,1,1,neutral,positive,j,j,1,0.5818497999571264,50.12480820005294,51.138104300014675,51.12156280002091,None,50.12480820005294,None,50.12480820005294,None,50.12480820005294,None,51.70482068005949,None,51.70482068005949,None,51.70482068005949,None,,,,,,,,,,,,,,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.30464700470326,
positive,positive,2,l,j,,,,,0,3,3,11,,,,,,,,,,,,,prac,2,2,2,positive,positive,j,j,1,0.6485028000315651,51.70765140000731,52.72143809997942,52.704840300022624,None,51.70765140000731,None,51.70765140000731,None,51.70765140000731,None,53.354765880014746,None,53.354765880014746,None,53.354765880014746,None,,,,,,,,,,,,,,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.30464700470326,
neutral,negative,2,k,k,,,,,0,4,4,16,,,,,,,,,,,,,prac,2,2,2,negative,neutral,k,k,1,0.7317339999135584,53.35782380006276,54.37141849996988,54.354835300007835,None,53.35782380006276,None,53.35782380006276,None,53.35782380006276,None,55.08809248006437,None,55.08809248006437,None,55.08809248006437,None,,,,,,,,,,,,,,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.30464700470326,
positive,negative,2,l,j,,,,,0,5,5,14,,,,,,,,,,,,,prac,1,1,2,negative,positive,j,j,1,0.6463704999769107,55.09160510008223,56.10214129998349,56.085476899985224,None,55.09160510008223,None,55.09160510008223,None,55.09160510008223,None,56.735509979980996,None,56.735509979980996,None,56.735509979980996,None,,,,,,,,,,,,,,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.30464700470326,
neutral,neutral,2,k,k,,,,,0,6,6,10,,,,,,,,,,,,,prac,1,1,2,neutral,neutral,k,k,1,0.5820816999766976,56.73547479999252,57.73555340000894,57.73555340000894,None,56.73547479999252,None,56.73547479999252,None,56.73547479999252,None,58.318899480020626,None,58.318899480020626,None,58.318899480020626,None,,,,,,,,,,,,,,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.30464700470326,
negative,positive,1,j,l,,,,,0,7,7,6,,,,,,,,,,,,,prac,2,2,1,positive,negative,l,l,1,0.581168600008823,58.3204600000754,59.33549920003861,59.318809000076726,None,58.3204600000754,None,58.3204600000754,None,58.3204600000754,None,59.90218438007869,None,59.90218438007869,None,59.90218438007869,None,,,,,,,,,,,,,,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.30464700470326,
negative,neutral,2,j,l,,,,,0,8,8,12,,,,,,,,,,,,,prac,2,2,2,neutral,negative,l,l,1,1.3178379000164568,59.90555779996794,60.9047027999768,60.9047027999768,None,59.90555779996794,None,59.90555779996794,None,59.90555779996794,None,62.221381180081515,None,62.221381180081515,None,62.221381180081515,None,,,,,,,,,,,,,,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.30464700470326,
