distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,109.48348270007409,None,114.05350581005914,None,space,19.905954700079747,133.98385670001153,None,141.100527600036,None,141.100527600036,None,143.10288530006073,None,143.10288530006073,None,prac,None,None,1,1.496951299952343,145.11700830003247,None,None,1,,,,,,,,,,,,,,207,2023-04-26_13h27.06.788,Main,2022.1.1,59.85196214442846,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4990630999673158,147.619436900015,None,None,1,,,,,,,,,,,,,,207,2023-04-26_13h27.06.788,Main,2022.1.1,59.85196214442846,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6464777999790385,150.1193718999857,None,None,0,,,,,,,,,,,,,,207,2023-04-26_13h27.06.788,Main,2022.1.1,59.85196214442846,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8351015000371262,151.7667047000723,None,None,0,,,,,,,,,,,,,,207,2023-04-26_13h27.06.788,Main,2022.1.1,59.85196214442846,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.5491956999758258,153.6027348000789,None,None,0,,,,,,,,,,,,,,207,2023-04-26_13h27.06.788,Main,2022.1.1,59.85196214442846,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7134269000962377,155.1526087000966,None,None,0,,,,,,,,,,,,,,207,2023-04-26_13h27.06.788,Main,2022.1.1,59.85196214442846,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4987749999854714,156.8691267000977,None,None,1,,,,,,,,,,,,,,207,2023-04-26_13h27.06.788,Main,2022.1.1,59.85196214442846,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5016672000056133,159.3665609000018,None,None,1,,,,,,,,,,,,,,207,2023-04-26_13h27.06.788,Main,2022.1.1,59.85196214442846,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.6994022999424487,161.8692492999835,None,None,0,,,,,,,,,,,,,,207,2023-04-26_13h27.06.788,Main,2022.1.1,59.85196214442846,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4871763000264764,165.5832812000299,None,None,1,,,,,,,,,,,,,,207,2023-04-26_13h27.06.788,Main,2022.1.1,59.85196214442846,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.5492831999436021,168.0668024000479,None,None,0,,,,,,,,,,,,,,207,2023-04-26_13h27.06.788,Main,2022.1.1,59.85196214442846,
negative,yellow,2,k,None,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4986146000446752,169.61896500003058,None,None,1,,,,,,,,,,,,,,207,2023-04-26_13h27.06.788,Main,2022.1.1,59.85196214442846,
