distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,29.626118599997426,None,34.13903808000032,None,space,51.430470699997386,85.58777579999878,None,88.03530989999854,None,88.03530989999854,None,90.03777119999722,None,90.03777119999722,None,prac,None,None,1,1.497023399999307,92.05186289999983,None,None,1,,,,,,,,,,,,,,101,2023-04-17_15h26.31.475,Main,2022.1.1,60.68211552231411,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4988531000053626,94.55436889999692,None,None,1,,,,,,,,,,,,,,101,2023-04-17_15h26.31.475,Main,2022.1.1,60.68211552231411,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0967995999963023,97.05435369999759,None,None,0,,,,,,,,,,,,,,101,2023-04-17_15h26.31.475,Main,2022.1.1,60.68211552231411,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6516816000003018,99.15169600000081,None,None,0,,,,,,,,,,,,,,101,2023-04-17_15h26.31.475,Main,2022.1.1,60.68211552231411,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.6325832000002265,100.80425109999487,None,None,0,,,,,,,,,,,,,,101,2023-04-17_15h26.31.475,Main,2022.1.1,60.68211552231411,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8349323000002187,104.43479269999807,None,None,0,,,,,,,,,,,,,,101,2023-04-17_15h26.31.475,Main,2022.1.1,60.68211552231411,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,prac,None,k,0,0.967987500000163,106.268141499997,None,None,1,,,,,,,,,,,,,,101,2023-04-17_15h26.31.475,Main,2022.1.1,60.68211552231411,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,prac,None,k,0,1.1491265000004205,109.23735459999443,None,None,1,,,,,,,,,,,,,,101,2023-04-17_15h26.31.475,Main,2022.1.1,60.68211552231411,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.1155343999998877,112.38718919999519,None,None,0,,,,,,,,,,,,,,101,2023-04-17_15h26.31.475,Main,2022.1.1,60.68211552231411,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5011987999969278,114.50127039999643,None,None,1,,,,,,,,,,,,,,101,2023-04-17_15h26.31.475,Main,2022.1.1,60.68211552231411,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.649301600002218,117.00393319999421,None,None,0,,,,,,,,,,,,,,101,2023-04-17_15h26.31.475,Main,2022.1.1,60.68211552231411,
negative,yellow,2,k,None,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4965144999951008,118.65381479999633,None,None,1,,,,,,,,,,,,,,101,2023-04-17_15h26.31.475,Main,2022.1.1,60.68211552231411,
negative,red,2,None,None,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4985880999956862,121.15143969999917,None,None,1,,,,,,,,,,,,,,101,2023-04-17_15h26.31.475,Main,2022.1.1,60.68211552231411,
positive,red,1,None,None,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5017963999998756,123.65107390000048,None,None,1,,,,,,,,,,,,,,101,2023-04-17_15h26.31.475,Main,2022.1.1,60.68211552231411,
positive,blue,2,k,None,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4990430000034394,126.15374529999826,None,None,1,,,,,,,,,,,,,,101,2023-04-17_15h26.31.475,Main,2022.1.1,60.68211552231411,
