distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,94.05360690003727,None,97.35383683006512,None,space,14.897067200043239,112.27009260002524,None,119.83418630005326,None,119.83418630005326,None,121.83415140002035,None,121.83415140002035,None,prac,k,k,1,1.2997335999971256,123.84396170009859,None,None,0,,,,,,,,,,,,,,210,2023-04-25_19h10.38.372,Main,2022.1.1,60.330114332947836,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4983359000179917,126.15305279998574,None,None,1,,,,,,,,,,,,,,210,2023-04-25_19h10.38.372,Main,2022.1.1,60.330114332947836,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.500967099913396,128.6504957000725,None,None,1,,,,,,,,,,,,,,210,2023-04-25_19h10.38.372,Main,2022.1.1,60.330114332947836,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4991936000296846,131.15317820000928,None,None,1,,,,,,,,,,,,,,210,2023-04-25_19h10.38.372,Main,2022.1.1,60.330114332947836,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4961908999830484,133.65302000008523,None,None,1,,,,,,,,,,,,,,210,2023-04-25_19h10.38.372,Main,2022.1.1,60.330114332947836,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5018920000875369,136.1503663000185,None,None,1,,,,,,,,,,,,,,210,2023-04-25_19h10.38.372,Main,2022.1.1,60.330114332947836,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7160422999877483,138.65310760005377,None,None,0,,,,,,,,,,,,,,210,2023-04-25_19h10.38.372,Main,2022.1.1,60.330114332947836,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4961262000724673,140.36966229998507,None,None,1,,,,,,,,,,,,,,210,2023-04-25_19h10.38.372,Main,2022.1.1,60.330114332947836,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5017604000167921,142.86688099999446,None,None,1,,,,,,,,,,,,,,210,2023-04-25_19h10.38.372,Main,2022.1.1,60.330114332947836,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6858067000284791,145.3694757000776,None,None,0,,,,,,,,,,,,,,210,2023-04-25_19h10.38.372,Main,2022.1.1,60.330114332947836,
