distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,1,0,20,0,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.24647580000601,146.44725490000565,None,None,0,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,red,2,None,None,,,,,1,1,21,1,,,,,,,,,,,,,,,,,,,,,prac,None,k,0,1.2850631000037538,148.69442650000565,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,blue,2,None,k,,,,,1,2,22,2,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4983517000000575,151.98033340000256,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,yellow,1,None,k,,,,,1,3,23,3,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5015636999960407,154.47763260000647,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,blue,2,None,k,,,,,1,4,24,4,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4963100000022678,156.98023600000306,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,blue,1,None,k,,,,,1,5,25,5,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.501846300001489,159.47752190000028,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,yellow,2,k,None,,,,,1,6,26,6,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8804141000000527,161.9801099000033,None,None,0,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,red,1,None,None,,,,,1,7,27,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5010737999982666,163.8635241000011,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,yellow,2,None,k,,,,,1,8,28,8,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.496732500003418,166.36326670000562,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
negative,yellow,1,k,None,,,,,1,9,29,9,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8991864999989048,168.86067350000667,None,None,0,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
positive,yellow,2,None,k,,,,,1,10,30,10,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5014422999956878,170.76068230000237,None,None,1,,,,,,,,,,,,,,110,2023-04-17_10h31.46.061,Main,2022.1.1,61.1243954802234,
