distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,1,0,20,0,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498807099997066,153.43800409999676,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,red,2,None,None,,,,,1,1,21,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4963720999658108,155.93798809999134,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,blue,2,None,k,,,,,1,2,22,2,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.685180899919942,158.4352663999889,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,yellow,1,None,k,,,,,1,3,23,3,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6322702000616118,160.12123219994828,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,blue,2,None,k,,,,,1,4,24,4,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.5324927000328898,161.75451440003235,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,blue,1,None,k,,,,,1,5,25,5,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.5321410000324249,163.2877039000159,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,yellow,2,k,None,,,,,1,6,26,6,,,,,,,,,,,,,,,,,,,,,prac,None,k,0,0.5020004999823868,164.82099619996734,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,red,1,None,None,,,,,1,7,27,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4870675000129268,167.3350850000279,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
positive,yellow,2,None,k,,,,,1,8,28,8,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6324988999404013,169.82103440002538,None,None,0,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
negative,yellow,1,k,None,,,,,1,9,29,9,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498708000057377,171.4542840999784,None,None,1,,,,,,,,,,,,,,109,2023-04-25_13h33.37.053,Main,2022.1.1,60.06882686843058,
