distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,113.56032349995803,None,117.9316534000449,None,space,10.9421474999981,128.89760429994203,None,131.3646423999453,None,131.3646423999453,None,133.37877680000383,None,133.37877680000383,None,prac,None,None,1,1.505056699970737,135.38497240003198,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.496104700025171,137.89794990001246,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9687070000218228,140.39512789994478,None,None,0,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8169579000677913,142.3644828000106,None,None,0,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7136635000351816,144.18113239994273,None,None,0,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0836155998986214,145.89502109994646,None,None,0,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4985829000361264,147.98119119997136,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.499154799967073,150.48097409994807,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0300724999979138,152.9807086000219,None,None,0,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5017557000974193,155.0115612000227,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7826198999537155,157.51418890000787,None,None,0,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,yellow,2,k,None,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.499056899920106,159.29748860001564,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,red,2,None,None,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4962083999998868,161.79722069995478,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
positive,red,1,None,None,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5018086000345647,164.2946519999532,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
positive,blue,2,k,None,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5020916999783367,166.79720060003456,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
positive,blue,1,k,None,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4937636000104249,169.29808340000454,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,blue,1,None,k,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8185417000204325,171.7945645999862,None,None,0,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
positive,blue,2,k,None,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4990654999855906,173.61385710001923,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
positive,blue,1,k,None,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.496630199952051,176.11371970002074,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
positive,yellow,1,None,k,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.335328400018625,178.61102169996593,None,None,0,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,yellow,1,k,None,,,,,1,0,20,0,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4990288999397308,180.94705860002432,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
positive,red,2,None,None,,,,,1,1,21,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498765300028026,183.44702880003024,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,blue,2,None,k,,,,,1,2,22,2,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.913755499990657,185.94672370003536,None,None,0,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
positive,yellow,1,None,k,,,,,1,3,23,3,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7155900000361726,187.8608659999445,None,None,0,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,blue,2,None,k,,,,,1,4,24,4,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6852897999342531,189.57753000000957,None,None,0,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,blue,1,None,k,,,,,1,5,25,5,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7326825000345707,191.26348470000084,None,None,0,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,yellow,2,k,None,,,,,1,6,26,6,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4955241000279784,192.99675549997482,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,red,1,None,None,,,,,1,7,27,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5014066000003368,195.4940924999537,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
positive,yellow,2,None,k,,,,,1,8,28,8,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9329373999498785,197.99660129996482,None,None,0,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,yellow,1,k,None,,,,,1,9,29,9,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4986466000555083,199.93030080001336,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
positive,yellow,2,None,k,,,,,1,10,30,10,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8139546999009326,202.42980529996566,None,None,0,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,yellow,2,k,None,,,,,1,11,31,11,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.501263300073333,204.24386549997143,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,red,2,None,None,,,,,1,12,32,12,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5019639000529423,206.74652010004502,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
positive,red,1,None,None,,,,,1,13,33,13,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4990493000950664,209.24768819997553,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
positive,blue,2,k,None,,,,,1,14,34,14,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.493303900002502,211.74750679999124,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
positive,blue,1,k,None,,,,,1,15,35,15,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5019302999135107,214.24370330001693,None,None,1,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
negative,blue,1,None,k,,,,,1,16,36,16,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7801223000278696,216.746257300023,None,None,0,,,,,,,,,,,,,,201,2023-04-24_10h36.11.867,Main,2022.1.1,60.03842461874288,
