distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,red,1,None,None,,,,,,,,,0,157,157,157,,,,,,,,,,,,,,,,,main,None,None,1,1.4988906999933533,549.8626356000314,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,blue,2,k,None,,,,,,,,,0,158,158,158,,,,,,,,,,,,,,,,,main,None,None,1,1.4964953000308014,552.3624670000281,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,yellow,1,k,None,,,,,,,,,0,159,159,159,,,,,,,,,,,,,,,,,main,None,None,1,1.5018378000240773,554.8598331999965,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,red,2,None,None,,,,,,,,,0,160,160,160,,,,,,,,,,,,,,,,,main,None,None,1,1.4986634000088088,557.3625024000066,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,blue,1,None,k,,,,,,,,,0,161,161,161,,,,,,,,,,,,,,,,,main,k,k,1,0.5970711999689229,559.8624069000361,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,blue,1,None,k,,,,,,,,,0,162,162,162,,,,,,,,,,,,,,,,,main,k,k,1,0.6347587999771349,561.4622371000005,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,yellow,1,k,None,,,,,,,,,0,163,163,163,,,,,,,,,,,,,,,,,main,None,None,1,1.4962983999866992,563.0987276000087,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,yellow,1,k,None,,,,,,,,,0,164,164,164,,,,,,,,,,,,,,,,,main,None,None,1,1.5018729000003077,565.5930585000315,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,yellow,1,None,k,,,,,,,,,0,165,165,165,,,,,,,,,,,,,,,,,main,k,k,1,1.1147064000251703,568.0955607999931,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,red,1,None,None,,,,,,,,,0,166,166,166,,,,,,,,,,,,,,,,,main,None,None,1,1.5002162999589927,570.2095045000315,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,yellow,2,k,None,,,,,,,,,0,167,167,167,,,,,,,,,,,,,,,,,main,None,None,1,1.4990319999633357,572.7121086000116,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,blue,2,k,None,,,,,,,,,0,168,168,168,,,,,,,,,,,,,,,,,main,None,None,1,1.4965201999875717,575.2121254000231,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,red,2,None,None,,,,,,,,,0,169,169,169,,,,,,,,,,,,,,,,,main,None,None,1,1.5016631000326015,577.709408499999,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,red,1,None,None,,,,,,,,,0,170,170,170,,,,,,,,,,,,,,,,,main,None,None,1,1.4989602999994531,580.2119528000476,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,blue,2,None,k,,,,,,,,,0,171,171,171,,,,,,,,,,,,,,,,,main,k,k,1,0.6633820999995805,582.7117679000366,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,blue,2,k,None,,,,,,,,,0,172,172,172,,,,,,,,,,,,,,,,,main,None,None,1,1.4990551000228152,584.3758845000411,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,yellow,2,k,None,,,,,,,,,0,173,173,173,,,,,,,,,,,,,,,,,main,None,None,1,1.5016350000514649,586.875868800038,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,yellow,2,None,k,,,,,,,,,0,174,174,174,,,,,,,,,,,,,,,,,main,k,k,1,0.5171985999913886,589.3784790000063,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,blue,2,None,k,,,,,,,,,0,175,175,175,,,,,,,,,,,,,,,,,main,k,k,1,1.2120284999837168,590.8928638000507,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,blue,1,k,None,,,,,,,,,0,176,176,176,,,,,,,,,,,,,,,,,main,None,k,0,0.48294989997521043,593.1090038000257,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,yellow,1,None,k,,,,,,,,,0,177,177,177,,,,,,,,,,,,,,,,,main,k,k,1,0.8012534000445157,595.5949611000251,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,blue,1,k,None,,,,,,,,,0,178,178,178,,,,,,,,,,,,,,,,,main,None,None,1,1.4960426000179723,597.394990300003,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,yellow,2,None,k,,,,,,,,,0,179,179,179,,,,,,,,,,,,,,,,,main,k,None,0,0.37232339999172837,599.8922514000442,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
positive,blue,1,k,None,,,,,,,,,0,180,180,180,,,,,,,,,,,,,,,,,main,None,None,1,1.5009586000232957,602.2614410000388,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,red,1,None,None,,,,,,,,,0,181,181,181,,,,,,,,,,,,,,,,,main,None,None,1,1.496199199988041,604.7613250000286,None,None,1,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
negative,blue,1,None,k,,,,,,,,,0,182,182,182,,,,,,,,,,,,,,,,,main,k,k,1,0.6685610999702476,607.2587043000385,None,None,0,,,,,,,,,,,,,,209,2023-04-04_13h46.45.495,Main,2022.1.1,60.062152313005356,
