distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,1,0,20,0,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.132410800026264,156.53012599999784,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,red,2,None,None,,,,,1,1,21,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.496490299992729,158.66329960001167,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,2,None,k,,,,,1,2,22,2,,,,,,,,,,,,,,,,,,,,,prac,None,k,0,0.7328131999820471,161.1606864000205,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,yellow,1,None,k,,,,,1,3,23,3,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5010605999850668,163.89663430000655,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,2,None,k,,,,,1,4,24,4,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4961078999913298,166.39656840002863,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,blue,1,None,k,,,,,1,5,25,5,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5021342999534681,168.89390890003415,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,yellow,2,k,None,,,,,1,6,26,6,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9127896999707446,171.39648330002092,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,red,1,None,None,,,,,1,7,27,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5016411000397056,173.31045340001583,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
positive,yellow,2,None,k,,,,,1,8,28,8,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4991251000319608,175.8129908000119,None,None,1,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
negative,yellow,1,k,None,,,,,1,9,29,9,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8297477000160143,178.31304650002858,None,None,0,,,,,,,,,,,,,,110,2023-04-04_14h58.19.650,Main,2022.1.1,61.37729421927179,
