distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,31.60005190000811,None,36.00505327001156,None,space,58.06845949999115,94.10176750000392,None,95.55124830000568,None,95.55124830000568,None,97.55374390000361,None,97.55374390000361,None,prac,None,None,1,1.5076573999976972,99.55244130000938,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5019705000013346,102.06780699999945,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.062945400000899,104.57029850000981,None,None,0,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.2484795999916969,106.63418290000118,None,None,0,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.5183946000033757,108.88418540000566,None,None,0,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9285232999973232,112.40319110000564,None,None,0,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.501058900001226,114.33406850000028,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4989642000000458,116.83658730000025,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9327639999974053,119.33642289999989,None,None,0,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4964215000072727,121.26979550000397,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.9852309999987483,123.76719340001,None,None,0,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,yellow,2,k,None,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4987001999979839,127.75303920000442,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,red,2,None,None,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4984410000033677,130.25292550001177,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
positive,red,1,None,None,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,prac,None,k,0,0.9853530999971554,132.75028740000562,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
positive,blue,2,k,None,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.500863199995365,135.7361433000042,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
positive,blue,1,k,None,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4960850000061328,138.23600620000798,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,blue,1,None,k,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0329918999923393,140.7336198000121,None,None,0,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
positive,blue,2,k,None,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.501537099989946,142.76678610000818,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
positive,blue,1,k,None,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.496380800002953,145.2693733000051,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
positive,yellow,1,None,k,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.3350010000140173,147.76663019999978,None,None,0,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,yellow,1,k,None,,,,,1,0,20,0,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4991421999875456,150.1025085000001,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
positive,red,2,None,None,,,,,1,1,21,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.496290000010049,152.6025432000024,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,blue,2,None,k,,,,,1,2,22,2,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0686991999973543,155.09982920000039,None,None,0,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
positive,yellow,1,None,k,,,,,1,3,23,3,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0630806000117445,157.1690352000005,None,None,0,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,blue,2,None,k,,,,,1,4,24,4,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9325325000099838,159.23304500000086,None,None,0,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,blue,1,None,k,,,,,1,5,25,5,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.835021200007759,161.16639510000823,None,None,0,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,yellow,2,k,None,,,,,1,6,26,6,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.496339999997872,163.0022525000095,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,red,1,None,None,,,,,1,7,27,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5018371999904048,165.49964340000588,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
positive,yellow,2,None,k,,,,,1,8,28,8,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8161118999996688,168.0020732000121,None,None,0,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,yellow,1,k,None,,,,,1,9,29,9,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.496212400001241,169.8187966000114,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
positive,yellow,2,None,k,,,,,1,10,30,10,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9688119000056759,172.31610419999924,None,None,0,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,yellow,2,k,None,,,,,1,11,31,11,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498937999989721,174.28540890000295,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,red,2,None,None,,,,,1,12,32,12,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4963488999928813,176.7853529999993,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
positive,red,1,None,None,,,,,1,13,33,13,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.501952499995241,179.28267580000102,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
positive,blue,2,k,None,,,,,1,14,34,14,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4989272999955574,181.7851934000064,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
positive,blue,1,k,None,,,,,1,15,35,15,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4962827999988804,184.2850863000058,None,None,1,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
negative,blue,1,None,k,,,,,1,16,36,16,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7494932999979937,186.7824527000048,None,None,0,,,,,,,,,,,,,,107,2023-03-30_15h05.14.801,Main,2022.1.1,60.06301811774261,
