distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,30.641832299996167,None,36.16902826994192,None,space,58.782676100032404,94.98469770001248,None,96.58480479987338,None,96.58480479987338,None,98.58538639987819,None,98.58538639987819,None,prac,k,k,1,1.8892138001974672,100.60186609998345,None,None,0,,,,,,,,,,,,,,102,2023-03-28_13h40.34.530,Main,2022.1.1,60.005496489447054,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,prac,None,k,0,1.1513098999857903,104.50120099983178,None,None,1,,,,,,,,,,,,,,102,2023-03-28_13h40.34.530,Main,2022.1.1,60.005496489447054,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5007612998597324,107.65106449997984,None,None,1,,,,,,,,,,,,,,102,2023-03-28_13h40.34.530,Main,2022.1.1,60.005496489447054,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4989809999242425,110.14810079988092,None,None,1,,,,,,,,,,,,,,102,2023-03-28_13h40.34.530,Main,2022.1.1,60.005496489447054,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4990775000769645,112.64812659984455,None,None,1,,,,,,,,,,,,,,102,2023-03-28_13h40.34.530,Main,2022.1.1,60.005496489447054,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.499133100034669,115.14807369979098,None,None,1,,,,,,,,,,,,,,102,2023-03-28_13h40.34.530,Main,2022.1.1,60.005496489447054,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9498510998673737,117.64806529995985,None,None,0,,,,,,,,,,,,,,102,2023-03-28_13h40.34.530,Main,2022.1.1,60.005496489447054,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4971570998895913,119.5980322000105,None,None,1,,,,,,,,,,,,,,102,2023-03-28_13h40.34.530,Main,2022.1.1,60.005496489447054,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4970039001200348,122.09763639979064,None,None,1,,,,,,,,,,,,,,102,2023-03-28_13h40.34.530,Main,2022.1.1,60.005496489447054,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9995985000859946,124.59764729999006,None,None,0,,,,,,,,,,,,,,102,2023-03-28_13h40.34.530,Main,2022.1.1,60.005496489447054,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5020911002065986,126.5979446999263,None,None,1,,,,,,,,,,,,,,102,2023-03-28_13h40.34.530,Main,2022.1.1,60.005496489447054,
