distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,mouse_3.clicked_name,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,43.2835047999979,None,-0.11018518,0.1037037,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,29,Female,2022-04-29_19h03.46.910,Parachute,2022.1.1,59.88300058791508,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,,,,,,,,50.26539368998201,None,None,0.017592592,-0.40648147,0,0,0,1.0104914499970619,None,124.31734789998154,None,124.31734789998154,None,-0.08425926,-0.10555556,0,0,0,0.013885690015740693,None,no_area2,126.21904869997525,None,126.21904869997525,None,128.23681159998523,None,128.23681159998523,None,prac,k,k,1,2.2825501000043005,130.2460145999794,None,None,0,,,,,,,,,,,,,,106,29,Female,2022-04-29_19h03.46.910,Parachute,2022.1.1,59.88300058791508,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.50151659999392,134.55020829997375,None,None,1,,,,,,,,,,,,,,106,29,Female,2022-04-29_19h03.46.910,Parachute,2022.1.1,59.88300058791508,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498221400019247,137.05321399998502,None,None,1,,,,,,,,,,,,,,106,29,Female,2022-04-29_19h03.46.910,Parachute,2022.1.1,59.88300058791508,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498785499978112,139.5527519999887,None,None,1,,,,,,,,,,,,,,106,29,Female,2022-04-29_19h03.46.910,Parachute,2022.1.1,59.88300058791508,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.497571899992181,142.05397099998663,None,None,1,,,,,,,,,,,,,,106,29,Female,2022-04-29_19h03.46.910,Parachute,2022.1.1,59.88300058791508,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4987899000116158,144.55233779997798,None,None,1,,,,,,,,,,,,,,106,29,Female,2022-04-29_19h03.46.910,Parachute,2022.1.1,59.88300058791508,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.1869601999933366,147.05317229998764,None,None,0,,,,,,,,,,,,,,106,29,Female,2022-04-29_19h03.46.910,Parachute,2022.1.1,59.88300058791508,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4935708999983035,149.23899749998236,None,None,1,,,,,,,,,,,,,,106,29,Female,2022-04-29_19h03.46.910,Parachute,2022.1.1,59.88300058791508,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4993483000143897,151.7362729999877,None,None,1,,,,,,,,,,,,,,106,29,Female,2022-04-29_19h03.46.910,Parachute,2022.1.1,59.88300058791508,
