distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,blue,2,k,None,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5006765000289306,151.52520829997957,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.497065700008534,154.02739139995538,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.1984548000618815,156.5252452000277,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,1,0,20,0,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5017962000565603,158.72452729998622,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,red,2,None,None,,,,,1,1,21,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4990380000090227,161.22816019994207,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,1,2,22,2,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7963894000276923,163.7272193999961,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,1,3,23,3,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8998469000216573,165.52438219997566,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,1,4,24,4,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8512243999866769,167.42707560001872,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,1,5,25,5,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9808088999707252,169.2770654000342,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,1,6,26,6,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.500688000000082,171.25768219993915,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,1,None,None,,,,,1,7,27,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4975320999510586,173.7605316999834,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,1,8,28,8,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8811679999344051,176.25750780000817,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,1,9,29,9,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5012538000009954,178.1408457000507,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,1,10,30,10,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8472790000960231,180.64347809995525,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,1,11,31,11,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.502181600080803,182.49127949995454,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,2,None,None,,,,,1,12,32,12,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4953372000018135,184.99086999997962,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,red,1,None,None,,,,,1,13,33,13,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5005268000531942,187.49086400005035,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,2,k,None,,,,,1,14,34,14,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4967384999617934,189.9907460999675,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,1,15,35,15,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.499123299960047,192.49109429994132,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,1,16,36,16,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6989679000107571,194.99061139998958,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,2,k,None,,,,,1,17,37,17,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.501563400030136,196.69054610002786,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,1,18,38,18,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.496630100067705,199.19314400001895,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,1,19,39,19,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9995217999676242,201.69055209995713,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.69047499995213,None,203.69047499995213,None,-0.016666668,0.011111111,1,0,0,st_main_back,0.014177949982695282,None,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,215.74287139996886,None,215.74287139996886,None,main,None,None,1,1.5073474999517202,217.79293080000207,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,red,1,None,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,main,None,None,1,1.4989591999910772,220.30933089996688,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,2,k,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,main,None,None,1,1.4974024000111967,222.8093789999839,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
