distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,blue,1,None,k,,,,,,,,,0,49,49,49,,,,,,,,,,,,,,,,,main,k,k,1,1.0151054000016302,328.9568268000148,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,,,,,0,50,50,50,,,,,,,,,,,,,,,,,main,k,k,1,0.9160430999472737,330.97079920000397,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,,,,,0,51,51,51,,,,,,,,,,,,,,,,,main,k,k,1,0.8515779000008479,332.8878050999483,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,red,2,None,None,,,,,,,,,0,52,52,52,,,,,,,,,,,,,,,,,main,None,None,1,1.4971608000341803,334.7401308999397,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,,,,,0,53,53,53,,,,,,,,,,,,,,,,,main,k,k,1,0.7175751000177115,337.2373249999946,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,2,None,None,,,,,,,,,0,54,54,54,,,,,,,,,,,,,,,,,main,None,None,1,1.4989225000608712,338.95668800000567,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,,,,,0,55,55,55,,,,,,,,,,,,,,,,,main,k,k,1,0.9631924999412149,341.4566329000518,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,,,,,0,56,56,56,,,,,,,,,,,,,,,,,main,k,k,1,0.7991373999975622,343.42052329995204,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,,,,,0,57,57,57,,,,,,,,,,,,,,,,,main,None,None,1,1.5019005999201909,345.2233187999809,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,,,,,0,58,58,58,,,,,,,,,,,,,,,,,main,None,None,1,1.4959990000352263,347.7231979999924,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,,,,,0,59,59,59,,,,,,,,,,,,,,,,,main,None,None,1,1.5015085999621078,350.22044009994715,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,red,2,None,None,,,,,,,,,0,60,60,60,,,,,,,,,,,,,,,,,main,None,None,1,1.4971847999840975,352.72309730004054,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,,,,,0,61,61,61,,,,,,,,,,,,,,,,,main,None,None,1,1.5005209000082687,355.22050329996273,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,1,None,None,,,,,,,,,0,62,62,62,,,,,,,,,,,,,,,,,main,None,None,1,1.499106999952346,357.72293809999246,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,,,,,0,63,63,63,,,,,,,,,,,,,,,,,main,k,k,1,0.8298726000357419,360.2229164999444,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,2,k,None,,,,,,,,,0,64,64,64,,,,,,,,,,,,,,,,,main,None,None,1,1.5016792999813333,362.0534397000447,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,,,,,0,65,65,65,,,,,,,,,,,,,,,,,main,None,None,1,1.4970045000081882,364.5561470000539,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,,,,,0,66,66,66,,,,,,,,,,,,,,,,,main,k,k,1,0.8155931999208406,367.0559381999774,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,,,,,0,67,67,67,,,,,,,,,,,,,,,,,main,k,k,1,0.7991076000034809,368.8699747000355,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,red,1,None,None,,,,,,,,,0,68,68,68,,,,,,,,,,,,,,,,,main,None,None,1,1.5015614000149071,370.6700564000057,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,,,,,0,69,69,69,,,,,,,,,,,,,,,,,main,k,k,1,0.8633587000658736,373.1729358000448,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,,,,,0,70,70,70,,,,,,,,,,,,,,,,,main,None,None,1,1.4988954000873491,375.0367788999574,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,,,,,0,71,71,71,,,,,,,,,,,,,,,,,main,k,k,1,0.815377099905163,377.5365688999882,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,,,,,0,72,72,72,,,,,,,,,,,,,,,,,main,k,k,1,0.9512457000091672,379.3533600999508,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,2,None,None,,,,,,,,,0,73,73,73,,,,,,,,,,,,,,,,,main,None,None,1,1.497152299969457,381.3057818999514,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,2,k,None,,,,,,,,,0,74,74,74,,,,,,,,,,,,,,,,,main,None,None,1,1.5006413999944925,383.80295339995064,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,,,,,0,75,75,75,,,,,,,,,,,,,,,,,main,k,k,1,0.6161565999500453,386.30566069995984,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,,,,,0,76,76,76,,,,,,,,,,,,,,,,,main,k,k,1,0.6323839999968186,387.9222628000425,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,,,,,0,77,77,77,,,,,,,,,,,,,,,,,main,None,None,1,1.4962872000178322,389.55584259994794,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,,,,,0,78,78,78,,,,,,,,,,,,,,,,,main,None,None,1,1.5003840000135824,392.0554272000445,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,,,,,0,79,79,79,,,,,,,,,,,,,,,,,main,None,None,1,1.4997631000587717,394.5527901999885,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,red,2,None,None,,,,,,,,,0,80,80,80,,,,,,,,,,,,,,,,,main,None,None,1,1.4974164000013843,397.0554626999656,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,,,,,0,81,81,81,,,,,,,,,,,,,,,,,main,k,k,1,0.39899459993466735,399.55263879999984,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,,,,,0,82,82,82,,,,,,,,,,,,,,,,,main,None,None,1,1.5002247000811622,400.95258389995433,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,,,,,0,83,83,83,,,,,,,,,,,,,,,,,main,None,None,1,1.4965619998984039,403.45528059999924,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,2,k,None,,,,,,,,,0,84,84,84,,,,,,,,,,,,,,,,,main,None,None,1,1.4994878999423236,405.9527941000415,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,,,,,0,85,85,85,,,,,,,,,,,,,,,,,main,k,k,1,0.9820438999449834,408.45267190004233,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,2,k,None,,,,,,,,,0,86,86,86,,,,,,,,,,,,,,,,,main,None,None,1,1.5010411000112072,410.43600059999153,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,,,,,0,87,87,87,,,,,,,,,,,,,,,,,main,None,None,1,1.4967894000001252,412.935975600034,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,,,,,0,88,88,88,,,,,,,,,,,,,,,,,main,None,None,1,1.501677899970673,415.4359346999554,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,,,,,0,89,89,89,,,,,,,,,,,,,,,,,main,k,k,1,1.2125157000264153,417.9358661000151,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,,,,,0,90,90,90,,,,,,,,,,,,,,,,,main,k,k,1,0.9348261000122875,420.15219359996263,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,,,,,0,91,91,91,,,,,,,,,,,,,,,,,main,None,None,1,1.498716100002639,422.0882311000023,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,2,None,None,,,,,,,,,0,92,92,92,,,,,,,,,,,,,,,,,main,None,None,1,1.4973205999704078,424.5881863000104,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,,,,,0,93,93,93,,,,,,,,,,,,,,,,,main,k,k,1,0.798825699952431,427.08539899997413,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,,,,,0,94,94,94,,,,,,,,,,,,,,,,,main,k,k,1,0.7844740999862552,428.88806369993836,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,,,,,0,95,95,95,,,,,,,,,,,,,,,,,main,k,k,1,0.7132712000748143,430.6714855999453,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,1,None,None,,,,,,,,,0,96,96,96,,,,,,,,,,,,,,,,,main,None,None,1,1.4994371000211686,432.3855855000438,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,,,,,0,97,97,97,,,,,,,,,,,,,,,,,main,k,k,1,0.7341869999654591,434.88536549999844,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,,,,,0,98,98,98,,,,,,,,,,,,,,,,,main,None,None,1,1.4987104000756517,436.62128850002773,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,red,1,None,None,,,,,,,,,0,99,99,99,,,,,,,,,,,,,,,,,main,None,None,1,1.4971056000795215,439.1211927999975,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,,,,,0,100,100,100,,,,,,,,,,,,,,,,,main,None,None,1,1.5006824999582022,441.6184404999949,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,,,,,0,101,101,101,,,,,,,,,,,,,,,,,main,None,None,1,1.4968034999910742,444.1210796999512,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,,,,,0,102,102,102,,,,,,,,,,,,,,,,,main,k,k,1,0.9661726999329403,446.61856660002377,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,,,,,0,103,103,103,,,,,,,,,,,,,,,,,main,None,None,1,1.5008744000224397,448.58762999996543,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,,,,,0,104,104,104,,,,,,,,,,,,,,,,,main,k,k,1,0.6330040999455377,451.0850984000135,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,,,,,0,105,105,105,,,,,,,,,,,,,,,,,main,None,None,1,1.49709790002089,452.7184278999921,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,2,k,None,,,,,,,,,0,106,106,106,,,,,,,,,,,,,,,,,main,None,None,1,1.5012283999240026,455.2184858999681,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,,,,,0,107,107,107,,,,,,,,,,,,,,,,,main,k,k,1,0.6627145000966266,457.7183259000303,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,,,,,0,108,108,108,,,,,,,,,,,,,,,,,main,k,k,1,0.7481596000725403,459.38732660003006,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,,,,,0,109,109,109,,,,,,,,,,,,,,,,,main,None,None,1,1.5018095000414178,461.1346139999805,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,,,,,0,110,110,110,,,,,,,,,,,,,,,,,main,k,k,1,1.1148583000758663,463.6375713000307,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,2,k,None,,,,,,,,,0,111,111,111,,,,,,,,,,,,,,,,,main,None,None,1,1.499745500041172,465.7539485000307,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,,,,,0,112,112,112,,,,,,,,,,,,,,,,,main,k,k,1,0.9633370999945328,468.25141310004983,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,,,,,0,113,113,113,,,,,,,,,,,,,,,,,main,k,k,1,0.7369793000398204,470.2177496999502,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,1,None,None,,,,,,,,,0,114,114,114,,,,,,,,,,,,,,,,,main,None,None,1,1.4965521999401972,471.9513369000051,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,red,1,None,None,,,,,,,,,0,115,115,115,,,,,,,,,,,,,,,,,main,None,None,1,1.4974010000005364,474.4537543000188,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,2,None,None,,,,,,,,,0,116,116,116,,,,,,,,,,,,,,,,,main,None,None,1,1.500538699910976,476.95095680002123,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,,,,,0,117,117,117,,,,,,,,,,,,,,,,,main,None,None,1,1.4991166999097914,479.45362809998915,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,,,,,0,118,118,118,,,,,,,,,,,,,,,,,main,k,k,1,0.7636467000702396,481.95141630002763,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,red,2,None,None,,,,,,,,,0,119,119,119,,,,,,,,,,,,,,,,,main,None,None,1,1.4988509999820963,483.7177685999777,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,2,k,None,,,,,,,,,0,120,120,120,,,,,,,,,,,,,,,,,main,None,None,1,1.5010156000498682,486.2173961000517,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,1,None,None,,,,,,,,,0,121,121,121,,,,,,,,,,,,,,,,,main,None,None,1,1.4962788000702858,488.720160100027,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,,,,,0,122,122,122,,,,,,,,,,,,,,,,,main,k,k,1,0.983052899944596,491.2199253999861,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,2,None,None,,,,,,,,,0,123,123,123,,,,,,,,,,,,,,,,,main,None,None,1,1.4992339999880642,493.2008163999999,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,,,,,0,124,124,124,,,,,,,,,,,,,,,,,main,None,None,1,1.5031074000289664,495.7031961999601,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,red,1,None,None,,,,,,,,,0,125,125,125,,,,,,,,,,,,,,,,,main,None,None,1,1.4944303999654949,498.2007416000124,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,,,,,0,126,126,126,,,,,,,,,,,,,,,,,main,k,k,1,0.8493457000004128,500.7010184000246,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,,,,,0,127,127,127,,,,,,,,,,,,,,,,,main,k,k,1,0.7829171000048518,502.5509626000421,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,,,,,0,128,128,128,,,,,,,,,,,,,,,,,main,None,None,1,1.4991396999685094,504.3339183999924,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,,,,,0,129,129,129,,,,,,,,,,,,,,,,,main,None,None,1,1.4986228999914601,506.8365589999594,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,,,,,0,130,130,130,,,,,,,,,,,,,,,,,main,None,None,1,1.4975274000316858,509.3363443999551,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,,,,,0,131,131,131,,,,,,,,,,,,,,,,,main,k,k,1,0.6672629000386223,511.83364580001216,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,,,,,0,132,132,132,,,,,,,,,,,,,,,,,main,k,k,1,0.6805034999269992,513.5029068000149,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,2,k,None,,,,,,,,,0,133,133,133,,,,,,,,,,,,,,,,,main,None,None,1,1.4982383999740705,515.1862099999562,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,red,2,None,None,,,,,,,,,0,134,134,134,,,,,,,,,,,,,,,,,main,None,None,1,1.498734400025569,517.6841120000463,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,,,,,0,135,135,135,,,,,,,,,,,,,,,,,main,None,None,1,1.5019913000287488,520.1836279999698,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,,,,,0,136,136,136,,,,,,,,,,,,,,,,,main,k,k,1,0.7033414000179619,522.6862263999647,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,,,,,0,137,137,137,,,,,,,,,,,,,,,,,main,None,None,1,1.493009600089863,524.3859251999529,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,,,,,0,138,138,138,,,,,,,,,,,,,,,,,main,k,k,1,1.0481474999105558,526.8831929999869,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,,,,,0,139,139,139,,,,,,,,,,,,,,,,,main,k,k,1,0.6351169999688864,528.933528500027,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,,,,,0,140,140,140,,,,,,,,,,,,,,,,,main,k,k,1,0.5823392000747845,530.5691780999769,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,,,,,0,141,141,141,,,,,,,,,,,,,,,,,main,None,None,1,1.4964198999805376,532.1525008999743,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,2,k,None,,,,,,,,,0,142,142,142,,,,,,,,,,,,,,,,,main,None,None,1,1.5015650999266654,534.6499850000255,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,,,,,0,143,143,143,,,,,,,,,,,,,,,,,main,k,k,1,1.0471552000381052,537.1523936999729,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,,,,,0,144,144,144,,,,,,,,,,,,,,,,,main,None,None,1,1.4986277999123558,539.1999358000467,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,,,,,0,145,145,145,,,,,,,,,,,,,,,,,main,k,k,1,0.7991858000168577,541.6999426999828,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,1,None,None,,,,,,,,,0,146,146,146,,,,,,,,,,,,,,,,,main,None,None,1,1.502565999981016,543.4995415000012,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,blue,1,k,None,,,,,,,,,0,147,147,147,,,,,,,,,,,,,,,,,main,None,None,1,1.4958854999858886,546.0022176000057,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,1,None,k,,,,,,,,,0,148,148,148,,,,,,,,,,,,,,,,,main,k,k,1,0.7841859000036493,548.4994719000533,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,red,2,None,None,,,,,,,,,0,149,149,149,,,,,,,,,,,,,,,,,main,None,None,1,1.4989666000474244,550.2854293000419,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,,,,,0,150,150,150,,,,,,,,,,,,,,,,,main,k,k,1,0.9968177999835461,552.7854103000136,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,2,k,None,,,,,,,,,0,151,151,151,,,,,,,,,,,,,,,,,main,None,None,1,1.5001531000016257,554.7852984999772,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,2,None,k,,,,,,,,,0,152,152,152,,,,,,,,,,,,,,,,,main,k,k,1,1.14964359998703,557.2826515999623,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,yellow,1,k,None,,,,,,,,,0,153,153,153,,,,,,,,,,,,,,,,,main,None,None,1,1.4987097999546677,559.4352446999401,None,None,1,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
negative,blue,1,None,k,,,,,,,,,0,154,154,154,,,,,,,,,,,,,,,,,main,k,k,1,0.8136682999320328,561.9352431000443,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
positive,yellow,2,None,k,,,,,,,,,0,155,155,155,,,,,,,,,,,,,,,,,main,k,k,1,0.8150559000205249,563.7493554999819,None,None,0,,,,,,,,,,,,,,,005,2022-05-06_17h36.20.569,Main,2022.1.1,59.14692393414104,
