distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,29.88784720003605,None,33.832325280015354,None,space,59.24289060011506,93.09737990004942,None,94.97847400000319,None,94.97847400000319,None,96.97850480000488,None,96.97850480000488,None,prac,k,k,1,1.6016317999456078,98.98570400010794,None,None,0,,,,,,,,,,,,,,034,2022-06-01_17h54.20.687,Main,2022.1.1,61.16626942942829,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4996119998395443,102.59514190000482,None,None,1,,,,,,,,,,,,,,034,2022-06-01_17h54.20.687,Main,2022.1.1,61.16626942942829,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.499268800020218,105.09480750001967,None,None,1,,,,,,,,,,,,,,034,2022-06-01_17h54.20.687,Main,2022.1.1,61.16626942942829,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4990547001361847,107.59755309997126,None,None,1,,,,,,,,,,,,,,034,2022-06-01_17h54.20.687,Main,2022.1.1,61.16626942942829,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4998771999962628,110.09750370006077,None,None,1,,,,,,,,,,,,,,034,2022-06-01_17h54.20.687,Main,2022.1.1,61.16626942942829,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4978429998736829,112.59471810003743,None,None,1,,,,,,,,,,,,,,034,2022-06-01_17h54.20.687,Main,2022.1.1,61.16626942942829,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.206979899900034,115.09740810003132,None,None,0,,,,,,,,,,,,,,034,2022-06-01_17h54.20.687,Main,2022.1.1,61.16626942942829,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5057667000219226,117.30920140002854,None,None,1,,,,,,,,,,,,,,034,2022-06-01_17h54.20.687,Main,2022.1.1,61.16626942942829,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4979397000279278,119.81117910007015,None,None,1,,,,,,,,,,,,,,034,2022-06-01_17h54.20.687,Main,2022.1.1,61.16626942942829,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.2853604999836534,122.3111920999363,None,None,0,,,,,,,,,,,,,,034,2022-06-01_17h54.20.687,Main,2022.1.1,61.16626942942829,
