distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,mouse_3.clicked_name,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,40.86725999999908,None,0.0046296297,-0.08888889,1,0,0,image_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,,,,,,,,,53.452623150000726,None,None,0.15833333,-0.36018518,0,0,0,1.0096865000014077,None,115.58683569999994,None,115.58683569999994,None,-0.10462963,-0.08240741,0,0,0,0.013869850001356099,None,no_area2,116.70142830000259,None,116.70142830000259,None,118.71794919999957,None,118.71794919999957,None,prac,k,k,1,1.7476481000048807,120.74078940000618,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5021549000011873,124.49832670000615,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4977972999986378,127.00207339999906,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498576599995431,129.4975104000041,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4988551999995252,131.9976186000058,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,k,0,1.4369242999964627,134.49810080000316,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,5.155341699995915,137.9369341000056,None,None,0,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5021286999981385,145.10403529999894,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4979638999939198,147.60705520000192,None,None,1,,,,,,,,,,,,,,102,23,Female,2022-04-28_09h52.33.158,Main,2022.1.1,60.032153221492734,
