distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,0,0,0,0,,,,,29.681289799977094,None,32.96564109997125,None,space,59.53187180001987,92.51356420002412,None,96.57768709998345,None,96.57768709998345,None,98.58025599998655,None,98.58025599998655,None,prac,None,None,1,1.4948189000133425,100.59218520001741,None,None,1,,,,,,,,,,,,,,027,2022-05-20_18h25.22.105,Main,2022.1.1,59.79977838896618,
positive,red,2,None,None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4989276999840513,103.09452199999942,None,None,1,,,,,,,,,,,,,,027,2022-05-20_18h25.22.105,Main,2022.1.1,59.79977838896618,
negative,blue,2,None,k,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.5168524999753572,105.59428929997375,None,None,0,,,,,,,,,,,,,,027,2022-05-20_18h25.22.105,Main,2022.1.1,59.79977838896618,
positive,yellow,1,None,k,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.1481748999794945,107.11096060002455,None,None,0,,,,,,,,,,,,,,027,2022-05-20_18h25.22.105,Main,2022.1.1,59.79977838896618,
negative,blue,2,None,k,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9320502000045963,109.26192610000726,None,None,0,,,,,,,,,,,,,,027,2022-05-20_18h25.22.105,Main,2022.1.1,59.79977838896618,
negative,blue,1,None,k,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.766142199980095,111.19395460002124,None,None,0,,,,,,,,,,,,,,027,2022-05-20_18h25.22.105,Main,2022.1.1,59.79977838896618,
negative,yellow,2,k,None,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4992075000191107,114.96337969996966,None,None,1,,,,,,,,,,,,,,027,2022-05-20_18h25.22.105,Main,2022.1.1,59.79977838896618,
negative,red,1,None,None,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4981622999766842,117.46310090000043,None,None,1,,,,,,,,,,,,,,027,2022-05-20_18h25.22.105,Main,2022.1.1,59.79977838896618,
positive,yellow,2,None,k,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.464973199996166,119.9607013000059,None,None,0,,,,,,,,,,,,,,027,2022-05-20_18h25.22.105,Main,2022.1.1,59.79977838896618,
negative,yellow,1,k,None,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.499530400033109,122.42734150000615,None,None,1,,,,,,,,,,,,,,027,2022-05-20_18h25.22.105,Main,2022.1.1,59.79977838896618,
positive,yellow,2,None,k,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.4649318999727257,124.92727919999743,None,None,0,,,,,,,,,,,,,,027,2022-05-20_18h25.22.105,Main,2022.1.1,59.79977838896618,
negative,yellow,2,k,None,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.499153100012336,127.39391400001477,None,None,1,,,,,,,,,,,,,,027,2022-05-20_18h25.22.105,Main,2022.1.1,59.79977838896618,
negative,red,2,None,None,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,prac,None,k,0,1.417556100001093,129.89354560000356,None,None,1,,,,,,,,,,,,,,027,2022-05-20_18h25.22.105,Main,2022.1.1,59.79977838896618,
