distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,1,0,20,0,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4938010000041686,156.3377534999745,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,red,2,None,None,,,,,1,1,21,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5006753000197932,158.8333782000118,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,blue,2,None,k,,,,,1,2,22,2,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.41337999998359,161.33604289998766,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,yellow,1,None,k,,,,,1,3,23,3,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9656274000299163,163.750158299983,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,blue,2,None,k,,,,,1,4,24,4,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,7.732332100044005,165.7167828999809,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,blue,1,None,k,,,,,1,5,25,5,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9149138000211678,175.44993579998845,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,yellow,2,k,None,,,,,1,6,26,6,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5011033999617212,177.36626069998601,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,red,1,None,None,,,,,1,7,27,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4972536999848671,179.86900900001638,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,yellow,2,None,k,,,,,1,8,28,8,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9321592999622226,182.36614240001654,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,yellow,1,k,None,,,,,1,9,29,9,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.500466099998448,184.29950059996918,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,yellow,2,None,k,,,,,1,10,30,10,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,4.330006100004539,186.79978940001456,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,yellow,2,k,None,,,,,1,11,31,11,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5060973999788985,193.1328882999951,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,red,2,None,None,,,,,1,12,32,12,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.493085499969311,195.63725580001483,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,red,1,None,None,,,,,1,13,33,13,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4999725999659859,198.13276680000126,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,blue,2,k,None,,,,,1,14,34,14,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4985077999881469,200.63273690000642,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,blue,1,k,None,,,,,1,15,35,15,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5006778999813832,203.13251219998347,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
negative,blue,1,None,k,,,,,1,16,36,16,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8302193999988958,205.63514450000366,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,blue,2,k,None,,,,,1,17,37,17,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5000782000133768,207.46604440000374,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,blue,1,k,None,,,,,1,18,38,18,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4996460999827832,209.96562809997704,None,None,1,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
positive,yellow,1,None,k,,,,,1,19,39,19,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8119775000377558,212.4659084000159,None,None,0,,,,,,,,,,,,,,001,2022-05-02_11h09.43.321,Main,2022.1.1,60.06088971818421,
