distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
positive,blue,2,k,None,,,,,,,,,0,64,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.6871762999944622,349.67538489999424,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,yellow,2,k,None,,,,,,,,,0,65,65,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.8651303999940865,351.37516419999884,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,yellow,2,None,k,,,,,,,,,0,66,66,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4932643999927677,353.2300654999999,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,yellow,2,None,k,,,,,,,,,0,67,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4986302999895997,355.7251219000027,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,red,1,None,None,,,,,,,,,0,68,68,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4988063999917358,358.2252961000049,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,yellow,1,None,k,,,,,,,,,0,69,69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4987799000082305,360.72528329999477,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,yellow,2,k,None,,,,,,,,,0,70,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,k,k,1,0.9033112000033725,363.22536870000476,None,None,0,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
positive,yellow,1,None,k,,,,,,,,,0,71,71,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4946206999884453,365.13044520000403,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,blue,1,None,k,,,,,,,,,0,72,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4983403000078397,367.625778799993,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
negative,red,2,None,None,,,,,,,,,0,73,73,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,None,None,1,1.4986567000014475,370.12537650000013,None,None,1,,,,,,,,,,,,,,,110,21,Female,2022-05-03_17h08.24.299,Parachute,2022.1.1,59.997504107524186,
