distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,sound_2.started,sound_2.stopped,key_resp_3.keys,key_resp_3.rt,image_5.started,image_5.stopped,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,yellow,1,k,None,,,,,1,0,20,0,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9157528999785427,172.9881558000052,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,red,2,None,None,,,,,1,1,21,1,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5025171999877784,174.89894340001047,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,blue,2,None,k,,,,,1,2,22,2,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4957909999939147,177.40164110000478,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,yellow,1,None,k,,,,,1,3,23,3,,,,,,,,,,,,,,,,,,,,,prac,None,k,0,1.0487880999862682,179.9011324000021,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,blue,2,None,k,,,,,1,4,24,4,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.503265300008934,182.94901809998555,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,blue,1,None,k,,,,,1,5,25,5,,,,,,,,,,,,,,,,,,,,,prac,None,k,0,1.4321884000091814,185.45148610000615,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,yellow,2,k,None,,,,,1,6,26,6,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9178548000054434,188.88227629999164,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,red,1,None,None,,,,,1,7,27,7,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5011144000163767,190.79862680000952,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,yellow,2,None,k,,,,,1,8,28,8,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.49924830000964,193.30134159998852,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,yellow,1,k,None,,,,,1,9,29,9,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.1631225000019185,195.80129080000916,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,yellow,2,None,k,,,,,1,10,30,10,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5016254000074696,197.9654933999991,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,yellow,2,k,None,,,,,1,11,31,11,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9300635999825317,200.46784560001106,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,red,2,None,None,,,,,1,12,32,12,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.5004311999946367,202.39863740000874,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,red,1,None,None,,,,,1,13,33,13,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.498235899984138,204.90111770000658,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,blue,2,k,None,,,,,1,14,34,14,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7302502999955323,207.39874080001027,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,blue,1,k,None,,,,,1,15,35,15,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.0338344000047073,209.13162060000468,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,blue,1,None,k,,,,,1,16,36,16,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4986612999928184,211.16762329998892,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,blue,2,k,None,,,,,1,17,37,17,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.6976848000194877,213.6676121999917,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,blue,1,k,None,,,,,1,18,38,18,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8171474999981001,215.36481709999498,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,yellow,1,None,k,,,,,1,19,39,19,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4989243999880273,217.18418969999766,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.68413119998877,None,219.68413119998877,None,0.14351852,-0.25555557,0,0,0,0.014391250006156042,None,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,yellow,2,k,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,220.86477809998905,None,220.86477809998905,None,main,k,k,1,2.223907700012205,222.90200390000246,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,red,1,None,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,main,None,None,1,1.4867773999867495,227.14790159999393,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,blue,2,k,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,main,k,k,1,0.6824085999978706,229.63429099999485,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,blue,1,k,None,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,main,k,k,1,0.7817526000144426,231.31725429999642,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,yellow,2,k,None,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,main,k,k,1,0.8804158999992069,233.10038280001027,None,None,0,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,yellow,2,None,k,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,main,None,None,1,1.5001495000033174,234.98126269999193,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,blue,2,None,k,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,main,None,None,1,1.5011903000122402,237.4814226999879,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,red,2,None,None,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,main,None,None,1,1.4941489000048023,239.98377279998385,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
positive,yellow,1,None,k,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,main,None,None,1,1.5017461000243202,242.48094639999908,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
negative,red,1,None,None,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,main,None,None,1,1.4962839999934658,244.98361960001057,None,None,1,,,,,,,,,,,,,,020,2022-05-17_10h46.46.199,Main,2022.1.1,59.80618013507872,
