distractor,target,set,ans1,ans2,rep_loop4.thisRepN,rep_loop4.thisTrialN,rep_loop4.thisN,rep_loop4.thisIndex,st2_prac_loop.thisRepN,st2_prac_loop.thisTrialN,st2_prac_loop.thisN,st2_prac_loop.thisIndex,st2_main_loop.thisRepN,st2_main_loop.thisTrialN,st2_main_loop.thisN,st2_main_loop.thisIndex,image_4.started,image_4.stopped,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,sound_2.started,sound_2.stopped,key_resp_3.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.started,mouse_5.stopped,yes_text2.started,yes_text2.stopped,no_text2.started,no_text2.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.started,mouse_3.stopped,mouse_3.clicked_name,st_prac_back.started,st_prac_back.stopped,st_prac_text.started,st_prac_text.stopped,st_fix_back.started,st_fix_back.stopped,st_fix_2.started,st_fix_2.stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back.started,st_back.stopped,st2_resp.keys,st2_resp.corr,st_main_back.started,st_main_back.stopped,st_main_text.started,st_main_text.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.started,mouse_4.stopped,text_2.started,text_2.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
positive,blue,2,k,None,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4979348999913782,137.25011860000086,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,blue,1,k,None,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4988883000041824,139.74977740002214,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,blue,1,None,k,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7366502999793738,142.25013080000645,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,blue,2,k,None,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4940736999851651,143.98848480000743,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,blue,1,k,None,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.497737400000915,146.48549740001909,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,yellow,1,None,k,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7839154000103008,148.98302189999959,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,yellow,1,k,None,,,,,1,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4971240000159014,150.76901780001936,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,red,2,None,None,,,,,1,1,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4982452999975067,153.26756550002028,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,blue,2,None,k,,,,,1,2,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.8034365000203252,155.76741480000783,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,yellow,1,None,k,,,,,1,3,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.7415715999959502,157.57132650000858,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,blue,2,None,k,,,,,1,4,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9043454000202473,159.31648940002196,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,blue,1,None,k,,,,,1,5,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,0.9826337000122294,161.2214084000152,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,yellow,2,k,None,,,,,1,6,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4935380999813788,163.2048259000003,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,red,1,None,None,,,,,1,7,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4986321000033058,165.700123800023,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,yellow,2,None,k,,,,,1,8,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.1519867999886628,168.20072049999726,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,yellow,1,k,None,,,,,1,9,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.495754700008547,170.35461790001136,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,yellow,2,None,k,,,,,1,10,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,k,k,1,1.15032169999904,172.85026510001626,None,None,0,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,yellow,2,k,None,,,,,1,11,31,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4970596999919508,175.00296569999773,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
negative,red,2,None,None,,,,,1,12,32,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4983966999861877,177.5006432000082,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
positive,red,1,None,None,,,,,1,13,33,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,None,None,1,1.4986178999824915,180.00042860000394,None,None,1,,,,,,,,,,,,,,113,26,Male,2022-05-04_12h33.39.371,Parachute,2022.1.1,59.89311474584101,
