target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,56.464535699924454,41.09081495013088,None,97.57305130013265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
negative,neutral,2,j,l,,,,,0,0,0,12,,,,,,,,,,,103.82032690010965,None,prac,1,1,2,neutral,negative,l,l,1,4.389057900058106,105.86010970012285,106.87278169998899,106.8395227000583,None,105.86010970012285,None,105.86010970012285,None,105.86010970012285,None,111.24136800016277,None,111.24136800016277,None,111.24136800016277,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
positive,neutral,1,l,j,,,,,0,1,1,8,,,,,,,,,,,,,prac,1,1,1,neutral,positive,j,j,1,1.0672990998718888,112.26551130018197,113.27003780007362,113.27003780007362,None,112.26551130018197,None,112.26551130018197,None,112.26551130018197,None,114.32002004999667,None,114.32002004999667,None,114.32002004999667,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
neutral,positive,2,k,k,,,,,0,2,2,13,,,,,,,,,,,,,prac,1,1,2,positive,neutral,k,k,1,0.885982499923557,114.32836730009876,115.33926120004617,115.32007070002146,None,114.32836730009876,None,114.32836730009876,None,114.32836730009876,None,116.20590564999729,None,116.20590564999729,None,116.20590564999729,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
neutral,negative,1,k,k,,,,,0,3,3,7,,,,,,,,,,,,,prac,2,2,1,negative,neutral,k,k,1,0.9135938000399619,116.21251250011846,117.2225713999942,117.20630880002864,None,116.21251250011846,None,116.21251250011846,None,116.21251250011846,None,118.12258084998466,None,118.12258084998466,None,118.12258084998466,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
neutral,negative,2,k,k,,,,,0,4,4,16,,,,,,,,,,,,,prac,1,1,2,negative,neutral,k,k,1,0.8296151000540704,118.12573750014417,119.13918450009078,119.12259450019337,None,118.12573750014417,None,118.12573750014417,None,118.12573750014417,None,119.95360155003145,None,119.95360155003145,None,119.95360155003145,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
positive,positive,1,l,j,,,,,0,5,5,2,,,,,,,,,,,,,prac,2,2,1,positive,positive,j,j,1,1.6318104001693428,119.96809380012564,120.97244600020349,120.95588310016319,None,119.96809380012564,None,119.96809380012564,None,119.96809380012564,None,122.58906900021248,None,122.58906900021248,None,122.58906900021248,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
positive,neutral,2,l,j,,,,,0,6,6,17,,,,,,,,,,,,,prac,2,2,2,neutral,positive,j,j,1,0.9865604001097381,123.6136200001929,124.61980410013348,124.58646940020844,None,123.6136200001929,None,123.6136200001929,None,123.6136200001929,None,125.58682575002312,None,125.58682575002312,None,125.58682575002312,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
positive,negative,1,l,j,,,,,0,7,7,5,,,,,,,,,,,,,prac,1,1,1,negative,positive,j,j,1,0.667092900024727,125.59272440010682,126.60564450011589,126.58902040007524,None,125.59272440010682,None,125.59272440010682,None,125.59272440010682,None,127.25571725000627,None,127.25571725000627,None,127.25571725000627,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
negative,negative,2,j,l,,,,,0,8,8,9,,,,,,,,,,,,,prac,2,2,2,negative,negative,l,l,1,0.6630017999559641,127.26962510007434,128.27232990018092,128.25572290015407,None,127.26962510007434,None,127.26962510007434,None,127.26962510007434,None,128.92009405018763,None,128.92009405018763,None,128.92009405018763,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
negative,negative,1,j,l,,,,,0,9,9,0,,,,,,,,,,,,,prac,2,2,1,negative,negative,l,k,0,1.1824725000187755,128.92621210007928,129.93895260011777,129.9223992000334,None,128.92621210007928,None,128.92621210007928,None,128.92621210007928,None,131.10930250003003,None,131.10930250003003,None,131.10930250003003,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
neutral,positive,1,k,k,,,,,0,10,10,4,,,,,,,,,,,,,prac,2,2,1,positive,neutral,k,k,1,0.9007921998854727,132.12098750006407,133.13555570016615,133.10222090012394,None,132.12098750006407,None,132.12098750006407,None,132.12098750006407,None,134.01961765014568,None,134.01961765014568,None,134.01961765014568,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
negative,positive,2,j,l,,,,,0,11,11,15,,,,,,,,,,,,,prac,1,1,2,positive,negative,l,l,1,1.0155521999113262,134.0196335001383,135.0196428000927,135.0196428000927,None,134.0196335001383,None,134.0196335001383,None,134.0196335001383,None,136.03628375004047,None,136.03628375004047,None,136.03628375004047,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
neutral,neutral,1,k,k,,,,,0,12,12,1,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,k,k,1,0.8167113999370486,136.05332030006684,137.05296580004506,137.03631009999663,None,136.05332030006684,None,136.05332030006684,None,136.05332030006684,None,137.85551065015608,None,137.85551065015608,None,137.85551065015608,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
positive,positive,2,l,j,,,,,0,13,13,11,,,,,,,,,,,,,prac,1,1,2,positive,positive,j,j,1,0.6792623000219464,137.85949180019088,138.872144700028,138.855472400086,None,137.85949180019088,None,137.85949180019088,None,137.85949180019088,None,139.53624895000831,None,139.53624895000831,None,139.53624895000831,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
neutral,neutral,2,k,k,,,,,0,14,14,10,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,k,k,1,0.6823541999328882,139.54225679999217,140.55543800001033,140.5221540001221,None,139.54225679999217,None,139.54225679999217,None,139.54225679999217,None,141.2199172500521,None,141.2199172500521,None,141.2199172500521,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
positive,negative,2,l,j,,,,,0,15,15,14,,,,,,,,,,,,,prac,2,2,2,negative,positive,j,j,1,0.7484322001691908,141.236577300122,142.23871579999104,142.22212740010582,None,141.236577300122,None,141.236577300122,None,141.236577300122,None,142.96977675003,None,142.96977675003,None,142.96977675003,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
negative,positive,1,j,l,,,,,0,16,16,6,,,,,,,,,,,,,prac,2,2,1,positive,negative,l,l,1,0.8001434002071619,142.98872520006262,143.9886880000122,143.972089700168,None,142.98872520006262,None,142.98872520006262,None,142.98872520006262,None,144.77195555013606,None,144.77195555013606,None,144.77195555013606,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
negative,neutral,1,j,l,,,,,0,17,17,3,,,,,,,,,,,,,prac,2,2,1,neutral,negative,l,l,1,0.6793770999647677,144.77474140003324,145.78606349998154,145.7693970000837,None,144.77474140003324,None,144.77474140003324,None,144.77474140003324,None,146.45270075015725,None,146.45270075015725,None,146.45270075015725,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
positive,negative,2,l,j,,,,,1,0,18,14,,,,,,,,,,,,,prac,1,1,2,negative,positive,j,j,1,0.7144732000306249,146.45411910000257,147.469390100101,147.45272910012864,None,146.45411910000257,None,146.45411910000257,None,146.45411910000257,None,148.16936635011808,None,148.16936635011808,None,148.16936635011808,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
negative,neutral,2,j,l,,,,,1,1,19,12,,,,,,,,,,,,,prac,2,2,2,neutral,negative,l,l,1,0.7828729001339525,148.1721912000794,149.18605210003443,149.16940210014582,None,148.1721912000794,None,148.1721912000794,None,148.1721912000794,None,149.95359885012732,None,149.95359885012732,None,149.95359885012732,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
neutral,neutral,2,k,k,,,,,1,2,20,10,,,,,,,,,,,,,prac,1,1,2,neutral,neutral,k,k,1,0.6503113999497145,149.95957539998926,150.97188880015165,150.95528450002894,None,149.95957539998926,None,149.95957539998926,None,149.95957539998926,None,151.60548365018332,None,151.60548365018332,None,151.60548365018332,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
neutral,neutral,1,k,k,,,,,1,3,21,1,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,k,k,1,0.5795515000354499,151.60924390004948,152.6218617002014,152.60524510010146,None,151.60924390004948,None,151.60924390004948,None,151.60924390004948,None,153.18631345005707,None,153.18631345005707,None,153.18631345005707,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
positive,positive,2,l,j,,,,,1,4,22,11,,,,,,,,,,,,,prac,2,2,2,positive,positive,j,j,1,0.7480991000775248,153.20525050000288,154.2051325000357,154.1885334001854,None,153.20525050000288,None,153.20525050000288,None,153.20525050000288,None,154.93620895007626,None,154.93620895007626,None,154.93620895007626,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
negative,negative,1,j,l,,,,,1,5,23,0,,,,,,,,,,,,,prac,2,2,1,negative,negative,l,l,1,0.5820381001103669,154.9393624002114,155.93843410001136,155.9218256000895,None,154.9393624002114,None,154.9393624002114,None,154.9393624002114,None,156.5195293500554,None,156.5195293500554,None,156.5195293500554,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
negative,neutral,1,j,l,,,,,1,6,24,3,,,,,,,,,,,,,prac,2,2,1,neutral,negative,l,l,1,0.8648830999154598,156.52918890002184,157.53583730012178,157.51916020014323,None,156.52918890002184,None,156.52918890002184,None,156.52918890002184,None,158.3857908499893,None,158.3857908499893,None,158.3857908499893,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
positive,neutral,2,l,j,,,,,1,7,25,17,,,,,,,,,,,,,prac,2,2,2,neutral,positive,j,j,1,0.7325393999926746,158.38582319999114,159.3883599000983,159.37177300010808,None,158.38582319999114,None,158.38582319999114,None,158.38582319999114,None,160.11945485016332,None,160.11945485016332,None,160.11945485016332,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
neutral,negative,2,k,k,,,,,1,8,26,16,,,,,,,,,,,,,prac,2,2,2,negative,neutral,k,k,1,0.8149578000884503,160.1251768001821,161.1383164001163,161.121715700021,None,160.1251768001821,None,160.1251768001821,None,160.1251768001821,None,161.93606385001914,None,161.93606385001914,None,161.93606385001914,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
negative,positive,1,j,l,,,,,1,9,27,6,,,,,,,,,,,,,prac,1,1,1,positive,negative,l,l,1,0.984366700053215,161.95167089998722,162.95489200018346,162.93829190009274,None,161.95167089998722,None,161.95167089998722,None,161.95167089998722,None,163.921684250189,None,163.921684250189,None,163.921684250189,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
neutral,positive,2,k,k,,,,,1,10,28,13,,,,,,,,,,,,,prac,1,1,2,positive,neutral,k,k,1,0.665347300004214,163.92564070015214,164.9382066000253,164.92165879998356,None,163.92564070015214,None,163.92564070015214,None,163.92564070015214,None,165.58826345014387,None,165.58826345014387,None,165.58826345014387,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
neutral,negative,1,k,k,,,,,1,11,29,7,,,,,,,,,,,,,prac,1,1,1,negative,neutral,k,k,1,0.7126066000200808,165.5911224000156,166.6048727000598,166.58829260012135,None,165.5911224000156,None,165.5911224000156,None,165.5911224000156,None,167.30228085019627,None,167.30228085019627,None,167.30228085019627,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
positive,negative,1,l,j,,,,,1,12,30,5,,,,,,,,,,,,,prac,2,2,1,negative,positive,j,j,1,0.6487436001189053,167.3023000000976,168.30227190000005,168.30227190000005,None,167.3023000000976,None,167.3023000000976,None,167.3023000000976,None,168.95227994997987,None,168.95227994997987,None,168.95227994997987,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
positive,positive,1,l,j,,,,,1,13,31,2,,,,,,,,,,,,,prac,1,1,1,positive,positive,j,j,1,0.6980447000823915,168.95866080000997,169.97155690006912,169.95488900016062,None,168.95866080000997,None,168.95866080000997,None,168.95866080000997,None,170.65269365017303,None,170.65269365017303,None,170.65269365017303,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
negative,negative,2,j,l,,,,,1,14,32,9,,,,,,,,,,,,,prac,2,2,2,negative,negative,l,l,1,0.6485536000691354,170.66929330001585,171.67143980017863,171.63819910003804,None,170.66929330001585,None,170.66929330001585,None,170.66929330001585,None,172.30254105008208,None,172.30254105008208,None,172.30254105008208,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
negative,positive,2,j,l,,,,,1,15,33,15,,,,,,,,,,,,,prac,2,2,2,positive,negative,l,l,1,0.7321713999845088,172.30809170007706,173.3213948002085,173.2881575000938,None,172.30809170007706,None,172.30809170007706,None,172.30809170007706,None,174.0359191500582,None,174.0359191500582,None,174.0359191500582,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
positive,neutral,1,l,j,,,,,1,16,34,8,,,,,,,,,,,,,prac,1,1,1,neutral,positive,j,j,1,0.7340357999783009,174.04141970002092,175.05477720010094,175.03810050012544,None,174.04141970002092,None,174.04141970002092,None,174.04141970002092,None,175.7715011501685,None,175.7715011501685,None,175.7715011501685,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
neutral,positive,1,k,k,,,,,1,17,35,4,,,,,,,,,,,,,prac,1,1,1,positive,neutral,k,k,1,0.7627305998466909,175.77535900007933,176.78790000011213,176.77138780010864,None,175.77535900007933,None,175.77535900007933,None,175.77535900007933,None,177.53539945017548,None,177.53539945017548,None,177.53539945017548,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.5354313000571,None,space,11.252539599779993,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6527778,-0.19814815,0,0,0,0.011049350025132298,None,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
positive,neutral,1,l,j,,,,,,,,,0,0,0,8,,,,,,,188.81855279998854,None,main,2,2,1,neutral,positive,j,j,1,0.943583499873057,190.82739670015872,191.83515500021167,191.81849390012212,None,190.82739670015872,None,190.82739670015872,None,190.82739670015872,None,192.77100725001657,None,192.77100725001657,None,192.77100725001657,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
neutral,positive,1,k,k,,,,,,,,,0,1,1,4,,,,,,,,,main,1,1,1,positive,neutral,k,k,1,1.0619768998585641,192.77499020006508,193.78771780012175,193.77108510001563,None,192.77499020006508,None,192.77499020006508,None,192.77499020006508,None,194.83542665019633,None,194.83542665019633,None,194.83542665019633,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
negative,positive,1,j,l,,,,,,,,,0,2,2,6,,,,,,,,,main,2,2,1,positive,negative,l,l,1,0.5330364999826998,194.8398373001255,195.8542486000806,195.83759270003065,None,194.8398373001255,None,194.8398373001255,None,194.8398373001255,None,196.37107675005683,None,196.37107675005683,None,196.37107675005683,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
positive,negative,1,l,j,,,,,,,,,0,3,3,5,,,,,,,,,main,2,2,1,negative,positive,j,j,1,0.5815867001656443,196.37405430013314,197.38765890011564,197.37099180021323,None,196.37405430013314,None,196.37405430013314,None,196.37405430013314,None,197.95422015008518,None,197.95422015008518,None,197.95422015008518,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
negative,neutral,2,j,l,,,,,,,,,0,4,4,12,,,,,,,,,main,2,2,2,neutral,negative,l,l,1,0.8459802002180368,197.95722010009922,198.9679203000851,198.95130640012212,None,197.95722010009922,None,197.95722010009922,None,197.95722010009922,None,199.80160815007986,None,199.80160815007986,None,199.80160815007986,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
neutral,negative,2,k,k,,,,,,,,,0,5,5,16,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.5147714999038726,199.80164120020345,200.80161090008914,200.80161090008914,None,199.80164120020345,None,199.80164120020345,None,199.80164120020345,None,201.31831045001746,None,201.31831045001746,None,201.31831045001746,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
positive,positive,1,l,j,,,,,,,,,0,6,6,2,,,,,,,,,main,1,1,1,positive,positive,j,j,1,0.7154605002142489,201.3239877000451,202.33750140015036,202.32089430000633,None,201.3239877000451,None,201.3239877000451,None,201.3239877000451,None,203.0352384501137,None,203.0352384501137,None,203.0352384501137,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
negative,neutral,1,j,l,,,,,,,,,0,7,7,3,,,,,,,,,main,1,1,1,neutral,negative,l,l,1,0.7982570000458509,203.04103970015422,204.05419320007786,204.0375210000202,None,203.04103970015422,None,203.04103970015422,None,203.04103970015422,None,204.83519815020264,None,204.83519815020264,None,204.83519815020264,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
negative,negative,1,j,l,,,,,,,,,0,8,8,0,,,,,,,,,main,2,2,1,negative,negative,l,l,1,0.9315835000015795,204.83888350008056,205.854012100026,205.8373926000204,None,204.83888350008056,None,204.83888350008056,None,204.83888350008056,None,206.76850205003285,None,206.76850205003285,None,206.76850205003285,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
neutral,neutral,2,k,k,,,,,,,,,0,9,9,10,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.5149036999791861,206.7743483001832,207.7874502001796,207.77078030002303,None,206.7743483001832,None,206.7743483001832,None,206.7743483001832,None,208.28513585003094,None,208.28513585003094,None,208.28513585003094,None,,,,,,,,,,,,,,033,2022-05-30_20h00.37.460,Main,2022.1.1,60.003228184286634,
