target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
negative,positive,1,j,l,,,,,,,,,9,10,172,6,,,,,,,,,main,1,1,1,positive,negative,j,j,1,0.8486817999510095,498.5355498000281,499.5487282000249,499.5320634000236,None,498.5355498000281,None,498.5355498000281,None,498.5355498000281,None,500.38200963001,None,500.38200963001,None,500.38200963001,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,negative,2,k,k,,,,,,,,,9,11,173,16,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.7644885999616235,500.3880448000273,501.3986848000204,501.3820224000374,None,500.3880448000273,None,500.3880448000273,None,500.3880448000273,None,502.1486459300271,None,502.1486459300271,None,502.1486459300271,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,negative,1,j,l,,,,,,,,,9,12,174,0,,,,,,,,,main,1,1,1,negative,negative,j,j,1,0.8648993000388145,502.1520081999479,503.1653112999629,503.1486341999844,None,502.1520081999479,None,502.1520081999479,None,502.1520081999479,None,504.01533752997636,None,504.01533752997636,None,504.01533752997636,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,negative,2,j,l,,,,,,,,,9,13,175,9,,,,,,,,,main,2,2,2,negative,negative,j,j,1,0.9650614999700338,504.01817149994895,505.03193910000846,505.01525900000706,None,504.01817149994895,None,504.01817149994895,None,504.01817149994895,None,505.98189203002255,None,505.98189203002255,None,505.98189203002255,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,neutral,2,k,k,,,,,,,,,9,14,176,10,,,,,,,,,main,1,1,2,neutral,neutral,k,k,1,0.7316180999623612,505.9847260999959,506.9985657000216,506.98188590002246,None,505.9847260999959,None,505.9847260999959,None,505.9847260999959,None,507.7152984299813,None,507.7152984299813,None,507.7152984299813,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
positive,positive,2,l,j,,,,,,,,,9,15,177,11,,,,,,,,,main,2,2,2,positive,positive,l,l,1,0.7651651999913156,507.71832610003185,508.7318492999766,508.7151826999616,None,507.71832610003185,None,507.71832610003185,None,507.71832610003185,None,509.4818406299804,None,509.4818406299804,None,509.4818406299804,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,positive,1,k,k,,,,,,,,,9,16,178,4,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.7808440000517294,509.485886999988,510.49847260001116,510.48197229998186,None,509.485886999988,None,509.485886999988,None,509.485886999988,None,511.2651165300398,None,511.2651165300398,None,511.2651165300398,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,neutral,1,k,k,,,,,,,,,9,17,179,1,,,,,,,,,main,2,2,1,neutral,neutral,k,k,1,1.3149785000132397,511.26843099994585,512.2818083999446,512.2651106999256,None,511.26843099994585,None,511.26843099994585,None,511.26843099994585,None,513.5817569300183,None,513.5817569300183,None,513.5817569300183,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,neutral,2,j,l,,,,,,,,,10,0,180,12,,,,,,,,,main,2,2,2,neutral,negative,j,j,1,0.7483037000056356,513.5872804999817,514.5985060000094,514.5817312999861,None,513.5872804999817,None,513.5872804999817,None,513.5872804999817,None,515.3316938300035,None,515.3316938300035,None,515.3316938300035,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,negative,1,k,k,,,,,,,,,10,1,181,7,,,,,,,,,main,2,2,1,negative,neutral,k,k,1,0.9150963999563828,515.3349863999756,516.3483567000367,516.331756999949,None,515.3349863999756,None,515.3349863999756,None,515.3349863999756,None,517.248332829948,None,517.248332829948,None,517.248332829948,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
positive,neutral,1,l,j,,,,,,,,,10,2,182,8,,,,,,,,,main,1,1,1,neutral,positive,l,l,1,0.8316663999576122,517.2516879999312,518.2678762000287,518.2483882999513,None,517.2516879999312,None,517.2516879999312,None,517.2516879999312,None,519.0816149299848,None,519.0816149299848,None,519.0816149299848,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,negative,1,j,l,,,,,,,,,10,3,183,0,,,,,,,,,main,2,2,1,negative,negative,j,j,1,1.2648771000094712,519.0851527999621,520.1011558999307,520.0816385999788,None,519.0851527999621,None,519.0851527999621,None,519.0851527999621,None,521.3482326299767,None,521.3482326299767,None,521.3482326299767,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,negative,2,k,k,,,,,,,,,10,4,184,16,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.8817050999496132,521.351220499957,522.3648972000228,522.3482248999644,None,521.351220499957,None,521.351220499957,None,521.351220499957,None,523.2315174299641,None,523.2315174299641,None,523.2315174299641,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
positive,positive,2,l,j,,,,,,,,,10,5,185,11,,,,,,,,,main,1,1,2,positive,positive,l,l,1,0.899142500013113,523.2371088999789,524.2509787000017,524.2315155999968,None,523.2371088999789,None,523.2371088999789,None,523.2371088999789,None,525.1315089300391,None,525.1315089300391,None,525.1315089300391,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,positive,2,k,k,,,,,,,,,10,6,186,13,,,,,,,,,main,2,2,2,positive,neutral,k,k,1,0.9640740000177175,525.1357902999735,526.1481369000394,526.1314574999269,None,525.1357902999735,None,525.1357902999735,None,525.1357902999735,None,527.0981000300147,None,527.0981000300147,None,527.0981000300147,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,positive,1,k,k,,,,,,,,,10,7,187,4,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,1.3476865999400616,527.1042897999287,528.114761600038,528.0980841999408,None,527.1042897999287,None,527.1042897999287,None,527.1042897999287,None,529.4480528299813,None,529.4480528299813,None,529.4480528299813,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
neutral,neutral,2,k,k,,,,,,,,,10,8,188,10,,,,,,,,,main,1,1,2,neutral,neutral,k,k,1,0.8991790999425575,529.4537705000257,530.4647397999652,530.4480594999623,None,529.4537705000257,None,529.4537705000257,None,529.4537705000257,None,531.3480030299746,None,531.3480030299746,None,531.3480030299746,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
positive,positive,1,l,j,,,,,,,,,10,9,189,2,,,,,,,,,main,2,2,1,positive,positive,l,l,1,1.2486792000709102,531.3540775999427,532.3646998000331,532.3480008000042,None,531.3540775999427,None,531.3540775999427,None,531.3540775999427,None,533.5981198300491,None,533.5981198300491,None,533.5981198300491,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
positive,neutral,2,l,j,,,,,,,,,10,10,190,17,,,,,,,,,main,1,1,2,neutral,positive,l,k,0,1.1801615000003949,533.6021712999791,534.6146287999582,534.5979633999523,None,533.6021712999791,None,533.6021712999791,None,533.6021712999791,None,535.7812708999263,None,535.7812708999263,None,535.7812708999263,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,neutral,1,j,l,,,,,,,,,10,11,191,3,,,,,,,,,main,2,2,1,neutral,negative,j,j,1,0.8366421000100672,536.7812554999255,537.7812264999375,537.7646068999311,None,536.7812554999255,None,536.7812554999255,None,536.7812554999255,None,538.6145252299378,None,538.6145252299378,None,538.6145252299378,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
negative,negative,2,j,l,,,,,,,,,10,12,192,9,,,,,,,,,main,1,1,2,negative,negative,j,j,1,0.731643500039354,538.6176679999335,539.6144862000365,539.6144862000365,None,538.6176679999335,None,538.6176679999335,None,538.6176679999335,None,540.3478840299998,None,540.3478840299998,None,540.3478840299998,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
positive,negative,1,l,j,,,,,,,,,10,13,193,5,,,,,,,,,main,1,1,1,negative,positive,l,l,1,0.9318773999111727,540.3511114999419,541.3644643999869,541.347796899965,None,540.3511114999419,None,540.3511114999419,None,540.3511114999419,None,542.2811019299901,None,542.2811019299901,None,542.2811019299901,None,,,,,,,,,,,,,,008,2022-05-09_15h26.10.121,Main,2022.1.1,60.17603896578809,
