target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,70.74454220000189,36.841430420005054,None,107.60356400000455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,2022-05-12_17h52.30.403,Main,2022.1.1,60.18853456310108,
negative,negative,1,j,l,,,,,0,0,0,0,,,,,,,,,,,111.41755650000414,None,prac,2,2,1,negative,negative,l,l,1,5.895146199996816,113.42435440000554,114.43698450000375,114.41819720000785,None,113.42435440000554,None,113.42435440000554,None,113.42435440000554,None,120.31796400000167,None,120.31796400000167,None,120.31796400000167,None,,,,,,,,,,,,,017,2022-05-12_17h52.30.403,Main,2022.1.1,60.18853456310108,
positive,negative,2,l,j,,,,,0,1,1,14,,,,,,,,,,,,,prac,2,2,2,negative,positive,j,j,1,1.2191713000065647,121.31755380000686,122.31766980000248,122.31766980000248,None,121.31755380000686,None,121.31755380000686,None,121.31755380000686,None,123.53396372000134,None,123.53396372000134,None,123.53396372000134,None,,,,,,,,,,,,,017,2022-05-12_17h52.30.403,Main,2022.1.1,60.18853456310108,
negative,positive,1,j,l,,,,,0,2,2,6,,,,,,,,,,,,,prac,2,2,1,positive,negative,l,l,1,1.0149729999975534,123.53757140001107,124.55316720000701,124.53450340000563,None,123.53757140001107,None,123.53757140001107,None,123.53757140001107,None,125.55057512000349,None,125.55057512000349,None,125.55057512000349,None,,,,,,,,,,,,,017,2022-05-12_17h52.30.403,Main,2022.1.1,60.18853456310108,
neutral,positive,1,k,k,,,,,0,3,3,4,,,,,,,,,,,,,prac,1,1,1,positive,neutral,k,k,1,0.951222300005611,125.56779480000841,126.56974479999917,126.55312799999956,None,125.56779480000841,None,125.56779480000841,None,125.56779480000841,None,127.50314662000892,None,127.50314662000892,None,127.50314662000892,None,,,,,,,,,,,,,017,2022-05-12_17h52.30.403,Main,2022.1.1,60.18853456310108,
neutral,neutral,1,k,k,,,,,0,4,4,1,,,,,,,,,,,,,prac,1,1,1,neutral,neutral,k,k,1,0.7461821000033524,127.50537070000428,128.51774190001015,128.50062410000828,None,127.50537070000428,None,127.50537070000428,None,127.50537070000428,None,129.250803120005,None,129.250803120005,None,129.250803120005,None,,,,,,,,,,,,,017,2022-05-12_17h52.30.403,Main,2022.1.1,60.18853456310108,
neutral,negative,2,k,k,,,,,0,5,5,16,,,,,,,,,,,,,prac,1,1,2,negative,neutral,k,k,1,0.9819502999889664,129.25731570000062,130.26715440000407,130.2501168000017,None,129.25731570000062,None,129.25731570000062,None,129.25731570000062,None,131.23407072001282,None,131.23407072001282,None,131.23407072001282,None,,,,,,,,,,,,,017,2022-05-12_17h52.30.403,Main,2022.1.1,60.18853456310108,
positive,negative,1,l,j,,,,,0,6,6,5,,,,,,,,,,,,,prac,2,2,1,negative,positive,j,j,1,1.0989049000054365,131.250420700002,132.2504173000052,132.23375440000382,None,131.250420700002,None,131.250420700002,None,131.250420700002,None,133.3341078200101,None,133.3341078200101,None,133.3341078200101,None,,,,,,,,,,,,,017,2022-05-12_17h52.30.403,Main,2022.1.1,60.18853456310108,
neutral,neutral,2,k,k,,,,,0,7,7,10,,,,,,,,,,,,,prac,1,1,2,neutral,neutral,k,k,1,0.9839857000042684,133.33432970001013,134.3336968000076,134.3336968000076,None,133.33432970001013,None,133.33432970001013,None,133.33432970001013,None,135.31958221999957,None,135.31958221999957,None,135.31958221999957,None,,,,,,,,,,,,,017,2022-05-12_17h52.30.403,Main,2022.1.1,60.18853456310108,
positive,positive,1,l,j,,,,,0,8,8,2,,,,,,,,,,,,,prac,1,1,1,positive,positive,j,j,1,0.9649276999989524,135.32306790001167,136.33676090001245,136.31964600000356,None,135.32306790001167,None,135.32306790001167,None,135.32306790001167,None,137.2863124200012,None,137.2863124200012,None,137.2863124200012,None,,,,,,,,,,,,,017,2022-05-12_17h52.30.403,Main,2022.1.1,60.18853456310108,
negative,neutral,2,j,l,,,,,0,9,9,12,,,,,,,,,,,,,prac,2,2,2,neutral,negative,l,l,1,1.2792883999936748,137.28929970000172,138.30283220000274,138.2862341,None,137.28929970000172,None,137.28929970000172,None,137.28929970000172,None,139.56694232000882,None,139.56694232000882,None,139.56694232000882,None,,,,,,,,,,,,,017,2022-05-12_17h52.30.403,Main,2022.1.1,60.18853456310108,
negative,positive,2,j,l,,,,,0,10,10,15,,,,,,,,,,,,,prac,1,1,2,positive,negative,l,l,1,0.8488729999953648,139.57022860000143,140.56948980000743,140.55291440000292,None,139.57022860000143,None,139.57022860000143,None,139.57022860000143,None,141.41721772000164,None,141.41721772000164,None,141.41721772000164,None,,,,,,,,,,,,,017,2022-05-12_17h52.30.403,Main,2022.1.1,60.18853456310108,
positive,neutral,2,l,j,,,,,0,11,11,17,,,,,,,,,,,,,prac,1,1,2,neutral,positive,j,j,1,0.8149082000018097,141.42118650001066,142.4341229999991,142.40285860000586,None,141.42118650001066,None,141.42118650001066,None,141.42118650001066,None,143.23347632001241,None,143.23347632001241,None,143.23347632001241,None,,,,,,,,,,,,,017,2022-05-12_17h52.30.403,Main,2022.1.1,60.18853456310108,
positive,neutral,1,l,j,,,,,0,12,12,8,,,,,,,,,,,,,prac,1,1,1,neutral,positive,j,j,1,0.7819351999933133,143.23348560000886,144.23371680000855,144.23371680000855,None,143.23348560000886,None,143.23348560000886,None,143.23348560000886,None,145.01685822000582,None,145.01685822000582,None,145.01685822000582,None,,,,,,,,,,,,,017,2022-05-12_17h52.30.403,Main,2022.1.1,60.18853456310108,
negative,negative,2,j,l,,,,,0,13,13,9,,,,,,,,,,,,,prac,1,1,2,negative,negative,l,l,1,0.8344068000005791,145.0197143000114,146.01936710000155,146.00268660001166,None,145.0197143000114,None,145.0197143000114,None,145.0197143000114,None,146.85261072000867,None,146.85261072000867,None,146.85261072000867,None,,,,,,,,,,,,,017,2022-05-12_17h52.30.403,Main,2022.1.1,60.18853456310108,
