target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,55.43547450006008,22.162048849952406,None,77.62517829984426,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,035,2022-06-02_10h15.39.112,Main,2022.1.1,61.17206901427552,
neutral,neutral,2,k,k,,,,,0,0,0,10,,,,,,,,,,,80.81082949996926,None,prac,2,2,2,neutral,neutral,k,k,1,2.2144140999298543,82.83388469996862,83.8440169999376,83.82735689985566,None,82.83388469996862,None,82.83388469996862,None,82.83388469996862,None,86.04581649997272,None,86.04581649997272,None,86.04581649997272,None,,,,,,,,,,,,,035,2022-06-02_10h15.39.112,Main,2022.1.1,61.17206901427552,
neutral,positive,1,k,k,,,,,0,1,1,4,,,,,,,,,,,,,prac,2,2,1,positive,neutral,k,k,1,1.2841505000833422,87.05980980000459,88.07465169997886,88.04131989995949,None,87.05980980000459,None,87.05980980000459,None,87.05980980000459,None,89.34129904999864,None,89.34129904999864,None,89.34129904999864,None,,,,,,,,,,,,,035,2022-06-02_10h15.39.112,Main,2022.1.1,61.17206901427552,
positive,neutral,1,l,j,,,,,0,2,2,8,,,,,,,,,,,,,prac,1,1,1,neutral,positive,j,l,0,1.3653092000167817,89.34507089992985,90.3604908999987,90.34389679995365,None,89.34507089992985,None,89.34507089992985,None,89.34507089992985,None,91.71044439985417,None,91.71044439985417,None,91.71044439985417,None,,,,,,,,,,,,,035,2022-06-02_10h15.39.112,Main,2022.1.1,61.17206901427552,
positive,negative,2,l,j,,,,,0,3,3,14,,,,,,,,,,,,,prac,2,2,2,negative,positive,j,j,1,1.0705417001154274,92.70933149987832,93.7104181998875,93.69382459996268,None,92.70933149987832,None,92.70933149987832,None,92.70933149987832,None,94.77492764985655,None,94.77492764985655,None,94.77492764985655,None,,,,,,,,,,,,,035,2022-06-02_10h15.39.112,Main,2022.1.1,61.17206901427552,
neutral,negative,2,k,k,,,,,0,4,4,16,,,,,,,,,,,,,prac,2,2,2,negative,neutral,k,k,1,1.163603900000453,94.78101959987544,95.79368289979175,95.77538039977662,None,94.78101959987544,None,94.78101959987544,None,94.78101959987544,None,96.94145664989483,None,96.94145664989483,None,96.94145664989483,None,,,,,,,,,,,,,035,2022-06-02_10h15.39.112,Main,2022.1.1,61.17206901427552,
negative,neutral,2,j,l,,,,,0,5,5,12,,,,,,,,,,,,,prac,2,2,2,neutral,negative,l,l,1,1.1639491999521852,96.95817589992657,97.95776019990444,97.94109269999899,None,96.95817589992657,None,96.95817589992657,None,96.95817589992657,None,99.1077036498813,None,99.1077036498813,None,99.1077036498813,None,,,,,,,,,,,,,035,2022-06-02_10h15.39.112,Main,2022.1.1,61.17206901427552,
positive,positive,2,l,j,,,,,0,6,6,11,,,,,,,,,,,,,prac,1,1,2,positive,positive,j,j,1,0.9885177998803556,99.10782779986039,100.10777719994076,100.10777719994076,None,99.10782779986039,None,99.10782779986039,None,99.10782779986039,None,101.09371485000011,None,101.09371485000011,None,101.09371485000011,None,,,,,,,,,,,,,035,2022-06-02_10h15.39.112,Main,2022.1.1,61.17206901427552,
negative,negative,1,j,l,,,,,0,7,7,0,,,,,,,,,,,,,prac,2,2,1,negative,negative,l,l,1,0.9248685999773443,101.10248729982413,102.11030779988505,102.09363759984262,None,101.10248729982413,None,101.10248729982413,None,101.10248729982413,None,103.02435464991723,None,103.02435464991723,None,103.02435464991723,None,,,,,,,,,,,,,035,2022-06-02_10h15.39.112,Main,2022.1.1,61.17206901427552,
negative,positive,1,j,l,,,,,0,8,8,6,,,,,,,,,,,,,prac,2,2,1,positive,negative,l,l,1,0.7819059998728335,103.02999609988183,104.04353829985484,104.02695029997267,None,103.02999609988183,None,103.02999609988183,None,103.02999609988183,None,104.80763944981155,None,104.80763944981155,None,104.80763944981155,None,,,,,,,,,,,,,035,2022-06-02_10h15.39.112,Main,2022.1.1,61.17206901427552,
positive,neutral,2,l,j,,,,,0,9,9,17,,,,,,,,,,,,,prac,2,2,2,neutral,positive,j,j,1,0.8487611000891775,104.81399639998563,105.82689299993217,105.79239819990471,None,104.81399639998563,None,104.81399639998563,None,104.81399639998563,None,106.65761574984063,None,106.65761574984063,None,106.65761574984063,None,,,,,,,,,,,,,035,2022-06-02_10h15.39.112,Main,2022.1.1,61.17206901427552,
positive,positive,1,l,j,,,,,0,10,10,2,,,,,,,,,,,,,prac,2,2,1,positive,positive,j,j,1,0.8653599999379367,106.66301709995605,107.6744704998564,107.6575901999604,None,106.66301709995605,None,106.66301709995605,None,106.66301709995605,None,108.52420314981137,None,108.52420314981137,None,108.52420314981137,None,,,,,,,,,,,,,035,2022-06-02_10h15.39.112,Main,2022.1.1,61.17206901427552,
negative,negative,2,j,l,,,,,0,11,11,9,,,,,,,,,,,,,prac,2,2,2,negative,negative,l,l,1,0.8180446999613196,108.52441989979707,109.52457769983448,109.52457769983448,None,108.52441989979707,None,108.52441989979707,None,108.52441989979707,None,110.3434147499269,None,110.3434147499269,None,110.3434147499269,None,,,,,,,,,,,,,035,2022-06-02_10h15.39.112,Main,2022.1.1,61.17206901427552,
