target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,mouse_2.clicked_name,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
neutral,positive,1,k,k,,,,,,,,,9,7,169,4,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.7033326999808196,511.46015629998874,512.4614440999867,512.4429445999849,None,511.46015629998874,None,511.46015629998874,None,511.46015629998874,None,513.1497573999862,None,513.1497573999862,None,513.1497573999862,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
positive,neutral,1,l,j,,,,,,,,,9,8,170,8,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,positive,l,l,1,0.728277899994282,513.1662495000055,514.1869696999784,514.1398166999861,None,513.1662495000055,None,513.1662495000055,None,513.1662495000055,None,514.8808065999823,None,514.8808065999823,None,514.8808065999823,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
negative,positive,2,j,l,,,,,,,,,9,9,171,15,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,positive,negative,j,j,1,0.7884125999989919,514.8971582999802,515.9092452999903,515.8899107000034,None,514.8971582999802,None,514.8971582999802,None,514.8971582999802,None,516.6733627999841,None,516.6733627999841,None,516.6733627999841,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
negative,positive,1,j,l,,,,,,,,,9,10,172,6,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,negative,j,j,1,0.759283300023526,516.6892937999801,517.6950768999814,517.6756683999847,None,516.6892937999801,None,516.6892937999801,None,516.6892937999801,None,518.4349776999792,None,518.4349776999792,None,518.4349776999792,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
positive,negative,1,l,j,,,,,,,,,9,11,173,5,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,positive,l,l,1,0.7659204000083264,518.4498889999813,519.4699783999822,519.4449803000025,None,518.4498889999813,None,518.4498889999813,None,518.4498889999813,None,520.2029695999867,None,520.2029695999867,None,520.2029695999867,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
neutral,positive,2,k,k,,,,,,,,,9,12,174,13,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,neutral,k,k,1,0.6687733999860939,520.2187542000029,521.2276573999843,521.2071455999976,None,520.2187542000029,None,520.2187542000029,None,520.2187542000029,None,521.8730374999926,None,521.8730374999926,None,521.8730374999926,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
negative,neutral,2,j,l,,,,,,,,,9,13,175,12,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,negative,j,j,1,0.7697755000262987,521.8893858999945,522.8958735000051,522.8621858999832,None,521.8893858999945,None,521.8893858999945,None,521.8893858999945,None,523.6451652000018,None,523.6451652000018,None,523.6451652000018,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
negative,negative,2,j,l,,,,,,,,,9,14,176,9,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,negative,j,j,1,0.7091473999898881,523.661001600005,524.6780791000056,524.6394340999832,None,523.661001600005,None,523.661001600005,None,523.661001600005,None,525.3572845999792,None,525.3572845999792,None,525.3572845999792,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
neutral,negative,2,k,k,,,,,,,,,9,15,177,16,,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.6889235000126064,525.3754173000052,526.3790139000048,526.3621743999829,None,525.3754173000052,None,525.3754173000052,None,525.3754173000052,None,527.0483732999768,None,527.0483732999768,None,527.0483732999768,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
negative,negative,1,j,l,,,,,,,,,9,16,178,0,,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,negative,j,j,1,0.8085544000205118,527.0663892999873,528.089877099992,528.0451080999919,None,527.0663892999873,None,527.0663892999873,None,527.0663892999873,None,528.8621995999769,None,528.8621995999769,None,528.8621995999769,None,,,,,,,,,,,104,22,Male,2022-04-29_14h04.38.596,Boat,2022.1.1,60.11157911953208,
