target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,64.61895879998337,17.953059640002902,None,82.6017493000254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,2022-05-05_17h26.19.882,Main,2022.1.1,59.99912403405818,
positive,neutral,1,l,j,,,,,0,0,0,8,,,,,,,,,,,95.05142999999225,None,prac,2,2,1,neutral,positive,j,j,1,1.861353899934329,97.07712160004303,98.08748660003766,98.06804100004956,None,97.07712160004303,None,97.07712160004303,None,97.07712160004303,None,99.93528770003468,None,99.93528770003468,None,99.93528770003468,None,,,,,,,,,,,,,003,2022-05-05_17h26.19.882,Main,2022.1.1,59.99912403405818,
negative,negative,1,j,l,,,,,0,1,1,0,,,,,,,,,,,,,prac,1,1,1,negative,negative,l,l,1,2.003683099988848,100.9382842000341,101.95127149997279,101.91794189997017,None,100.9382842000341,None,100.9382842000341,None,100.9382842000341,None,103.93460300005972,None,103.93460300005972,None,103.93460300005972,None,,,,,,,,,,,,,003,2022-05-05_17h26.19.882,Main,2022.1.1,59.99912403405818,
negative,positive,2,j,l,,,,,0,2,2,15,,,,,,,,,,,,,prac,2,2,2,positive,negative,l,l,1,1.0199781999690458,104.93468489998486,105.93455510004424,105.91787910007406,None,104.93468489998486,None,104.93468489998486,None,104.93468489998486,None,106.95129304005532,None,106.95129304005532,None,106.95129304005532,None,,,,,,,,,,,,,003,2022-05-05_17h26.19.882,Main,2022.1.1,59.99912403405818,
positive,neutral,2,l,j,,,,,0,3,3,17,,,,,,,,,,,,,prac,2,2,2,neutral,positive,j,j,1,0.8811026000184938,106.96786009997595,107.96796190005261,107.95116860000417,None,106.96786009997595,None,106.96786009997595,None,106.96786009997595,None,108.83430354004959,None,108.83430354004959,None,108.83430354004959,None,,,,,,,,,,,,,003,2022-05-05_17h26.19.882,Main,2022.1.1,59.99912403405818,
neutral,neutral,1,k,k,,,,,0,4,4,1,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,k,k,1,0.9155900999903679,108.83996230002958,109.8511311999755,109.83447200001683,None,108.83996230002958,None,108.83996230002958,None,108.83996230002958,None,110.75109143996379,None,110.75109143996379,None,110.75109143996379,None,,,,,,,,,,,,,003,2022-05-05_17h26.19.882,Main,2022.1.1,59.99912403405818,
negative,neutral,2,j,l,,,,,0,5,5,12,,,,,,,,,,,,,prac,2,2,2,neutral,negative,l,l,1,0.9486654000356793,110.75423019996379,111.76773510000203,111.75107920006849,None,110.75423019996379,None,110.75423019996379,None,110.75423019996379,None,112.7010581400129,None,112.7010581400129,None,112.7010581400129,None,,,,,,,,,,,,,003,2022-05-05_17h26.19.882,Main,2022.1.1,59.99912403405818,
neutral,positive,2,k,k,,,,,0,6,6,13,,,,,,,,,,,,,prac,2,2,2,positive,neutral,k,k,1,1.0654903000686318,112.70425890001934,113.717717200052,113.7011398000177,None,112.70425890001934,None,112.70425890001934,None,112.70425890001934,None,114.7677580399788,None,114.7677580399788,None,114.7677580399788,None,,,,,,,,,,,,,003,2022-05-05_17h26.19.882,Main,2022.1.1,59.99912403405818,
negative,negative,2,j,l,,,,,0,7,7,9,,,,,,,,,,,,,prac,1,1,2,negative,negative,l,l,1,0.9156121999258175,114.77315660007298,115.78433689998928,115.76767470000777,None,114.77315660007298,None,114.77315660007298,None,114.77315660007298,None,116.68445063998224,None,116.68445063998224,None,116.68445063998224,None,,,,,,,,,,,,,003,2022-05-05_17h26.19.882,Main,2022.1.1,59.99912403405818,
positive,negative,2,l,j,,,,,0,8,8,14,,,,,,,,,,,,,prac,2,2,2,negative,positive,j,j,1,0.8149380999384448,116.68837119999807,117.70096869999543,117.68430309998803,None,116.68837119999807,None,116.68837119999807,None,116.68837119999807,None,118.5010588400648,None,118.5010588400648,None,118.5010588400648,None,,,,,,,,,,,,,003,2022-05-05_17h26.19.882,Main,2022.1.1,59.99912403405818,
negative,positive,1,j,l,,,,,0,9,9,6,,,,,,,,,,,,,prac,2,2,1,positive,negative,l,l,1,1.015224700095132,118.50451800005976,119.51758800004609,119.50090910005383,None,118.50451800005976,None,118.50451800005976,None,118.50451800005976,None,120.51767584005138,None,120.51767584005138,None,120.51767584005138,None,,,,,,,,,,,,,003,2022-05-05_17h26.19.882,Main,2022.1.1,59.99912403405818,
neutral,negative,2,k,k,,,,,0,10,10,16,,,,,,,,,,,,,prac,1,1,2,negative,neutral,k,k,1,0.918995900079608,120.52131139999256,121.5342052000342,121.5175362000009,None,120.52131139999256,None,120.52131139999256,None,120.52131139999256,None,122.43498283996014,None,122.43498283996014,None,122.43498283996014,None,,,,,,,,,,,,,003,2022-05-05_17h26.19.882,Main,2022.1.1,59.99912403405818,
