target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,55.822813399950974,26.973497969977323,None,82.82244620000711,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,023,2022-05-18_17h22.39.163,Main,2022.1.1,61.09123609088335,
positive,negative,1,l,j,,,,,0,0,0,5,,,,,,,,,,,86.42234210000606,None,prac,2,2,1,negative,positive,j,j,1,2.7911194000043906,88.44586859998526,89.45296799996868,89.43657879997045,None,88.44586859998526,None,88.44586859998526,None,88.44586859998526,None,92.23922769998899,None,92.23922769998899,None,92.23922769998899,None,,,,,,,,,,,,,023,2022-05-18_17h22.39.163,Main,2022.1.1,61.09123609088335,
negative,positive,2,j,l,,,,,0,1,1,15,,,,,,,,,,,,,prac,2,2,2,positive,negative,l,l,1,1.034103599959053,93.257987399993,94.27213549998123,94.23654499999247,None,93.257987399993,None,93.257987399993,None,93.257987399993,None,95.28646227002028,None,95.28646227002028,None,95.28646227002028,None,,,,,,,,,,,,,023,2022-05-18_17h22.39.163,Main,2022.1.1,61.09123609088335,
neutral,neutral,2,k,k,,,,,0,2,2,10,,,,,,,,,,,,,prac,2,2,2,neutral,neutral,k,k,1,0.731340900005307,95.29263929999433,96.30536120000761,96.28876139997737,None,95.29263929999433,None,95.29263929999433,None,95.29263929999433,None,97.01976746996516,None,97.01976746996516,None,97.01976746996516,None,,,,,,,,,,,,,023,2022-05-18_17h22.39.163,Main,2022.1.1,61.09123609088335,
positive,positive,2,l,j,,,,,0,3,3,11,,,,,,,,,,,,,prac,1,1,2,positive,positive,j,j,1,0.6816014999640174,97.02656749996822,98.03610099997604,98.0194337000139,None,97.02656749996822,None,97.02656749996822,None,97.02656749996822,None,98.70273046999355,None,98.70273046999355,None,98.70273046999355,None,,,,,,,,,,,,,023,2022-05-18_17h22.39.163,Main,2022.1.1,61.09123609088335,
neutral,negative,2,k,k,,,,,0,4,4,16,,,,,,,,,,,,,prac,1,1,2,negative,neutral,k,k,1,0.6655407000216655,98.70278330001747,99.70281049999176,99.70281049999176,None,98.70278330001747,None,98.70278330001747,None,98.70278330001747,None,100.36945376999793,None,100.36945376999793,None,100.36945376999793,None,,,,,,,,,,,,,023,2022-05-18_17h22.39.163,Main,2022.1.1,61.09123609088335,
positive,neutral,2,l,j,,,,,0,5,5,17,,,,,,,,,,,,,prac,1,1,2,neutral,positive,j,j,1,0.5979379999917,100.38128440000582,101.3886340999743,101.37203959998442,None,100.38128440000582,None,100.38128440000582,None,100.38128440000582,None,101.96966537001427,None,101.96966537001427,None,101.96966537001427,None,,,,,,,,,,,,,023,2022-05-18_17h22.39.163,Main,2022.1.1,61.09123609088335,
neutral,positive,1,k,k,,,,,0,6,6,4,,,,,,,,,,,,,prac,2,2,1,positive,neutral,k,k,1,0.6156493999878876,101.97520919999806,102.9887440999737,102.95530929998495,None,101.97520919999806,None,101.97520919999806,None,101.97520919999806,None,103.58638896997437,None,103.58638896997437,None,103.58638896997437,None,,,,,,,,,,,,,023,2022-05-18_17h22.39.163,Main,2022.1.1,61.09123609088335,
positive,positive,1,l,j,,,,,0,7,7,2,,,,,,,,,,,,,prac,2,2,1,positive,positive,j,j,1,0.6819454000215046,103.59019000001717,104.60521579999477,104.58631300000707,None,103.59019000001717,None,103.59019000001717,None,103.59019000001717,None,105.26958846999915,None,105.26958846999915,None,105.26958846999915,None,,,,,,,,,,,,,023,2022-05-18_17h22.39.163,Main,2022.1.1,61.09123609088335,
negative,negative,2,j,l,,,,,0,8,8,9,,,,,,,,,,,,,prac,1,1,2,negative,negative,l,l,1,0.6650240000453778,105.27542640001047,106.28841909999028,106.26961989997653,None,105.27542640001047,None,105.27542640001047,None,105.27542640001047,None,106.9362419699959,None,106.9362419699959,None,106.9362419699959,None,,,,,,,,,,,,,023,2022-05-18_17h22.39.163,Main,2022.1.1,61.09123609088335,
