target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,negative,1,l,j,,,,,,,,,1,17,35,5,,,,,,,,,main,2,2,1,negative,positive,l,l,1,0.831729399971664,236.31072220008355,237.32377520005684,237.3071092000464,None,236.31072220008355,None,236.31072220008355,None,236.31072220008355,None,238.14037677006564,None,238.14037677006564,None,238.14037677006564,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
neutral,negative,2,k,k,,,,,,,,,2,0,36,16,,,,,,,,,main,1,1,2,negative,neutral,k,k,1,0.6981090999906883,238.1444137999788,239.15702060004696,239.14037030003965,None,238.1444137999788,None,238.1444137999788,None,238.1444137999788,None,239.84025517002448,None,239.84025517002448,None,239.84025517002448,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
negative,negative,1,j,l,,,,,,,,,2,1,37,0,,,,,,,,,main,1,1,1,negative,negative,j,j,1,0.7987097000004724,239.84346170001663,240.85699640004896,240.84032120008487,None,239.84346170001663,None,239.84346170001663,None,239.84346170001663,None,241.64031417005464,None,241.64031417005464,None,241.64031417005464,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
positive,neutral,1,l,j,,,,,,,,,2,2,38,8,,,,,,,,,main,1,1,1,neutral,positive,l,l,1,0.7816424999618903,241.64598180004396,242.65700230002403,242.64028519997373,None,241.64598180004396,None,241.64598180004396,None,241.64598180004396,None,243.4236472700839,None,243.4236472700839,None,243.4236472700839,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
neutral,positive,2,k,k,,,,,,,,,2,3,39,13,,,,,,,,,main,1,1,2,positive,neutral,k,k,1,0.7816585999680683,243.42713299999014,244.44305870006792,244.42359310004395,None,243.42713299999014,None,243.42713299999014,None,243.42713299999014,None,245.20695677004989,None,245.20695677004989,None,245.20695677004989,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
neutral,positive,1,k,k,,,,,,,,,2,4,40,4,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.9149287000764161,245.21135110000614,246.22355990007054,246.2068939000601,None,245.21135110000614,None,245.21135110000614,None,245.21135110000614,None,247.1234579699929,None,247.1234579699929,None,247.1234579699929,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
negative,neutral,1,j,l,,,,,,,,,2,5,41,3,,,,,,,,,main,2,2,1,neutral,negative,j,j,1,0.8316020000493154,247.1271130000241,248.14016619999893,248.12350730004255,None,247.1271130000241,None,247.1271130000241,None,247.1271130000241,None,248.95679827000714,None,248.95679827000714,None,248.95679827000714,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
positive,negative,2,l,j,,,,,,,,,2,6,42,14,,,,,,,,,main,1,1,2,negative,positive,l,l,1,0.7316597000462934,248.9622604000615,249.97634900000412,249.95678170002066,None,248.9622604000615,None,248.9622604000615,None,248.9622604000615,None,250.69001647004626,None,250.69001647004626,None,250.69001647004626,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
positive,positive,2,l,j,,,,,,,,,2,7,43,11,,,,,,,,,main,2,2,2,positive,positive,l,l,1,0.7318085000151768,250.69345450005494,251.70953220000956,251.6900994000025,None,250.69345450005494,None,250.69345450005494,None,250.69345450005494,None,252.42331416999224,None,252.42331416999224,None,252.42331416999224,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
neutral,neutral,1,k,k,,,,,,,,,2,8,44,1,,,,,,,,,main,1,1,1,neutral,neutral,k,k,1,0.7314991999883205,252.426690399996,253.4401168000186,253.42340470000636,None,252.426690399996,None,252.426690399996,None,252.426690399996,None,254.15663456999465,None,254.15663456999465,None,254.15663456999465,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
negative,negative,2,j,l,,,,,,,,,2,9,45,9,,,,,,,,,main,1,1,2,negative,negative,j,j,1,0.7816414999542758,254.16187579999678,255.1733719999902,255.15686770004686,None,254.16187579999678,None,254.16187579999678,None,254.16187579999678,None,255.93993256998948,None,255.93993256998948,None,255.93993256998948,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
positive,negative,1,l,j,,,,,,,,,2,10,46,5,,,,,,,,,main,2,2,1,negative,positive,l,l,1,0.7872944000409916,255.9460362000391,256.95664490002673,256.93997589999344,None,255.9460362000391,None,255.9460362000391,None,255.9460362000391,None,257.7275461700163,None,257.7275461700163,None,257.7275461700163,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
positive,neutral,2,l,j,,,,,,,,,2,11,47,17,,,,,,,,,main,2,2,2,neutral,positive,l,l,1,0.7763626000378281,257.7321163000306,258.7399557000026,258.7232898999937,None,257.7321163000306,None,257.7321163000306,None,257.7321163000306,None,259.5065933700069,None,259.5065933700069,None,259.5065933700069,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
positive,positive,1,l,j,,,,,,,,,2,12,48,2,,,,,,,,,main,2,2,1,positive,positive,l,l,1,0.8482451000018045,259.5124773000134,260.5260542000178,260.5065895000007,None,259.5124773000134,None,259.5124773000134,None,259.5124773000134,None,261.35649677006296,None,261.35649677006296,None,261.35649677006296,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
negative,positive,1,j,l,,,,,,,,,2,13,49,6,,,,,,,,,main,1,1,1,positive,negative,j,j,1,1.164935200009495,261.36193340003956,262.37321750004776,262.3565551000647,None,261.36193340003956,None,261.36193340003956,None,261.36193340003956,None,263.52311167005684,None,263.52311167005684,None,263.52311167005684,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
negative,positive,2,j,l,,,,,,,,,2,14,50,15,,,,,,,,,main,2,2,2,positive,negative,j,j,1,0.7982802999904379,263.5265365000814,264.53983700007666,264.5231720000738,None,263.5265365000814,None,263.5265365000814,None,263.5265365000814,None,265.3230575700407,None,265.3230575700407,None,265.3230575700407,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
neutral,negative,1,k,k,,,,,,,,,2,15,51,7,,,,,,,,,main,2,2,1,negative,neutral,k,k,1,0.7652910000178963,265.3262912000064,266.3398008000804,266.3231324000517,None,265.3262912000064,None,265.3262912000064,None,265.3262912000064,None,267.08976156999125,None,267.08976156999125,None,267.08976156999125,None,,,,,,,,,,,,,002,2022-05-04_15h54.16.007,Main,2022.1.1,61.4017528768495,
