target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,neutral,1,l,j,,,,,,,,,5,7,97,8,,,,,,,,,main,1,1,1,neutral,positive,j,j,1,0.7619594999705441,366.3122909000376,367.31226440001046,367.29558200004976,None,366.3122909000376,None,366.3122909000376,None,366.3122909000376,None,368.06216151000115,None,368.06216151000115,None,368.06216151000115,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
negative,negative,1,j,l,,,,,,,,,5,8,98,0,,,,,,,,,main,1,1,1,negative,negative,l,l,1,0.784437499998603,368.062223200046,369.06495990004623,369.06495990004623,None,368.062223200046,None,368.062223200046,None,368.062223200046,None,369.84812161001025,None,369.84812161001025,None,369.84812161001025,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
neutral,positive,1,k,k,,,,,,,,,5,9,99,4,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.7625679000047967,369.85135050001554,370.86484540003585,370.84823670005426,None,369.85135050001554,None,369.85135050001554,None,369.85135050001554,None,371.61242301000163,None,371.61242301000163,None,371.61242301000163,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
negative,negative,2,j,l,,,,,,,,,5,10,100,9,,,,,,,,,main,2,2,2,negative,negative,l,l,1,0.7648190000327304,371.6156748000067,372.61478460003855,372.61478460003855,None,371.6156748000067,None,371.6156748000067,None,371.6156748000067,None,373.37907931005464,None,373.37907931005464,None,373.37907931005464,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
positive,negative,2,l,j,,,,,,,,,5,11,101,14,,,,,,,,,main,1,1,2,negative,positive,j,j,1,0.6984601999865845,373.39581470005214,374.3957924999995,374.3791287000058,None,373.39581470005214,None,373.39581470005214,None,373.39581470005214,None,375.0790389100497,None,375.0790389100497,None,375.0790389100497,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
positive,positive,2,l,j,,,,,,,,,5,12,102,11,,,,,,,,,main,1,1,2,positive,positive,j,j,1,0.6316818000050262,375.08220010000514,376.0814031000482,376.0814031000482,None,375.08220010000514,None,375.08220010000514,None,375.08220010000514,None,376.7123145100253,None,376.7123145100253,None,376.7123145100253,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
negative,neutral,1,j,l,,,,,,,,,5,13,103,3,,,,,,,,,main,2,2,1,neutral,negative,l,l,1,0.8311908000032417,376.71799130004365,377.7286677000229,377.71201810002094,None,376.71799130004365,None,376.71799130004365,None,376.71799130004365,None,378.54528071004313,None,378.54528071004313,None,378.54528071004313,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
neutral,positive,2,k,k,,,,,,,,,5,14,104,13,,,,,,,,,main,2,2,2,positive,neutral,k,k,1,0.7177609999780543,378.5456231000135,379.54539550002664,379.54539550002664,None,378.5456231000135,None,378.5456231000135,None,378.5456231000135,None,380.2644416100287,None,380.2644416100287,None,380.2644416100287,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
positive,positive,1,l,j,,,,,,,,,5,15,105,2,,,,,,,,,main,1,1,1,positive,positive,j,j,1,0.8128150000120513,380.2682177000097,381.28131970000686,381.2646856000065,None,380.2682177000097,None,380.2682177000097,None,380.2682177000097,None,382.0789113100094,None,382.0789113100094,None,382.0789113100094,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
neutral,negative,2,k,k,,,,,,,,,5,16,106,16,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.7315152999944985,382.0825495000463,383.09789309999906,383.0789452000172,None,382.0825495000463,None,382.0825495000463,None,382.0825495000463,None,383.8121777100081,None,383.8121777100081,None,383.8121777100081,None,,,,,,,,,,,,001,2022-05-02_10h58.01.618,Main,2022.1.1,61.08709368753411,
