target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,mouse_2.clicked_name,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,None,-0.41944444,0.15,0,0,0,None,None,None,None,32.19303279998712,None,32.19303279998712,None,0.04537037,-0.05185185,0,0,0,0.013396329974057153,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
,,,,,1,0,1,0,,,,,,,,,None,0.094444446,-0.11481482,0,0,0,None,None,None,None,33.74079419998452,None,33.74079419998452,None,0.094444446,-0.11203704,1,0,0,0.014230229979148135,None,no_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
,,,,,2,0,2,0,,,,,,,,,None,0.094444446,-0.08981481,0,0,0,None,None,None,None,34.857591399981175,None,34.857591399981175,None,0.06944445,-0.03425926,0,0,0,0.013186829979531467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
,,,,,3,0,3,0,,,,,,,,,None,0.06759259,-0.049074072,0,0,0,None,None,None,None,35.75703459998476,None,35.75703459998476,None,0.06666667,-0.053703703,0,0,0,0.013399129966273904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
,,,,,4,0,4,0,,,,,,,,,None,-0.30833334,-0.41296297,0,0,0,1.0251853500085417,None,37.024230730001,None,111.89219369998318,None,111.89219369998318,None,-0.10185185,-0.094444446,0,0,0,0.0138162299990654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
positive,positive,2,l,j,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,115.97606660000747,None,prac,2,2,2,positive,positive,j,j,1,1.650315100006992,118.01920049998444,119.04063390000374,118.99742460000562,None,118.01920049998444,None,118.01920049998444,None,118.01920049998444,None,120.65892499999609,None,120.65892499999609,None,120.65892499999609,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
negative,positive,1,j,l,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,negative,l,l,1,1.1834053999918979,121.67126159998588,122.68091900000582,122.66377959999954,None,121.67126159998588,None,121.67126159998588,None,121.67126159998588,None,123.83509203000867,None,123.83509203000867,None,123.83509203000867,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
negative,negative,1,j,l,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,negative,l,l,1,0.951624700013781,123.85511109998333,124.86574219999602,124.8310829999973,None,123.85511109998333,None,123.85511109998333,None,123.85511109998333,None,125.79097233000502,None,125.79097233000502,None,125.79097233000502,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
neutral,positive,2,k,k,,,,,0,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,neutral,k,k,1,0.7351066000119317,125.81643740000436,126.82071719999658,126.8020617000002,None,125.81643740000436,None,125.81643740000436,None,125.81643740000436,None,127.52693013000825,None,127.52693013000825,None,127.52693013000825,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
positive,neutral,1,l,j,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,positive,j,j,1,0.9214232999947853,127.55396329998621,128.5744166999939,128.54765459999908,None,127.55396329998621,None,127.55396329998621,None,127.55396329998621,None,129.45168062998854,None,129.45168062998854,None,129.45168062998854,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
neutral,positive,1,k,k,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,neutral,k,l,0,1.2184572000114713,129.4705696000019,130.4809755999886,130.445670599991,None,129.4705696000019,None,129.4705696000019,None,129.4705696000019,None,131.689060899982,None,131.689060899982,None,131.689060899982,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
negative,negative,2,j,l,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,negative,negative,l,l,1,0.860038299986627,132.70178079998004,133.7089103999897,133.69095739998738,None,132.70178079998004,None,132.70178079998004,None,132.70178079998004,None,134.54771952998416,None,134.54771952998416,None,134.54771952998416,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
neutral,neutral,1,k,k,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,k,k,1,0.8296914999955334,134.57579319999786,135.58115980000002,135.56496399999014,None,134.57579319999786,None,134.57579319999786,None,134.57579319999786,None,136.37976833000138,None,136.37976833000138,None,136.37976833000138,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
negative,neutral,2,j,l,,,,,0,8,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,negative,l,l,1,0.8388867999892682,136.4051133999892,137.41443279999658,137.39790340000764,None,136.4051133999892,None,136.4051133999892,None,136.4051133999892,None,138.22019222999515,None,138.22019222999515,None,138.22019222999515,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
neutral,neutral,2,k,k,,,,,0,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,neutral,k,k,1,0.7648171999899205,138.23865129999467,139.2478320999944,139.21257430000696,None,138.23865129999467,None,138.23865129999467,None,138.23865129999467,None,139.98781383000605,None,139.98781383000605,None,139.98781383000605,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
negative,positive,2,j,l,,,,,0,10,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,negative,l,l,1,0.725207000010414,140.00585489999503,141.0240943999961,140.97783250000793,None,140.00585489999503,None,140.00585489999503,None,140.00585489999503,None,141.71465963000955,None,141.71465963000955,None,141.71465963000955,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
positive,negative,2,l,j,,,,,0,11,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,positive,j,j,1,0.8417646000161767,141.74377470000763,142.74485590000404,142.72734219999984,None,141.74377470000763,None,141.74377470000763,None,141.74377470000763,None,143.56107212999777,None,143.56107212999777,None,143.56107212999777,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
neutral,negative,2,k,k,,,,,0,12,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,neutral,k,k,1,0.8881433000206016,143.58178760000737,144.59136359998956,144.5646993999835,None,143.58178760000737,None,143.58178760000737,None,143.58178760000737,None,145.45050593000778,None,145.45050593000778,None,145.45050593000778,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
positive,negative,1,l,j,,,,,0,13,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,positive,j,j,1,1.0989480999996886,145.46693029999733,146.47610800000257,146.45746810000855,None,145.46693029999733,None,145.46693029999733,None,145.46693029999733,None,147.55135723000566,None,147.55135723000566,None,147.55135723000566,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
negative,neutral,1,j,l,,,,,0,14,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,neutral,negative,l,l,1,0.7978195000032429,147.56857989999116,148.58213619998423,148.5451342999877,None,147.56857989999116,None,147.56857989999116,None,147.56857989999116,None,149.35214912999945,None,149.35214912999945,None,149.35214912999945,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
positive,positive,1,l,j,,,,,0,15,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,positive,j,j,1,0.7170585000130814,149.36854259998654,150.38151099998504,150.34784370000125,None,149.36854259998654,None,149.36854259998654,None,149.36854259998654,None,151.0713546300045,None,151.0713546300045,None,151.0713546300045,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
positive,neutral,2,l,j,,,,,0,16,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,positive,j,j,1,0.9265690000029281,151.09936249998282,152.1148555999971,152.0815331999911,None,151.09936249998282,None,151.09936249998282,None,151.09936249998282,None,153.0001262299862,None,153.0001262299862,None,153.0001262299862,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
neutral,negative,1,k,k,,,,,0,17,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,neutral,k,k,1,0.7503197999903932,153.01765180000803,154.04144219998852,153.99764260000666,None,153.01765180000803,None,153.01765180000803,None,153.01765180000803,None,154.7527336299914,None,154.7527336299914,None,154.7527336299914,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
positive,negative,1,l,j,,,,,1,0,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,positive,j,j,1,1.0310158000211231,154.77781709999545,155.79125350000686,155.76415899998392,None,154.77781709999545,None,154.77781709999545,None,154.77781709999545,None,156.78631822998577,None,156.78631822998577,None,156.78631822998577,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
positive,negative,2,l,j,,,,,1,1,19,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,negative,positive,j,j,1,0.7419017000065651,156.8045509000076,157.81506130000344,157.77807810000377,None,156.8045509000076,None,156.8045509000076,None,156.8045509000076,None,158.53157562999112,None,158.53157562999112,None,158.53157562999112,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
negative,positive,2,j,l,,,,,1,2,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,negative,l,l,1,0.7717810999893118,158.5491351999808,159.54827669999213,159.5317778000026,None,158.5491351999808,None,158.5491351999808,None,158.5491351999808,None,160.30597403000283,None,160.30597403000283,None,160.30597403000283,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
negative,neutral,2,j,l,,,,,1,3,21,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,neutral,negative,l,l,1,0.8398459999880288,160.32032529998105,161.33114880000358,161.3126828999957,None,160.32032529998105,None,160.32032529998105,None,160.32032529998105,None,162.1479681299912,None,162.1479681299912,None,162.1479681299912,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
neutral,negative,1,k,k,,,,,1,4,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,negative,neutral,k,k,1,0.686535000015283,162.16482380000525,163.18149590000394,163.14646560000256,None,162.16482380000525,None,162.16482380000525,None,162.16482380000525,None,163.83706172998936,None,163.83706172998936,None,163.83706172998936,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
neutral,positive,2,k,k,,,,,1,5,23,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,2,positive,neutral,k,k,1,0.7664650000224356,163.85369910000009,164.87475620000623,164.83168649999425,None,163.85369910000009,None,163.85369910000009,None,163.85369910000009,None,165.60554793000628,None,165.60554793000628,None,165.60554793000628,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
negative,negative,1,j,l,,,,,1,6,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,negative,negative,l,l,1,0.8480849000043236,165.62223360000644,166.63424339998164,166.60016000000178,None,165.62223360000644,None,165.62223360000644,None,165.62223360000644,None,167.4554188299895,None,167.4554188299895,None,167.4554188299895,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
negative,neutral,1,j,l,,,,,1,7,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,neutral,negative,l,l,1,0.8086108000134118,167.47276740000234,168.48168719999376,168.44677360000787,None,167.47276740000234,None,167.47276740000234,None,167.47276740000234,None,169.26706073000386,None,169.26706073000386,None,169.26706073000386,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
positive,neutral,2,l,j,,,,,1,8,26,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,2,neutral,positive,j,j,1,0.8034165999852121,169.28321359999245,170.30855769998743,170.26230339999893,None,169.28321359999245,None,169.28321359999245,None,169.28321359999245,None,171.07360203000425,None,171.07360203000425,None,171.07360203000425,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
positive,positive,1,l,j,,,,,1,9,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,1,1,1,positive,positive,j,j,1,1.8243484000267927,171.0898434999981,172.09335859998828,172.07511179998983,None,171.0898434999981,None,171.0898434999981,None,171.0898434999981,None,173.90395099998568,None,173.90395099998568,None,173.90395099998568,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
negative,positive,1,j,l,,,,,1,10,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prac,2,2,1,positive,negative,l,l,1,0.8898208999889903,174.9172239000036,175.94339729999774,175.8977293999924,None,174.9172239000036,None,174.9172239000036,None,174.9172239000036,None,176.7936331300094,None,176.7936331300094,None,176.7936331300094,None,,,,,,,,,,,115,21,Female,2022-05-05_09h34.56.869,Boat,2022.1.1,60.00387625547299,
