target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,key_resp.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
negative,neutral,1,j,l,,,,,,,,,1,10,28,3,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,negative,j,j,1,1.0202258999925107,244.19356019998668,245.26037999999244,245.2107202000043,None,244.19356019998668,None,244.19356019998668,None,244.19356019998668,None,246.17442023000913,None,246.17442023000913,None,246.17442023000913,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,1,k,k,,,,,,,,,1,11,29,7,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,neutral,k,k,1,0.9926169000100344,246.25528409998515,247.30420049998793,247.22185130001162,None,246.25528409998515,None,246.25528409998515,None,246.25528409998515,None,248.17584402999492,None,248.17584402999492,None,248.17584402999492,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,2,j,l,,,,,,,,,1,12,30,9,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,negative,j,j,1,1.025270999991335,248.25596189999487,249.29152190001332,249.2442873000109,None,248.25596189999487,None,248.25596189999487,None,248.25596189999487,None,250.21436432999909,None,250.21436432999909,None,250.21436432999909,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,2,l,j,,,,,,,,,1,13,31,17,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,positive,l,l,1,1.0724859000183642,250.29036290000658,251.3465450000076,251.2933747000061,None,250.29036290000658,None,250.29036290000658,None,250.29036290000658,None,252.29761311999175,None,252.29761311999175,None,252.29761311999175,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
neutral,negative,2,k,k,,,,,,,,,1,14,32,16,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,neutral,k,k,1,1.0325106999953277,252.3446818999946,253.38293650001287,253.33403629998793,None,252.3446818999946,None,252.3446818999946,None,252.3446818999946,None,254.34265983000515,None,254.34265983000515,None,254.34265983000515,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,neutral,1,l,j,,,,,,,,,1,15,33,8,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,neutral,positive,l,l,1,1.4550984000088647,254.4122250000073,255.46271359999082,255.41311719999067,None,254.4122250000073,None,254.4122250000073,None,254.4122250000073,None,256.80617972999465,None,256.80617972999465,None,256.80617972999465,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,negative,1,j,l,,,,,,,,,1,16,34,0,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,negative,j,j,1,0.9159151999920141,256.889276300004,257.93736919999355,257.89132239998435,None,256.889276300004,None,256.889276300004,None,256.889276300004,None,258.72906372,None,258.72906372,None,258.72906372,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,1,l,j,,,,,,,,,1,17,35,2,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,positive,l,l,1,0.9635129000234883,258.80144010001095,259.8416608000116,259.79719209999894,None,258.80144010001095,None,258.80144010001095,None,258.80144010001095,None,260.71243321999793,None,260.71243321999793,None,260.71243321999793,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
positive,positive,1,l,j,,,,,,,,,2,0,36,2,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,positive,l,l,1,1.2077655000030063,260.7510575999913,261.8148351999989,261.7730249000015,None,260.7510575999913,None,260.7510575999913,None,260.7510575999913,None,262.929666329996,None,262.929666329996,None,262.929666329996,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
negative,neutral,1,j,l,,,,,,,,,2,1,37,3,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,negative,j,j,1,0.9733178000024054,262.9905515999999,264.0495260999887,264.00013520001085,None,262.9905515999999,None,262.9905515999999,None,262.9905515999999,None,264.91209851999304,None,264.91209851999304,None,264.91209851999304,None,,,,,,,,,,,,112,20,Female,2022-05-04_09h48.05.672,Boat,2022.1.1,59.99772008673796,
