target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
positive,neutral,2,l,j,,,,,,,,,1,13,31,17,,,,,,,,,main,2,2,2,neutral,positive,j,j,1,0.6985891000003903,271.84651110000414,272.8468206000034,272.8468206000034,None,271.84651110000414,None,271.84651110000414,None,271.84651110000414,None,273.5464489599981,None,273.5464489599981,None,273.5464489599981,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
neutral,neutral,2,k,k,,,,,,,,,1,14,32,10,,,,,,,,,main,2,2,2,neutral,neutral,k,k,1,0.6820384000020567,273.5501393000013,274.56580300000496,274.5468650000039,None,273.5501393000013,None,273.5501393000013,None,273.5501393000013,None,275.2300751600051,None,275.2300751600051,None,275.2300751600051,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
neutral,negative,1,k,k,,,,,,,,,1,15,33,7,,,,,,,,,main,2,2,1,negative,neutral,k,k,1,0.7152273000028799,275.23379540000315,276.24680710000393,276.23014949999924,None,275.23379540000315,None,275.23379540000315,None,275.23379540000315,None,276.9467023600009,None,276.9467023600009,None,276.9467023600009,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
neutral,positive,2,k,k,,,,,,,,,1,16,34,13,,,,,,,,,main,2,2,2,positive,neutral,k,k,1,0.6985048999995342,276.9505391999992,277.96345799999835,277.94907539999986,None,276.9505391999992,None,276.9505391999992,None,276.9505391999992,None,278.64676185999997,None,278.64676185999997,None,278.64676185999997,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
negative,negative,2,j,l,,,,,,,,,1,17,35,9,,,,,,,,,main,2,2,2,negative,negative,l,l,1,0.7152194000009331,278.65033140000014,279.66340499999933,279.64896240000235,None,278.65033140000014,None,278.65033140000014,None,278.65033140000014,None,280.3634104599987,None,280.3634104599987,None,280.3634104599987,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
negative,neutral,1,j,l,,,,,,,,,2,0,36,3,,,,,,,,,main,1,1,1,neutral,negative,l,l,1,0.6645802999992156,280.3693209999983,281.3796538000024,281.36298160000297,None,280.3693209999983,None,280.3693209999983,None,280.3693209999983,None,282.0295848599999,None,282.0295848599999,None,282.0295848599999,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
negative,negative,1,j,l,,,,,,,,,2,1,37,0,,,,,,,,,main,2,2,1,negative,negative,l,l,1,0.5812514999997802,282.0331867999994,283.04634030000307,283.02968830000464,None,282.0331867999994,None,282.0331867999994,None,282.0331867999994,None,283.6129145599989,None,283.6129145599989,None,283.6129145599989,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
neutral,positive,1,k,k,,,,,,,,,2,2,38,4,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.7320915000018431,283.61657650000416,284.62996510000085,284.613296800002,None,283.61657650000416,None,283.61657650000416,None,283.61657650000416,None,285.3465236600023,None,285.3465236600023,None,285.3465236600023,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
positive,positive,2,l,j,,,,,,,,,2,3,39,11,,,,,,,,,main,2,2,2,positive,positive,j,j,1,1.265060199999425,285.350440000002,286.36377809999976,286.3491587000026,None,285.350440000002,None,285.350440000002,None,285.350440000002,None,287.613153160004,None,287.613153160004,None,287.613153160004,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
neutral,negative,1,k,k,,,,,,,,,2,4,40,7,,,,,,,,,main,2,2,1,negative,neutral,k,k,1,0.6651490000003832,287.616597799999,288.6299205000032,288.6135748000015,None,287.616597799999,None,287.616597799999,None,287.616597799999,None,289.27977806000126,None,289.27977806000126,None,289.27977806000126,None,,,,,,,,,,,,,015,2022-05-12_10h33.53.725,Main,2022.1.1,61.18146299529477,
