target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,fl_inst_resp.rt,sound_1.started,sound_1.stopped,image_4.started,image_4.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,text_2.started,text_2.stopped,id*,date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,,,,,,,,,space,53.45300199999474,20.36558965999284,None,73.8480533999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,026,2022-05-19_19h20.35.255,Main,2022.1.1,60.18411524603435,
negative,negative,2,j,l,,,,,0,0,0,9,,,,,,,,,,,77.21441640000558,None,prac,2,2,2,negative,negative,j,j,1,1.3486204000073485,79.24791579996236,80.26175129995681,80.24539379996713,None,79.24791579996236,None,79.24791579996236,None,79.24791579996236,None,81.59535135996411,None,81.59535135996411,None,81.59535135996411,None,,,,,,,,,,,,,026,2022-05-19_19h20.35.255,Main,2022.1.1,60.18411524603435,
positive,positive,2,l,j,,,,,0,1,1,11,,,,,,,,,,,,,prac,2,2,2,positive,positive,l,l,1,1.1017061999882571,81.60051550000207,82.6142467999598,82.59759489999851,None,81.60051550000207,None,81.60051550000207,None,81.60051550000207,None,83.69530726001248,None,83.69530726001248,None,83.69530726001248,None,,,,,,,,,,,,,026,2022-05-19_19h20.35.255,Main,2022.1.1,60.18411524603435,
negative,neutral,1,j,l,,,,,0,2,2,3,,,,,,,,,,,,,prac,1,1,1,neutral,negative,j,j,1,1.0102727999910712,83.7151148999692,84.71421359997476,84.69754099997226,None,83.7151148999692,None,83.7151148999692,None,83.7151148999692,None,85.71193075999035,None,85.71193075999035,None,85.71193075999035,None,,,,,,,,,,,,,026,2022-05-19_19h20.35.255,Main,2022.1.1,60.18411524603435,
neutral,negative,2,k,k,,,,,0,3,3,16,,,,,,,,,,,,,prac,1,1,2,negative,neutral,k,k,1,0.9844267000444233,85.72258679999504,86.73075879999669,86.69751999998698,None,85.72258679999504,None,85.72258679999504,None,85.72258679999504,None,87.69752446001512,None,87.69752446001512,None,87.69752446001512,None,,,,,,,,,,,,,026,2022-05-19_19h20.35.255,Main,2022.1.1,60.18411524603435,
neutral,positive,2,k,k,,,,,0,4,4,13,,,,,,,,,,,,,prac,2,2,2,positive,neutral,k,k,1,0.7962701999931596,87.70737049996387,88.71150380000472,88.69483059999766,None,87.70737049996387,None,87.70737049996387,None,87.70737049996387,None,89.4948553599941,None,89.4948553599941,None,89.4948553599941,None,,,,,,,,,,,,,026,2022-05-19_19h20.35.255,Main,2022.1.1,60.18411524603435,
negative,positive,1,j,l,,,,,0,5,5,6,,,,,,,,,,,,,prac,2,2,1,positive,negative,j,j,1,0.8000644999556243,89.50484199996572,90.51152409997303,90.49507399997674,None,89.50484199996572,None,89.50484199996572,None,89.50484199996572,None,91.29541115996544,None,91.29541115996544,None,91.29541115996544,None,,,,,,,,,,,,,026,2022-05-19_19h20.35.255,Main,2022.1.1,60.18411524603435,
neutral,neutral,1,k,k,,,,,0,6,6,1,,,,,,,,,,,,,prac,2,2,1,neutral,neutral,k,k,1,0.8147837999858893,91.30488409998361,92.31146050000098,92.29479789995821,None,91.30488409998361,None,91.30488409998361,None,91.30488409998361,None,93.11151475998922,None,93.11151475998922,None,93.11151475998922,None,,,,,,,,,,,,,026,2022-05-19_19h20.35.255,Main,2022.1.1,60.18411524603435,
negative,negative,1,j,l,,,,,0,7,7,0,,,,,,,,,,,,,prac,1,1,1,negative,negative,j,j,1,0.7995432000025176,93.12069069995778,94.13067509996472,94.11407209996833,None,93.12069069995778,None,93.12069069995778,None,93.12069069995778,None,94.91315755997202,None,94.91315755997202,None,94.91315755997202,None,,,,,,,,,,,,,026,2022-05-19_19h20.35.255,Main,2022.1.1,60.18411524603435,
neutral,neutral,2,k,k,,,,,0,8,8,10,,,,,,,,,,,,,prac,1,1,2,neutral,neutral,k,k,1,0.8324262000387534,94.91861900000367,95.93058539996855,95.91401000000769,None,94.91861900000367,None,94.91861900000367,None,94.91861900000367,None,96.74727725998382,None,96.74727725998382,None,96.74727725998382,None,,,,,,,,,,,,,026,2022-05-19_19h20.35.255,Main,2022.1.1,60.18411524603435,
